Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	11.775701	7.1834083	51.91872	2.3757992	19.019047	0.088484	0.1561434	0.57962346	-0.47559857	4000	-1.8835069e-08	68.71016	-0.017937306	-30.550842	0.91893864	0.017018003	0.2685	8.0	2.1878669261932373
1	15.323518	9.99901	99.23612	1.3769342	21.98895	3.7269726	2.320808	5.2380495	-4.5511985	8000	-4.482269e-08	79.970795	-0.020952264	-20.315632	0.9165607	0.018354448	0.209	7.0	4.5950703620910645
2	28.341389	29.232807	185.4498	3.22054	27.430555	6.6760507	2.6271365	8.450786	-6.9037457	12000	-4.2915342e-09	648.8456	-0.020414889	-113.15582	0.9148528	0.017325042	0.24525	7.0	6.919418096542358
3	47.67828	45.9647	203.38658	5.2684846	39.425743	11.426147	4.184626	13.43609	-11.020851	16000	-5.8174134e-08	1219.4182	-0.013160448	-178.11731	0.9131864	0.016895335	0.212	8.0	9.121343612670898
4	80.01764	47.764076	238.33139	8.577902	49.8	17.63664	2.8605149	18.276516	-7.568956	20000	1.0430813e-07	1646.8888	-0.017338064	-261.28003	0.91127855	0.0092253415	0.11475	79.0	12.15529990196228
5	98.201904	43.488758	186.40771	12.212254	58.74627	23.03625	0.9072211	23.129751	1.5612364	24000	7.724762e-08	1628.1279	-0.016615838	-222.85669	0.9067005	0.01197052	0.10075	79.0	14.943296670913696
6	111.886284	37.510777	202.19539	25.858875	62.11111	27.213593	0.076544486	27.21818	23.242424	28000	3.576279e-08	1693.3942	-0.016182192	-205.18701	0.904312	0.009553876	0.10625	79.0	17.75512981414795
7	152.29662	50.606606	254.5554	27.281189	79.42	30.62722	1.3526638	30.89861	10.240479	32000	-4.1246413e-08	2889.4456	-0.016239364	-336.625	0.9075289	0.011299932	0.109	79.0	20.471782445907593
8	167.5857	52.18735	254.75029	70.540215	87.22222	35.079247	0.9213465	35.22889	15.391985	36000	-7.402897e-08	3011.1992	-0.0126699265	-331.48633	0.8929942	0.010177493	0.08375	79.0	23.18223547935486
9	175.73438	56.087322	268.24918	58.77514	89.52273	38.371067	2.8536203	39.234596	16.975685	40000	5.00679e-09	3000.2192	-0.015269044	-308.98267	0.8973269	0.0039464952	0.0845	79.0	25.942051649093628
10	208.75787	35.98813	273.81247	97.11979	102.25641	40.1295	7.5165095	42.91907	-8.811151	44000	-7.593632e-08	3404.2322	-0.014244076	-356.7517	0.8987354	0.008905725	0.0915	79.0	28.66154718399048
11	200.8458	52.906887	288.07376	33.365505	98.275	43.82928	8.78231	46.762074	2.0036833	48000	-1.8179417e-08	3064.1416	-0.017951483	-286.81104	0.88964844	0.008659317	0.089	79.0	31.414785861968994
12	219.1955	42.512646	290.36374	72.05887	103.97369	45.551655	10.88754	50.159973	3.3466105	52000	1.2218952e-07	3226.2332	-0.015963959	-312.58545	0.8836728	0.0074130013	0.10475	79.0	34.15337252616882
13	224.9854	36.16171	291.96182	133.50587	107.13513	49.91949	10.160559	53.557384	0.23155987	56000	-2.4557114e-08	2975.1401	-0.0049766903	-269.73096	0.8842045	0.016353218	0.2	5.0	36.48211455345154
14	214.47618	54.18798	297.69775	67.40847	104.52631	52.798763	10.783893	56.705223	2.0569098	60000	-8.34465e-09	2680.8867	-0.019096106	-225.84937	0.8843783	0.0113270385	0.09875	79.0	39.23377323150635
15	249.45439	35.480183	305.17227	150.08109	114.35294	54.55756	12.387561	59.43423	2.6016145	64000	-6.0379506e-08	3317.4985	-0.014992664	-295.88672	0.8677054	0.007904581	0.078	79.0	42.0021870136261
16	257.45325	40.513283	319.92587	126.19922	117.64706	57.220585	13.537811	62.628597	-6.6014175	68000	-1.1205673e-07	3315.2666	-0.018027566	-294.66675	0.86496353	0.010882345	0.098	79.0	44.66084575653076
17	273.10504	40.681717	329.01913	133.68631	121.181816	59.868282	14.719617	65.779106	2.7135053	72000	-9.1195105e-08	3607.9275	-0.019866943	-309.01758	0.8670511	0.010275903	0.13175	79.0	47.44310641288757
18	272.307	39.163948	324.46295	158.88593	120.78125	62.778893	15.366892	68.98748	2.0155396	76000	-5.6028366e-08	3262.1707	-0.01799777	-268.69092	0.8652493	0.011263746	0.1275	79.0	50.21370530128479
19	275.7251	63.29552	341.66803	66.60024	120.878784	65.78256	15.778474	72.004654	2.63202	80000	1.3232231e-08	3450.1875	-0.0054342197	-262.36475	0.8566467	0.016255649	0.15075	5.0	52.59830951690674
20	307.7143	28.805557	365.80832	233.13593	132.9	68.37659	16.302011	74.942444	3.2699358	84000	-4.1604043e-08	3666.7153	-0.019528441	-305.13965	0.8562929	0.012834627	0.1165	79.0	55.3833281993866
21	312.1255	61.86566	531.804	168.444	132.83333	71.06991	17.252392	78.06323	3.450552	88000	-4.6253206e-08	3920.6106	-0.016608559	-301.9756	0.85652417	0.010556991	0.08125	79.0	58.07433223724365
22	324.441	35.74155	371.19897	171.6775	135.48276	73.99967	18.070282	81.15517	2.853745	92000	-1.5318394e-08	3809.3523	-0.01957508	-299.64624	0.8605193	0.009102235	0.1155	79.0	60.767725706100464
23	339.8416	64.6102	526.55817	129.90385	139.28572	76.467125	18.888447	84.21581	3.1006584	96000	-3.1262637e-08	4321.691	-0.01755645	-335.25195	0.8620902	0.0063612633	0.0935	79.0	64.83301520347595
24	327.91406	32.786293	369.5045	218.98433	133.72414	79.8122	19.138123	87.408646	2.7584047	100000	-3.8534402e-08	3555.2786	-0.019694053	-273.5857	0.8582298	0.008909561	0.10375	79.0	67.68866753578186
25	329.0267	34.70758	383.24017	201.31876	133.68965	81.303856	21.062254	90.28288	4.7484317	104000	3.8564206e-08	3321.323	-0.012179882	-263.52588	0.8527085	0.01502885	0.144	16.0	70.06319332122803
26	335.52606	32.341938	371.4759	193.91034	135.55173	82.736145	22.626905	93.01639	1.9043734	108000	5.4240226e-09	3213.2651	-0.018330522	-242.29004	0.84985447	0.012490262	0.089	79.0	73.28775143623352
27	349.02618	18.836573	388.9106	296.28696	139.71428	84.941376	23.288597	95.70541	0.9385021	112000	1.6629697e-08	3247.564	-0.018822277	-252.80762	0.85393775	0.014059539	0.10625	79.0	76.90281677246094
28	353.1747	59.76617	583.89764	235.23958	141.39285	89.12366	22.095566	98.449104	3.2487876	116000	-1.2826919e-07	3427.2778	-0.020211032	-275.06958	0.8612109	0.010183218	0.0915	79.0	81.00628447532654
29	357.00195	23.13616	388.06943	296.17764	138.35715	90.303375	23.599339	101.10948	4.6639524	120000	6.270409e-08	3260.927	-0.019693725	-258.42407	0.85008824	0.011311689	0.11625	79.0	84.21785473823547
30	364.2495	44.75338	581.4241	320.68335	140.28572	91.560905	25.85022	103.822014	3.8500018	124000	-7.3313714e-08	3272.549	-0.018616447	-250.6836	0.83710146	0.0077819126	0.10725	79.0	87.37454891204834
31	364.10568	22.199427	405.65298	315.5605	139.71428	94.58177	26.103525	106.53696	0.53483653	128000	5.7816507e-09	2994.8003	-0.01761144	-232.4148	0.834249	0.010073374	0.10575	79.0	91.11153078079224
32	380.37805	21.256567	435.2595	335.38358	142.92592	97.20447	26.065329	109.141075	3.2243793	132000	-3.5583973e-08	3295.4568	-0.01737529	-252.00537	0.8333825	0.009782372	0.0935	79.0	95.04670643806458
33	374.68463	20.200888	410.92734	334.84927	140.32143	98.96908	27.812294	111.87744	1.3218305	136000	-2.9802322e-08	2917.5957	-0.0037719803	-227.9104	0.83613795	0.015876194	0.15825	5.0	97.22389316558838
34	372.15823	52.126163	555.19025	222.94958	141.67857	102.6195	26.623985	114.46904	-0.18747067	140000	-5.4597855e-08	2878.944	-0.022105856	-244.2456	0.83607745	0.012179472	0.12275	79.0	100.5517315864563
35	387.9032	81.45875	620.45953	175.70319	146.2963	102.76877	29.225273	116.84892	-0.6824968	144000	9.536744e-10	3354.6152	-0.018958673	-239.29712	0.82875717	0.012684859	0.1085	79.0	103.32496953010559
