Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	11.877546	6.5979137	51.728218	4.5090675	14.726937	0.31940705	0.04366932	0.39683932	0.10587843	4000	1.1920929e-09	77.3161	-0.02002209	-48.523533	0.91893864	0.019663205	0.235	0.5196041902154684	0.5205829465890157	4.0	10.244655847549438
1	25.821795	28.360596	151.59015	4.7716002	23.5	6.2527013	2.1415405	8.133804	-2.157108	8000	-2.384186e-10	661.2776	-0.020756863	-180.13678	0.9167273	0.015823884	0.181	0.048481833599507806	0.011942334750875737	5.0	21.05446434020996
2	70.36114	55.435493	258.6356	6.7903843	45.87356	15.423389	2.404802	16.274931	-2.2715592	12000	1.6689301e-09	1935.883	-0.02000275	-485.09155	0.9155494	0.007991134	0.1345	0.04063605360686779	0.008720457293407173	79.0	32.050485134124756
3	94.163345	48.25837	202.57388	7.069403	56.771427	25.020618	2.8680193	25.561321	-10.262975	16000	-3.0994416e-09	1562.1342	-0.017601397	-319.04272	0.92114985	0.010262754	0.09525	0.038917226009070875	0.007666996312381041	79.0	42.10173583030701
4	120.83842	54.713646	242.70763	10.914937	65.47541	31.978859	2.971974	32.40658	-0.6960968	20000	-2.384186e-10	2069.378	-0.015931679	-376.28015	0.9198896	0.009494434	0.097	0.036579600274562835	0.0060514605073863125	79.0	52.47506523132324
5	156.2679	54.248558	236.10048	28.52161	81.20408	39.214787	1.7643648	39.37157	3.0092788	24000	-1.4305115e-09	2445.6238	-0.015098751	-423.6383	0.9129011	0.009726046	0.076	0.03971753804013133	0.007125176337347587	79.0	63.287471532821655
6	172.29387	54.78148	268.0103	64.93482	86.26087	45.959045	3.078881	46.399265	-1.7822876	28000	-1.6689301e-09	2522.61	-0.014892175	-408.88452	0.9148855	0.008202005	0.097	0.040534379910677674	0.00694423725413759	79.0	73.71452283859253
7	179.84052	57.615604	251.71887	58.86599	88.40909	50.877407	6.4480877	52.83284	9.09905	32000	8.702278e-09	2376.9326	-0.015203818	-421.39856	0.9059805	0.0062432275	0.09675	0.039722211956977845	0.007362689280601648	79.0	84.07547855377197
8	196.12946	62.1271	262.93317	28.741138	92.4186	53.74691	13.130704	59.11664	-20.284554	36000	5.2452087e-09	2414.2134	-0.00893546	-406.75366	0.89981776	0.018031722	0.21075	0.037233297191560266	0.006821942058885731	5.0	93.60789012908936
9	225.60893	49.060463	302.0836	70.925995	103.47369	59.079037	14.266232	65.35468	-10.464784	40000	-2.2053719e-09	2531.102	-0.016503334	-472.34814	0.8987816	0.009148665	0.09575	0.037788185942918065	0.009397854641818998	79.0	103.69950532913208
10	248.14436	43.602726	331.85373	151.01985	109.05556	64.560295	16.545874	71.819084	-6.685668	44000	2.3841857e-09	2655.7366	-0.016054885	-492.68774	0.89812434	0.011447559	0.08525	0.03517083803191781	0.0067476159721965474	79.0	113.87844395637512
11	250.903	50.663677	327.4056	84.0229	110.69444	70.01294	18.333664	78.4395	0.075614214	48000	3.0398368e-09	2295.324	-0.018201377	-389.48694	0.90553355	0.011356409	0.11175	0.03457394808530807	0.00892486536804626	79.0	124.18195724487305
12	296.20737	40.235397	358.7436	181.43379	124.5	73.88131	20.033443	84.17116	-7.9954357	52000	2.384186e-10	2997.558	-0.016083565	-576.93677	0.9118066	0.009044719	0.11625	0.038017150461673734	0.011120969057923754	79.0	134.61238932609558
13	285.43942	51.155872	352.47217	156.21677	121.625	82.42378	20.46362	90.79554	-5.1307235	56000	-6.556511e-09	2419.3203	-0.020795055	-389.1089	0.9041872	0.015033114	0.1105	0.0397217795997858	0.010034655973277183	74.0	144.57239532470703
14	306.27176	54.796143	377.89447	107.027565	128.19354	83.58622	23.822498	96.2705	-0.12952912	60000	7.7486035e-09	2478.1934	-0.019058986	-404.86108	0.9137093	0.00960124	0.12375	0.0410301373526454	0.01381493061492791	79.0	154.68373441696167
15	319.68176	42.5299	363.3583	185.40767	133.03334	89.166405	24.659882	101.726326	-1.7362486	64000	-2.861023e-09	2126.2446	-0.016718553	-353.96814	0.8995433	0.011375087	0.1095	0.04562364924699068	0.014331333644458554	79.0	164.90748834609985
16	298.54382	59.141922	376.79318	135.58885	128.8	95.715904	23.689207	106.970474	-8.816704	68000	-1.6689301e-09	1757.6842	-0.007057292	-310.33008	0.89466417	0.020771395	0.224	0.043117017187178135	0.013521747710822573	4.0	174.7203984260559
17	329.82822	19.74887	396.36777	289.308	132.76666	95.3035	27.76938	110.92469	3.2737198	72000	-3.4570693e-09	1733.8246	-0.019050883	-356.04565	0.89479417	0.0109935505	0.11725	0.04319225473329425	0.011423240801064037	79.0	184.8745560646057
