Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	-1.8627319	3.03241	8.210441	-11.041519	12.594936	-0.05630892	0.17482156	0.45831007	-0.5892471	4000	9.775162e-09	13.026942	-0.02487816	-7.552528	0.91893864	0.017069248	0.291	10.21192114830017	4.52443703616309	3.0	9.766446828842163
1	0.69507843	4.0191045	18.889265	-6.4622073	15.21374	-2.1985407	1.2699312	3.8886642	-4.9665604	8000	3.8146974e-09	12.910725	-0.023748456	-2.298029	0.91922057	0.019632196	0.23675	5.280232367515564	0.8103889645178409	4.0	19.38641333580017
2	4.5361233	6.685961	48.375473	-8.166595	20.673574	-0.75379574	1.474993	3.787449	-4.532929	12000	1.3828277e-08	32.65664	-0.020998444	-8.758955	0.9188132	0.021495067	0.26075	3.8819105672836303	0.5412354741677957	5.0	29.040541887283325
3	10.408981	8.9643135	54.58752	-3.2224839	31.125	1.5104872	2.4246902	7.352872	-6.5943327	16000	3.5762786e-09	52.440342	-0.020808632	-16.141373	0.9176647	0.017880019	0.258	3.2286868929862975	0.29278436901368027	6.0	38.72641324996948
4	22.735798	23.44012	173.88066	-14.514261	47.807228	3.7382076	4.548503	13.001865	-13.284979	20000	-6.556511e-09	266.81058	-0.015538218	-78.43205	0.91679883	0.0150470305	0.22625	3.019078800678253	0.2968217131440147	7.0	48.30715990066528
5	38.772663	48.07549	281.56073	-7.729898	68.875	8.549535	10.642188	22.678568	-22.537758	24000	-9.536744e-10	669.387	-0.042698003	-178.89264	0.91440004	0.015043661	0.19825	2.8789342045783997	0.30964684691624056	67.0	58.190242767333984
6	42.33167	46.061874	264.2211	-6.504507	88.318184	9.908662	15.848647	35.983307	-33.08297	28000	2.384186e-10	412.1801	-0.016057704	-67.36554	0.8996756	0.016272629	0.227	2.82394748210907	0.24712614332062682	10.0	67.762521982193
7	87.51439	85.09946	321.841	3.3843253	98.375	21.95925	15.4903555	41.47878	-32.627068	32000	-8.34465e-09	1501.7426	-0.013623401	-427.1516	0.8978659	0.016054915	0.25525	2.76339745759964	0.27314330191723357	8.0	77.49495792388916
8	121.74186	102.07416	357.5164	7.0610876	128.6	34.79146	22.481977	53.945126	-32.830425	36000	-6.7949295e-09	1491.42	-0.047197703	-338.69336	0.8955805	0.01165902	0.21675	2.7081025791168214	0.2672054961493659	79.0	87.40419816970825
9	169.98318	113.78444	380.99725	19.456625	169.95653	40.936256	28.298553	65.06342	-43.221313	40000	3.8743018e-09	1367.7825	-0.04664055	-334.12708	0.8887444	0.015045658	0.21975	2.7484649324417116	0.2689154374857414	72.0	97.2819561958313
10	240.96802	94.88702	362.6068	75.202034	220.22223	52.502945	30.600748	73.58284	-48.713608	44000	3.5762786e-09	1352.5991	-0.046638113	-309.30518	0.8826533	0.012653211	0.21025	2.6872124648094178	0.2710331985550585	79.0	108.41158866882324
11	216.0583	103.99911	410.29047	49.096577	180.5	63.954197	28.420952	79.76548	-31.344099	48000	6.9141386e-09	1323.4265	-0.011386491	-306.02142	0.88191897	0.016573453	0.1995	2.714513655900955	0.2780761338460526	7.0	119.02737545967102
12	241.42696	99.028076	436.49985	68.353226	198.45	64.514015	33.0734	85.24107	-27.670855	52000	5.9604646e-09	1239.4979	-0.04964092	-242.88855	0.8809367	0.010784	0.233	2.6630020928382874	0.24060058602793907	79.0	130.1851508617401
13	264.48383	96.20454	523.2074	52.53743	188.04762	78.56209	21.538847	88.523094	-19.10822	56000	-1.6689301e-09	1211.8118	-0.012011343	-204.59283	0.8772116	0.016025508	0.218	2.6909603667259216	0.2731134701395226	6.0	140.5528838634491
14	248.30342	92.14143	465.29184	46.66603	180.40909	83.96894	21.562748	92.781944	-19.173843	60000	-4.768372e-10	1186.9722	-0.05352357	-442.87622	0.87532485	0.013379285	0.24675	2.6410101366043093	0.24140017015928497	79.0	151.47547674179077
15	262.20956	101.77852	442.0205	65.41451	183.80952	75.27199	27.929482	94.507385	-32.701042	64000	-4.053116e-09	956.5899	-0.048149124	-342.6383	0.87224966	0.015023569	0.2255	2.5753829669952393	0.24625326994309646	72.0	162.19886922836304
16	309.5962	88.36656	548.6249	123.232086	207.6842	85.8493	26.9959	102.094955	-19.698795	68000	3.3378602e-09	555.42285	-0.041302387	-269.159	0.8678431	0.015062493	0.21575	2.561095515489578	0.2726685693034428	38.0	172.73985385894775
17	247.35144	103.33344	455.839	46.06987	193.05	85.55461	37.30071	107.51198	-18.881027	72000	1.1444092e-08	790.95374	-0.047198165	-394.4046	0.86560076	0.015209773	0.258	2.474066809415817	0.23372430790623036	74.0	183.1262547969818
18	246.41576	120.38376	470.05377	9.919403	173.77272	82.44482	35.242516	108.669426	-19.003693	76000	9.059906e-09	512.28613	-0.049776446	-150.5256	0.86064065	0.013989766	0.27975	2.4319961738586424	0.22919292532389093	79.0	193.28774547576904
19	278.5725	42.387356	379.22073	203.47668	165.625	95.11944	25.034029	111.1004	13.892288	80000	7.1525574e-10	197.95628	-0.037610326	-119.636566	0.8559926	0.01538329	0.19775	2.4014436388015747	0.25194600797487643	31.0	204.22954487800598
20	291.3559	66.749466	413.2192	176.1773	186.04762	95.84115	31.71325	114.53596	-17.553677	84000	1.2397766e-08	325.04712	-0.010206389	-112.45657	0.8490146	0.015015797	0.2115	2.3816477060317993	0.23075579421445944	6.0	215.1938214302063
