Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.4826765	5.542985	41.58502	0.28496894	17.767857	0.091241576	0.14734754	0.57292235	-0.5116197	4000	-2.6226044e-09	45.377296	-0.016625704	-23.263765	0.91893864	0.016343817	0.1765	5.0	8.083398818969727
1	16.782917	11.110713	97.24295	2.6681051	22.183332	3.8430774	1.7571093	5.1075673	-4.365478	8000	-3.5762786e-09	107.66064	-0.018079855	-31.105377	0.91938347	0.016530052	0.1675	6.0	15.949074745178223
2	46.983097	49.400787	209.58759	6.0562806	37.92381	7.72108	2.2641122	8.867084	-7.934374	12000	2.6226044e-09	1664.9742	-0.01842232	-258.18542	0.9196532	0.00946305	0.14375	79.0	24.61449694633484
3	71.854836	58.99071	289.05624	10.275853	50.692307	13.647121	2.31058	14.196219	-10.759187	16000	-2.6226044e-09	2069.7214	-0.02037699	-257.04956	0.9069993	0.009140801	0.16475	79.0	33.196072578430176
4	94.493645	50.012783	187.74583	13.867342	58.80597	18.138208	2.0927668	18.57562	-4.2760153	20000	6.198883e-09	1977.5073	-0.016801415	-240.20947	0.8884995	0.009714948	0.10775	79.0	41.72868084907532
5	118.27569	46.330242	286.9109	29.986513	68.73684	22.307863	0.60802567	22.391386	9.019737	24000	-2.2649764e-09	2248.984	-0.013431873	-248.21423	0.87657803	0.007284237	0.08375	79.0	50.26338291168213
6	130.85117	54.963093	273.027	13.8175955	72.34545	26.055965	0.008298311	26.057106	25.614166	28000	4.2915342e-09	2624.8901	-0.015393699	-262.78613	0.8746478	0.0055750515	0.09275	79.0	58.981053590774536
7	154.67567	55.17468	308.94217	46.09577	83.145836	29.663568	0.0012260318	29.663916	29.636082	32000	6.7949295e-09	3002.3835	-0.007116791	-275.06616	0.8758554	0.015580882	0.16025	7.0	67.44394874572754
8	189.79399	65.02209	307.11017	59.210957	100.84615	33.210655	0.016258268	33.211754	32.382374	36000	-3.3378602e-09	3860.681	-0.0067851543	-351.2483	0.8753243	0.015152427	0.1695	6.0	75.44807529449463
9	195.05255	52.945454	295.48227	28.574484	97.39024	37.021503	0.032938015	37.02303	35.86956	40000	-2.384186e-10	3753.372	-0.012457957	-320.67896	0.8740774	0.010149765	0.07775	79.0	83.98316144943237
10	193.57182	53.114788	299.01602	71.80253	96.36585	40.570236	0.043474887	40.57154	38.4899	44000	-4.2915342e-09	3329.1838	-0.0145248715	-254.75952	0.87281024	0.0092851855	0.07075	79.0	92.62687015533447
11	212.41722	31.617992	282.2028	111.45582	103.26316	43.680984	0.1056017	43.684494	38.43506	48000	-5.662441e-09	3431.2185	-0.009840918	-263.84692	0.87557954	0.0053971563	0.069	79.0	101.64724636077881
12	216.70488	20.960487	291.06445	164.60982	103.07895	46.785587	0.012837244	46.786106	46.036083	52000	2.861023e-09	3320.0405	-0.014665712	-243.89404	0.858086	0.005695627	0.08025	79.0	110.40608596801758
13	226.27647	16.597555	293.7287	199.79883	105.945946	49.750916	0.0034307821	49.751102	49.591507	56000	-1.6689301e-09	3380.727	-0.012558598	-238.78491	0.8602242	0.0064495616	0.0895	79.0	119.27712726593018
14	218.3313	28.996643	282.85806	111.16681	100.97436	52.65876	0.019710535	52.659245	51.448833	60000	-1.9073487e-09	3078.1077	-0.01092615	-201.78418	0.85917026	0.0054669334	0.065	79.0	128.35025238990784
15	229.92949	21.095661	285.43872	161.19151	104.42105	55.16197	2.1527522	55.31031	5.5811014	64000	4.7683715e-09	3199.088	-0.01388565	-386.1167	0.8555854	0.0093992045	0.081	79.0	137.29318928718567
16	219.51909	42.906395	316.7722	94.1571	99.925	53.32969	12.208231	58.07789	-19.93757	68000	-3.8146974e-09	2783.7144	-0.015144727	-226.58984	0.8611914	0.007802482	0.09375	79.0	145.9095423221588
17	230.43753	50.141468	332.17145	63.770737	102.48718	55.476234	13.040171	60.81457	7.8781834	72000	-2.503395e-09	3055.8406	-0.016289039	-239.17041	0.8531895	0.009235161	0.09675	79.0	155.58260083198547
18	253.13547	34.867374	332.37524	200.249	110.861115	57.94455	13.960101	63.638523	0.64501286	76000	-8.46386e-09	3280.48	-0.004451655	-272.16992	0.8589928	0.01604882	0.16425	4.0	163.62153697013855
