Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	15.646692	12.604219	108.10077	4.9393916	16.633333	0.06510226	0.09027612	0.3019434	-0.3012655	4000	4.768372e-10	238.65685	-0.017906656	-74.138824	0.91893864	0.016820146	0.27175	6.0	11.331072568893433
1	31.147732	32.147514	186.37904	6.0768275	24.955975	4.9334188	0.6186689	5.2183633	-1.9200118	8000	5.1259996e-09	992.58844	-0.013192597	-149.9173	0.9188946	0.016384624	0.2365	8.0	22.831469774246216
2	83.69627	57.635548	219.52078	6.3281918	48.925	9.225815	0.14054485	9.267218	6.3779263	12000	3.8146974e-09	2946.6377	-0.017304685	-376.27588	0.91757065	0.0032178357	0.1015	79.0	34.79217720031738
3	103.726395	63.205368	229.44168	9.677882	56.25352	13.955781	0.009977952	13.96057	13.8446865	16000	-2.384186e-10	3428.9863	-0.020747742	-332.9568	0.9122575	0.010109679	0.126	79.0	46.842989444732666
4	124.18132	57.971584	226.51746	20.923563	64.459015	17.816862	0.006117556	17.81917	17.70925	20000	3.5762786e-09	3532.331	-0.018859696	-313.94507	0.91376466	0.00679566	0.09675	79.0	58.90396022796631
5	150.63171	59.28106	230.87184	45.588493	74.66038	21.319544	0.0055449726	21.321016	21.139786	24000	-4.053116e-09	4159.586	-0.019083126	-346.79126	0.9116244	0.009815939	0.115	79.0	70.86363863945007
6	168.57916	55.810913	226.45828	48.806557	79.94	24.818104	0.0020462857	24.818775	24.768734	28000	1.9073487e-09	4493.7544	-0.016705938	-360.86768	0.89133734	0.008662125	0.083	79.0	82.9822211265564
7	178.87897	51.44281	242.51704	55.780907	84.106384	28.255508	0.002575333	28.256111	28.179232	32000	-9.536744e-10	4362.067	-0.006428446	-332.7256	0.893946	0.015530147	0.18675	6.0	94.67700743675232
8	201.60327	38.60227	236.42714	22.159506	91.976746	31.47891	0.0015124289	31.479267	31.447266	36000	-1.0728836e-09	4702.694	-0.013849719	-356.4663	0.89469475	0.0076347827	0.07175	79.0	106.73228716850281
9	198.92725	43.688644	238.48314	31.960005	90.88636	34.730076	0.0012431558	34.73038	34.692936	40000	-6.0200693e-09	4394.833	-0.0150639005	-308.63306	0.8871726	0.008551291	0.0765	79.0	118.7859399318695
