Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	6.7473416	7.857034	44.04202	-5.2801633	26.039215	-0.1111839	0.25438944	0.4504495	-0.8268485	4000	-9.536744e-10	48.138447	-0.037084423	-9.319992	0.91893864	0.015180724	0.23125	39.0	12.700091123580933
1	8.419768	9.377937	46.621555	-20.334766	33.27731	1.7328733	1.6856778	4.7586102	-3.8826337	8000	7.212162e-09	62.94757	-0.015655346	-21.363499	0.9118477	0.01503722	0.24025	9.0	24.773348093032837
2	16.687674	23.860884	150.74426	-6.792257	48.012047	1.0325096	4.610123	8.820918	-9.037722	12000	8.3446505e-10	246.95459	-0.016726516	-58.69931	0.9095208	0.01669815	0.25175	9.0	37.1006383895874
3	33.967686	64.72981	249.2961	-34.975822	81.34694	2.393792	9.504884	13.803264	-13.75026	16000	-4.4107438e-09	1110.7775	-0.038921237	-166.3559	0.90813833	0.015094776	0.16925	62.0	49.59919881820679
4	42.95322	52.807453	237.31105	-22.357252	87.8	5.6554656	14.261211	19.698364	-19.286465	20000	-6.6757204e-09	700.2692	-0.045810197	-82.30823	0.9015263	0.011608706	0.21475	79.0	62.37603759765625
5	54.703102	55.318123	204.2529	-1.0650623	87.977776	13.598469	11.062459	22.682978	-21.704247	24000	5.2452087e-09	710.9989	-0.04683324	-108.55939	0.8933418	0.014653741	0.2335	79.0	74.98124742507935
6	64.89898	77.76484	300.7966	-5.430553	102.35897	14.594184	13.5421295	25.906895	-22.2471	28000	3.4570693e-09	1216.0355	-0.010854323	-138.29602	0.8880684	0.016036509	0.16275	6.0	87.37889552116394
7	101.895706	91.73019	311.0104	-7.783774	153.61539	15.346208	16.794746	30.183878	-26.54429	32000	-1.192093e-10	1223.47	-0.04357635	-177.71326	0.8874443	0.015045626	0.193	73.0	100.68730044364929
8	114.85627	100.21585	345.35254	-0.68449825	151.03847	20.521547	18.511421	34.759758	-27.745235	36000	7.7486035e-09	1589.6019	-0.010495784	-204.15576	0.8785744	0.017311139	0.1885	7.0	113.26226425170898
9	116.141846	90.53648	317.08737	3.2494938	156.28	22.676855	19.705238	39.139526	-22.164711	40000	1.0490417e-08	1045.1215	-0.046407167	-133.51825	0.87750864	0.01498329	0.216	79.0	126.49734234809875
10	182.7307	106.58795	356.15088	33.36041	188.1	30.99411	16.603907	42.186497	-16.664066	44000	-7.390976e-09	1733.2427	-0.046597697	-271.22815	0.86914456	0.011954209	0.2105	79.0	139.49875116348267
11	154.76022	112.89704	337.12854	5.491637	176.5	33.6959	20.305872	46.79936	-20.735794	48000	2.9802323e-09	1536.3175	-0.04781153	-192.2959	0.8656042	0.014755402	0.21475	79.0	152.49476075172424
12	186.28171	113.324165	334.7879	2.1932468	190.2381	35.2218	23.211966	50.3894	-34.210243	52000	-2.3841857e-09	1632.3503	-0.011928366	-213.05164	0.8673414	0.016100714	0.16275	6.0	165.38479661941528
13	254.43835	73.330734	349.95917	93.94981	195.95	47.837067	15.942068	54.108574	-27.991865	56000	3.0994416e-09	1978.6025	-0.04716157	-325.51355	0.8659919	0.012837626	0.21925	79.0	178.37263941764832
14	253.19693	59.2419	370.85678	87.3267	157.64	56.994442	9.739883	58.633873	-23.369041	60000	-8.5830685e-09	2272.5374	-0.014447881	-323.31067	0.8618487	0.015924206	0.226	8.0	191.13614225387573
15	210.67801	96.96433	334.72153	9.3280115	197.05	52.341564	24.415943	63.437256	-26.939072	64000	-7.867813e-09	1148.7913	-0.048255056	-136.70349	0.8599582	0.014209635	0.236	79.0	204.19386434555054
16	242.68971	89.28618	356.7234	70.33469	206.05263	54.15253	24.667631	65.38156	-28.631565	68000	-1.4901161e-08	1190.8416	-0.022715308	-141.29248	0.8535786	0.015237966	0.157	15.0	216.8654510974884
17	244.96843	70.69842	366.1493	76.6014	188.66667	60.20326	21.8621	67.66875	-27.6155	72000	-9.6559525e-09	1393.9702	-0.047982875	-140.84436	0.8481721	0.014204559	0.226	79.0	229.5477955341339
18	259.1449	77.76558	370.54837	32.581444	180.68182	63.70564	19.618107	70.063156	-23.091274	76000	-2.3841857e-09	1529.4581	-0.04253539	-193.09692	0.84182453	0.0150106205	0.20375	41.0	242.3578999042511
19	264.81003	56.66925	360.79663	99.93099	179.63637	68.77159	15.770373	72.95841	-26.352894	80000	-6.9737434e-09	1450.8403	-0.009841176	-170.48596	0.8420843	0.015809435	0.166	7.0	254.86017727851868
20	239.13594	74.71383	349.0629	49.434887	178.81818	63.92213	26.443739	75.765495	-24.052797	84000	1.0251999e-08	1288.6865	-0.046712223	-137.81079	0.8423201	0.015030819	0.22575	64.0	267.64048075675964
21	272.5693	70.760574	355.43903	96.40594	203.63158	69.41461	21.163357	77.67091	-24.317802	88000	9.6559525e-09	1340.8945	-0.048459668	-145.53552	0.84469116	0.014977984	0.21325	79.0	280.62191462516785
22	264.20908	80.22227	404.451	61.47516	192.45	73.74872	20.49012	79.720024	-34.082867	92000	-8.225441e-09	1186.1874	-0.047359828	-75.78723	0.84107655	0.010184368	0.2265	79.0	293.52498388290405
23	279.3243	40.55204	333.62372	161.04132	177.90909	78.796844	13.683306	81.55268	-17.744022	96000	-1.1503697e-08	1158.5238	-0.013117568	-92.736694	0.8399373	0.015346216	0.18925	6.0	306.1319794654846
24	264.8152	41.71813	382.5965	196.07515	187.80952	78.50753	16.161083	83.81778	-16.336178	100000	-8.106232e-09	1056.0524	-0.008778081	-77.49072	0.83896005	0.017063057	0.233	6.0	318.756733417511
25	294.49792	30.190237	347.8044	247.57202	179.95238	84.11392	4.412975	84.912094	29.09901	104000	-3.0994416e-09	1224.297	-0.010930859	-104.607544	0.8383914	0.015320702	0.25525	8.0	331.3073539733887
26	286.6592	58.78154	355.27573	92.85005	192.15	82.89216	16.4436	87.29642	-21.594255	108000	-1.07288365e-08	1181.595	-0.04788102	-90.00073	0.8383484	0.012042408	0.228	79.0	344.23049306869507
27	254.67958	59.06867	337.39276	54.52476	168.04347	85.51789	16.454567	89.13165	-27.463615	112000	8.702278e-09	1080.8479	-0.052337635	-139.3183	0.839435	0.014983744	0.25125	79.0	357.0768802165985
28	265.4293	48.737247	334.2971	90.21337	170.69565	84.75795	19.275286	90.09213	-36.880188	116000	1.0967255e-08	977.9486	-0.044229474	-35.542114	0.82898736	0.015017279	0.21525	51.0	369.7993640899658
