Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.9703245	11.095525	65.48246	-11.655208	28.304964	0.008612425	0.22169177	0.6524184	-0.46669358	4000	3.5762787e-10	72.45645	-0.021636117	-11.295414	0.91893864	0.016266007	0.2765	6.0	8.937288761138916
1	10.564259	12.867296	54.43895	-9.883949	38.728157	0.9031423	2.4129596	5.409421	-4.77989	8000	-2.1457671e-09	92.88023	-0.019935077	-24.389015	0.9169611	0.016118538	0.187	7.0	18.306315898895264
2	22.869621	33.57219	202.05437	-20.407911	62.234375	2.7553668	5.153405	9.152078	-8.643572	12000	-1.1086464e-08	410.2515	-0.013714636	-83.863434	0.9147916	0.015343886	0.20475	9.0	27.950445413589478
3	61.46908	79.29834	319.72202	-23.666304	97.51219	6.376604	8.955555	14.263699	-13.474066	16000	8.3446505e-10	1633.3323	-0.04432207	-242.86877	0.9127267	0.012284382	0.19825	79.0	37.88414788246155
4	67.723755	65.99792	287.62732	-8.027901	103.4054	11.074486	12.8149185	20.188023	-19.034164	20000	1.3113022e-09	1359.9762	-0.011736192	-152.60559	0.90213996	0.016092405	0.20275	8.0	47.76258206367493
5	103.09719	98.985176	367.42657	-10.58528	138.25	14.629094	13.067071	24.22176	-22.107677	24000	1.3113022e-09	1837.6074	-0.047173485	-228.29456	0.9006945	0.012050995	0.2225	79.0	57.928844928741455
6	89.824814	84.98899	331.30002	-22.344591	141.96428	16.493597	16.118795	28.61968	-26.124195	28000	-5.2452087e-09	1149.5988	-0.046638634	-115.77063	0.8909442	0.015016159	0.24075	76.0	68.85287809371948
7	176.36375	122.982956	395.75018	31.32416	166.17392	24.026379	14.403174	31.36421	-25.779854	32000	-7.7486035e-09	2960.2456	-0.041254792	-423.98462	0.88377637	0.015013487	0.198	50.0	78.84465312957764
8	144.41287	107.29927	389.43585	-8.955193	157.2	24.010523	19.682535	36.570198	-31.519672	36000	-9.775162e-09	1994.9941	-0.013618591	-203.89636	0.8797492	0.015661972	0.198	8.0	88.91231107711792
9	196.11624	99.68668	369.85608	40.6756	196.8	26.607454	19.955437	39.988457	-28.975693	40000	1.192093e-10	2184.7378	-0.010502465	-311.85107	0.8777461	0.015345461	0.20525	8.0	98.80907225608826
10	227.96953	84.61515	365.43	33.013565	199.25	36.548225	15.389017	43.411198	-26.808876	44000	3.0994416e-09	2139.2625	-0.042676747	-285.2738	0.8755992	0.014176392	0.20225	79.0	109.22148370742798
11	238.06203	85.60807	336.50168	48.57817	181.13637	41.34335	16.017834	47.044777	-16.856588	48000	8.3446505e-10	2568.9575	-0.010324125	-309.7954	0.8604063	0.017221017	0.1575	7.0	119.7578055858612
12	268.94244	59.508633	361.24817	72.34702	174.54546	49.268055	10.162134	51.02179	-42.828278	52000	7.1525574e-10	2993.4016	-0.010310247	-366.86914	0.8584856	0.016003845	0.2185	8.0	130.15193343162537
13	251.27437	82.68884	384.51544	35.715195	163.34782	51.40435	14.904737	55.324924	-24.34181	56000	-6.556511e-09	2419.097	-0.011304189	-265.5061	0.85761315	0.015605575	0.211	8.0	140.4411563873291
14	253.3062	62.72033	380.6218	90.33664	179.86363	51.442993	19.7893	58.823067	-33.303207	60000	1.2755394e-08	1991.1832	-0.011924667	-205.79431	0.8587239	0.016162317	0.1935	9.0	150.85917019844055
15	245.55087	80.53404	359.68564	62.53636	185.0	53.613884	21.40203	61.588665	-22.462427	64000	-4.6491624e-09	1769.3501	-0.043889236	-164.2821	0.86016107	0.0112372935	0.222	79.0	161.62877750396729
16	280.07877	56.038033	370.8526	93.210464	181.4762	60.735657	14.2478485	64.03523	-21.425297	68000	6.6757204e-09	2066.4014	-0.04340766	-222.16663	0.8506132	0.013614817	0.20875	79.0	172.2547914981842
17	266.7132	61.1819	336.01877	106.653824	192.3	60.39694	19.099588	66.98825	-19.391687	72000	-5.9604646e-09	1635.043	-0.049726624	-143.70349	0.8434437	0.010089477	0.226	79.0	183.23687052726746
18	263.4219	76.75231	365.47943	65.01338	179.68182	63.685253	17.642117	69.18211	-20.721628	76000	-3.5762786e-09	1673.6897	-0.012505667	-139.13977	0.8413068	0.017049324	0.18775	8.0	193.96701788902283
19	269.1148	45.582848	360.88705	138.14223	188.09525	68.01046	14.003159	71.439224	-20.487375	80000	1.2516975e-09	1374.1049	-0.04710746	-111.38428	0.8407146	0.015017824	0.24475	79.0	204.87597250938416
20	280.75595	52.736317	375.91907	151.88567	197.95	69.983894	12.52305	73.05928	-15.042393	84000	7.1525574e-10	1397.556	-0.046888284	-143.49072	0.8376634	0.01482706	0.22275	79.0	215.76119995117188
21	266.10056	64.69429	352.956	42.12441	171.30435	71.61697	12.708261	74.791115	-10.326487	88000	-3.0994416e-09	1423.4113	-0.0142246755	-114.60901	0.8421138	0.015168361	0.162	9.0	226.57280349731445
22	249.4886	72.74887	381.32816	93.47221	184.2381	69.17799	22.860954	76.831	-29.676804	92000	-4.351139e-09	1109.1982	-0.048658244	-90.28479	0.84068	0.0104364455	0.2335	79.0	237.67515349388123
23	277.34174	49.194702	368.117	166.65385	175.72728	77.23943	4.354551	78.15477	17.296335	96000	-3.516674e-09	1304.1278	-0.0463702	-88.6792	0.845688	0.00531976	0.2275	79.0	248.67683601379395
24	271.468	73.989395	361.68478	78.85013	183.80952	75.28968	18.685123	79.958786	-24.42355	100000	5.2452087e-09	1256.5674	-0.012889727	-142.65149	0.84694517	0.016094102	0.21175	8.0	259.45140385627747
25	292.1599	48.788837	374.90765	199.46591	189.66667	80.3272	8.2750635	81.763405	-3.7046611	104000	4.6491624e-09	1232.5463	-0.047905575	-87.85962	0.8455543	0.007848064	0.241	79.0	270.5421597957611
26	276.3154	60.13743	366.70667	109.30552	199.3	78.9907	16.548586	83.47038	-17.04131	108000	-2.4914742e-08	1086.2345	-0.011272448	-60.88623	0.84513146	0.015289981	0.1855	8.0	281.29816246032715
27	273.9242	53.517017	392.00266	118.02901	180.33333	80.61715	15.718697	84.33014	-17.821396	112000	7.629395e-09	1086.9861	-0.048135575	-87.823975	0.843862	0.0109489	0.2465	79.0	292.3945965766907
28	279.60736	46.94693	354.92926	173.8826	171.43478	82.35443	15.862202	85.79964	-17.981323	116000	-2.2649764e-09	1154.8367	-0.010198418	-68.6897	0.83880496	0.015621153	0.20075	6.0	303.226313829422
29	290.2326	62.04284	379.08197	63.686108	188.71428	84.93754	14.264696	87.48662	-20.60164	120000	2.503395e-09	1173.6727	-0.010151928	-94.61926	0.83763516	0.016727602	0.18975	7.0	314.035737991333
30	263.8642	59.968636	329.42188	70.45816	165.75	82.0158	24.030785	88.91427	-21.276836	124000	-1.1205673e-08	1120.425	-0.011308576	-53.354614	0.8366127	0.016045948	0.21625	7.0	324.8457531929016
31	262.00388	64.2368	382.43073	71.50682	172.60869	82.78514	23.93127	90.160255	-50.38232	128000	-8.5830685e-09	1096.2252	-0.01247189	-62.73047	0.83692425	0.015136106	0.23475	8.0	335.7970712184906
32	292.42966	38.37162	383.74942	228.03001	170.08696	90.67758	1.8666798	90.87371	43.205574	132000	-2.3841857e-09	1145.6976	-0.046415646	-51.491455	0.8348171	0.0087617	0.2315	79.0	346.99965262413025
33	287.645	41.670242	368.83755	196.92159	173.65218	92.47358	0.047919158	92.47643	89.762085	136000	4.768372e-10	1148.4175	-0.012130157	-11.206421	0.84110594	0.01702658	0.22375	7.0	357.82171845436096
34	283.49014	46.01519	366.23517	170.00874	170.08696	91.553444	13.183827	93.44927	-17.71114	140000	1.26361845e-08	1090.1283	-0.040947672	-91.307434	0.8413444	0.0062980824	0.19875	79.0	369.1147971153259
35	285.58765	40.14301	372.69977	220.22153	164.91304	94.57521	0.54130745	94.637474	77.387924	144000	3.8146974e-09	1121.4789	-0.009969322	-26.975952	0.8391784	0.019060463	0.2135	6.0	380.15217757225037
36	307.9648	35.338223	361.8777	219.96375	180.5	96.008125	0.50000167	96.032074	74.63425	148000	-5.00679e-09	1082.4103	-0.007609058	-25.873291	0.83851594	0.015144013	0.1765	7.0	390.6068456172943
37	289.78464	49.154964	387.59488	122.78297	173.08696	94.60365	16.34331	97.49779	-15.48233	152000	-6.9141386e-09	1084.7406	-0.038688272	-72.069214	0.8391656	0.007493309	0.1805	79.0	401.9572811126709
