Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.893701	3.3482254	28.49196	1.9369856	15.560311	-0.3396156	0.14442453	0.31963795	-0.6905334	4000	-8.8214875e-09	34.695374	-0.017072367	-17.928747	0.91893864	0.016071564	0.19425	5.0	735.0957064628601
1	13.055657	6.811968	64.106705	3.9811585	18.663551	3.6847227	0.6902501	4.3767104	-2.0453413	8000	5.2452087e-09	48.93228	-0.01717676	-6.0847588	0.91789055	0.015033842	0.158	5.0	1807.7545337677002
2	21.178293	13.432537	79.5962	6.847044	26.231789	5.9831457	0.40914193	6.285761	-0.24087736	12000	9.536744e-10	147.16447	-0.019121729	-23.351357	0.91652924	0.018623574	0.2155	6.0	2940.21400642395
3	62.87155	63.97073	254.46347	11.517757	51.076923	9.9478855	0.17115733	10.039497	6.481667	16000	-8.3446505e-10	2357.7993	-0.012382993	-331.6587	0.9153981	0.01587666	0.22	6.0	4047.9036757946014
4	146.31276	78.99895	275.168	11.847827	86.847824	16.204155	0.0050743655	16.207825	16.111895	20000	9.417534e-09	4712.135	-0.008236559	-593.9873	0.9134766	0.015201508	0.17025	7.0	4786.897672891617
5	163.5979	42.72289	236.71179	21.315582	82.125	21.997719	0.00083350076	21.998516	21.983503	24000	4.2915342e-09	4080.4636	-0.0134211965	-449.02124	0.9106915	0.010908865	0.1095	79.0	6051.573741912842
6	167.02876	36.38445	219.38	80.930435	78.39216	26.367855	0.00036322753	26.368206	26.362543	28000	0.0	3907.43	-0.0070505566	-364.81274	0.90620744	0.016163817	0.23275	10.0	7183.734721660614
7	192.92618	24.072023	220.09691	114.06499	86.804344	30.056395	0.00024487986	30.056595	30.053102	32000	2.5331974e-09	4505.366	-0.010794228	-391.64697	0.90614396	0.0047176764	0.0855	79.0	8261.35385298729
8	185.30757	29.161875	217.70917	84.7636	84.40426	33.690876	0.00029405102	33.691055	33.684723	36000	3.5762786e-09	3807.323	-0.013540051	-301.40527	0.91495955	0.0072376444	0.0955	79.0	9131.18826508522
9	165.90627	32.917534	218.80844	83.46532	77.70588	36.829433	0.00026395413	36.829594	36.821327	40000	-6.1392784e-09	2766.9917	-0.014721247	-191.24951	0.9190319	0.0058143074	0.09175	79.0	10173.062814712524
10	152.42761	41.654835	212.0708	63.67348	72.545456	39.33728	0.00025166344	39.33743	39.33313	44000	-1.4305115e-09	2299.2444	-0.0055438667	-137.88403	0.9358575	0.016303435	0.2175	9.0	11211.614246368408
11	178.05467	37.35918	224.07063	55.967358	81.408165	41.47864	0.00022494997	41.478752	41.473957	48000	-2.6226044e-09	2914.1804	-0.014112767	-191.93994	0.9371683	0.0044121677	0.0745	79.0	12430.960010766983
12	171.08601	32.33977	215.71028	76.98182	79.28	43.977562	0.00034534725	43.97769	43.968235	52000	1.192093e-10	2361.6907	-0.006219293	-147.10083	0.94084895	0.016727192	0.2125	9.0	13565.93237543106
13	181.73137	33.860752	216.38042	77.40378	82.666664	46.21807	0.00036937947	46.21818	46.207085	56000	-5.4836273e-09	2570.9893	-0.01196682	-160.17358	0.94186074	0.0034194612	0.10025	79.0	14786.207788944244
