Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.09133287	5.231694	14.317346	-12.1554365	19.076555	-0.0041704606	0.17824878	0.5625825	-0.43319446	4000	3.0100347e-09	22.818022	-0.024170691	-4.751869	0.91893864	0.018226665	0.22725	5.0	19.204436779022217
1	4.369584	6.7823386	35.57665	-10.184575	21.95055	-1.9408183	0.6571007	1.7309942	-2.7421503	8000	-4.1723253e-10	39.399353	-0.024150582	-9.353151	0.9178482	0.017260112	0.28775	8.0	41.89768147468567
2	13.522528	17.771723	143.93733	-2.5241458	32.81818	0.6717805	0.4892672	1.513778	-0.9152999	12000	-1.2874604e-08	212.11949	-0.020539897	-48.663895	0.9170231	0.01634561	0.26925	9.0	67.19496202468872
3	19.201893	15.58488	108.02864	-6.4725113	41.8	6.6068096	0.24626401	6.74154	1.1985983	16000	5.722046e-09	121.97468	-0.019823654	-2.8337173	0.9150816	0.015251648	0.1425	6.0	90.70642828941345
4	38.197773	38.803974	177.69266	-1.2256635	84.723404	8.128725	0.10741759	8.199065	6.6271152	20000	-9.894371e-09	542.0368	-0.013758772	-21.970459	0.91295964	0.015112001	0.20725	9.0	115.59449887275696
5	41.709396	70.75108	290.08667	-31.503906	110.685715	11.920957	0.029785756	11.942004	11.424832	24000	3.695488e-09	1208.8939	-0.031186096	-1.5592041	0.91123855	0.015036367	0.14475	43.0	140.9882616996765
6	61.88439	85.49977	406.53268	-11.380326	118.666664	12.986439	0.035878286	13.006754	12.198677	28000	-8.106232e-09	1721.9088	-0.044674166	-48.71814	0.903226	0.010509047	0.19225	79.0	168.4435384273529
7	124.30011	108.22716	337.7984	-6.1407056	157.0	17.938969	0.013857438	17.947802	17.78229	32000	3.218651e-09	2790.019	-0.047721285	-268.04858	0.8936387	0.015038484	0.202	77.0	197.7466082572937
8	102.60735	104.8196	341.25143	11.571066	185.71428	25.381844	0.003922903	25.383852	25.30572	36000	6.556511e-09	1836.2316	-0.050711144	-2.3312988	0.8907148	0.011008586	0.2065	79.0	225.9120650291443
9	216.09488	98.43916	378.10004	-19.626417	209.73685	26.316555	0.006239474	26.319157	26.163733	40000	1.2516975e-09	3250.826	-0.015259938	-446.71167	0.88527113	0.015327001	0.224	9.0	252.66167378425598
10	171.26978	108.3606	319.71082	9.077362	210.16667	33.221287	0.0011831034	33.22191	33.200447	44000	7.987023e-09	2479.4133	-0.050205186	-94.73193	0.88447946	0.012552956	0.212	79.0	284.1310341358185
11	173.04672	122.84134	354.45633	-3.2034001	206.89473	36.39297	0.0011675311	36.393604	36.36676	48000	7.390976e-09	2431.2708	-0.056331523	-52.881104	0.88478386	0.012739945	0.23275	79.0	316.11853098869324
12	211.94466	97.5511	356.18314	37.15024	199.85	38.678192	0.00084658596	38.678715	38.663807	52000	7.152557e-09	2437.3318	-0.028755883	-161.78345	0.8749287	0.015105724	0.14375	22.0	346.66931891441345
13	226.75183	103.191284	343.38223	32.241505	205.73685	42.458042	0.00056962395	42.458374	42.448032	56000	-3.0994416e-09	2807.4832	-0.05562934	-152.69922	0.87305045	0.011381231	0.22575	79.0	377.9455051422119
14	255.6392	79.650665	347.74677	28.300169	178.27272	46.100327	0.00053412124	46.10065	46.09068	60000	7.092953e-09	3373.6057	-0.059077658	-354.96118	0.8698641	0.008942714	0.24725	79.0	412.3217113018036
15	239.43822	108.1908	387.71228	10.929976	202.78947	51.18692	0.00037537861	51.18713	51.180992	64000	-2.0861626e-09	2693.3699	-0.011047099	-131.39795	0.8690264	0.01572857	0.20875	6.0	447.04499912261963
16	239.06296	101.74784	365.9835	26.506077	180.2381	54.31974	0.0002532509	54.31991	54.315895	68000	-6.0796737e-09	2670.3083	-0.020938478	-113.865234	0.8687796	0.015140466	0.22225	12.0	482.1169002056122
17	267.44293	63.31029	374.4741	108.087524	185.61905	57.134148	0.00045106933	57.134323	57.123123	72000	-3.5762786e-09	2454.4255	-0.01725313	-194.25537	0.8668815	0.015081162	0.20925	10.0	519.5566914081573
18	263.84073	63.953884	347.7212	81.615486	183.19048	60.699883	0.00040934514	60.700047	60.688107	76000	1.192093e-10	2411.8074	-0.012557694	-153.68188	0.8660287	0.015206568	0.2445	8.0	554.5365250110626
19	223.18994	83.88948	322.99332	37.000206	175.04546	63.880955	0.00025080392	63.881073	63.874866	80000	1.192093e-10	2151.9443	-0.059718683	-16.662354	0.8646124	0.0071739242	0.26225	79.0	589.6904006004333
20	230.4128	106.85562	359.3568	26.000906	196.75	65.04663	0.0011684431	65.046776	64.99161	84000	6.7949295e-09	2358.3928	-0.054674048	-6.2128906	0.8610153	0.010413743	0.24675	79.0	618.8060929775238
21	237.03856	82.90692	320.16812	21.968924	167.73914	65.71812	0.00021713316	65.718216	65.71247	88000	-3.3378602e-09	2130.6208	-0.016677806	-45.715576	0.8673265	0.015028708	0.152	9.0	649.0705604553223
22	238.04865	90.690346	352.48285	34.107723	175.18182	67.46626	0.00019953237	67.46634	67.45774	92000	5.00679e-09	2342.7097	-0.010464611	-32.06079	0.86543036	0.015639419	0.1955	6.0	677.3373112678528
23	261.21893	66.4659	352.59393	78.847725	181.54546	69.02227	0.00013402553	69.02234	69.02057	96000	-4.529953e-09	1881.5754	-0.052108265	-66.96301	0.8648405	0.012805334	0.23625	79.0	707.5802216529846
24	247.00041	86.537	380.16312	59.361263	162.70833	71.228	0.0010546136	71.22813	71.176636	100000	-1.4305115e-09	2229.651	-0.053906303	-62.267822	0.8618431	0.013848837	0.211	79.0	737.3041684627533
