Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.03425375	5.0231633	15.064227	-13.093312	18.806604	-0.008334627	0.17762078	0.5993631	-0.4397788	4000	4.529953e-09	20.548923	-0.023252659	-4.1571655	0.91894394	0.018572783	0.20975	5.0	24.91787624359131
1	4.216015	6.5770917	28.928087	-10.506859	21.956043	-1.8388971	0.5799772	1.6192898	-2.5756571	8000	-6.6757204e-09	33.64885	-0.025013389	-7.883705	0.91865057	0.01607749	0.25575	7.0	49.069902181625366
2	11.948023	12.782489	64.66896	-7.950937	33.091667	0.59424585	0.42991507	1.354248	-0.9672041	12000	-9.775162e-09	120.2263	-0.045585427	-23.806824	0.91774195	0.013031084	0.24175	79.0	76.67616415023804
3	18.336214	16.534836	120.94628	-3.1724026	38.911766	5.3482237	0.31923148	5.6122713	2.1585994	16000	7.629395e-09	151.36435	-0.016792575	-7.7484894	0.91053826	0.017007984	0.141	5.0	103.92583084106445
4	40.69216	36.939243	224.7555	-16.767687	83.65958	8.090933	0.1091901	8.154797	5.798126	20000	-1.4960765e-08	505.0111	-0.04706843	-33.67804	0.909345	0.011256957	0.20625	79.0	131.1245722770691
5	48.363922	64.90475	251.31548	-25.014286	110.71429	12.817529	0.036280233	12.833903	11.444938	24000	9.059906e-09	1085.1238	-0.049706366	-2.8736572	0.9069612	0.011108912	0.21175	79.0	157.68630051612854
6	63.80344	67.84144	285.24466	-14.882878	122.4375	14.246869	0.022255775	14.260916	13.75076	28000	9.894371e-09	1304.2445	-0.050787635	-17.977905	0.8943159	0.013313056	0.21	79.0	185.6700804233551
7	99.72611	86.22192	333.3242	-0.011475656	159.125	17.57895	0.017868645	17.58716	17.111126	32000	-4.351139e-09	1841.8661	-0.05830844	-101.956665	0.88462746	0.011871437	0.23525	79.0	212.1523118019104
8	138.05942	110.407585	329.8406	11.370091	172.5	23.779701	0.010218427	23.784193	23.60515	36000	8.702278e-09	2593.2312	-0.05947603	-269.9895	0.8839345	0.013246509	0.24725	79.0	237.976393699646
9	164.61995	121.232285	346.46204	-7.474705	183.2381	30.971079	0.0041839164	30.972628	30.87516	40000	2.1457671e-09	2973.5156	-0.06181103	-186.84692	0.8772042	0.012295849	0.2555	79.0	264.0102195739746
10	180.41661	101.08477	365.69238	14.979315	204.78947	36.148907	0.0009807152	36.14953	36.135315	44000	4.529953e-09	2176.8545	-0.012768837	-94.21484	0.8776566	0.01734359	0.21325	6.0	288.3526086807251
11	205.78767	98.6332	357.5843	45.54322	184.71428	39.678818	0.0009423058	39.679367	39.651936	48000	-2.7418137e-09	2867.0818	-0.010338578	-181.85889	0.8769954	0.016206572	0.24875	6.0	312.66195797920227
12	223.82632	97.69072	357.05002	38.228504	200.94737	44.179646	0.0005438131	44.179977	44.163193	52000	-2.9802323e-09	2586.6006	-0.057930678	-152.24072	0.87583226	0.014111251	0.25125	79.0	339.06336307525635
13	233.80391	95.82891	381.33035	-12.269263	170.65218	48.16485	0.00035336908	48.165092	48.15658	56000	5.2452087e-09	3054.319	-0.043841824	-278.7666	0.8669191	0.015344202	0.1815	36.0	364.3801872730255
14	235.31145	100.222206	342.55405	50.4372	197.75	53.1075	0.0002332023	53.107655	53.10419	60000	1.2397766e-08	2759.2087	-0.013161237	-92.267334	0.8683605	0.016239375	0.247	7.0	388.78152227401733
15	291.8813	38.550232	367.96222	236.66812	186.28572	56.00051	0.00032346055	56.000683	55.99182	64000	-1.3351441e-08	2616.7214	-0.015496836	-388.8711	0.8681757	0.015792614	0.2165	8.0	413.1948847770691
16	263.8317	70.871376	366.04416	69.38558	179.59091	61.231686	0.00016906731	61.231804	61.22915	68000	-2.861023e-09	2308.662	-0.05612647	-168.84229	0.8660006	0.012847859	0.243	79.0	439.49417328834534
