Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.15494715	5.0890093	15.962074	-12.4657135	18.544186	-0.009173702	0.17570488	0.5669317	-0.43023962	4000	-6.9141386e-09	21.36254	-0.023837779	-4.757471	0.91894394	0.017397823	0.18375	4.0	47.63037085533142
1	4.073719	6.427748	34.087685	-9.3092575	21.489246	-1.9348444	0.6736629	1.899492	-2.7213328	8000	3.8146974e-09	34.646545	-0.022631314	-8.496634	0.9182918	0.016713228	0.28125	8.0	105.13964438438416
2	11.230328	11.3249	56.13612	-5.613288	32.024193	0.59374803	0.42569923	1.342673	-0.94226253	12000	-1.4305115e-09	93.965645	-0.020823162	-18.096588	0.9170033	0.015581357	0.28425	10.0	130.4675087928772
3	17.914814	13.007033	49.241066	-1.105733	41.789474	4.779934	0.39524564	5.117857	1.2251067	16000	1.0848045e-08	98.47946	-0.018629832	-5.028412	0.91458905	0.018771583	0.16125	7.0	155.7842071056366
4	40.261513	45.430454	256.8757	-2.0820115	81.18367	7.0383525	0.10608981	7.1301165	5.731952	20000	9.834767e-09	799.304	-0.040802162	-60.31189	0.91178375	0.0150258755	0.184	75.0	182.96629071235657
5	53.368336	65.86357	280.93094	-20.499132	107.666664	12.688076	0.059194673	12.70182	10.563061	24000	1.704693e-08	1150.2075	-0.042943858	-32.77832	0.9033397	0.01500616	0.1855	62.0	209.3728587627411
6	66.068695	77.253	352.88797	-31.616245	118.3125	16.484669	0.0131058395	16.491087	15.983477	28000	-1.1563301e-08	1361.0989	-0.036265075	-43.328247	0.8953252	0.015108851	0.1475	38.0	235.2872633934021
7	124.45318	111.094765	348.33655	-16.618557	151.26923	20.5023	0.00951237	20.50683	20.349266	32000	2.1457671e-09	2774.4807	-0.038357913	-264.0027	0.892831	0.015011159	0.18825	41.0	261.1079297065735
8	84.428406	82.652336	312.17468	2.074748	155.16	27.507652	0.0019320258	27.508968	27.4841	36000	8.3446505e-10	1466.5485	-0.045906734	-8.870972	0.8929559	0.015025447	0.19425	60.0	287.7468662261963
9	144.0853	107.1069	328.45108	-6.7678742	204.21053	26.57654	0.008520634	26.579226	26.260487	40000	1.1563301e-08	2158.6018	-0.05513067	-63.776855	0.8830589	0.011256125	0.22575	79.0	314.61439037323
10	171.21854	109.47959	333.4222	12.221175	198.8	29.568176	0.10837774	29.573168	25.306799	44000	3.218651e-09	2659.2515	-0.056680806	-142.22705	0.8702559	0.0083769765	0.2445	79.0	341.5261859893799
11	106.76964	93.91749	282.05005	-17.305908	198.85	34.031662	0.0015434934	34.0323	33.96294	48000	-5.722046e-09	1708.8145	-0.057771012	-24.45337	0.86701447	0.010927282	0.24075	79.0	368.4251389503479
12	147.94989	125.77565	354.28845	-2.5619178	197.4	32.434994	0.54174143	32.478973	10.336343	52000	-7.152557e-09	2550.6375	-0.058138028	-27.81958	0.8650776	0.00798392	0.24475	79.0	395.35922932624817
13	186.59575	122.96365	406.27606	13.260979	199.3158	34.229717	0.001166587	34.230362	34.20607	56000	-2.771616e-09	2775.476	-0.06278528	-157.18433	0.85801303	0.010965085	0.268	79.0	422.43655610084534
14	201.92761	99.73329	334.14694	12.515156	197.05	38.638306	0.00059297465	38.63869	38.62418	60000	-3.5762786e-09	2490.413	-0.014646684	-150.31128	0.85098624	0.015841393	0.221	8.0	447.13337206840515
15	228.04274	100.16289	375.47403	10.917724	202.36842	42.837673	0.00060125673	42.838024	42.827652	64000	2.4437905e-09	2528.9246	-0.061875377	-197.34106	0.8494288	0.010544523	0.28175	79.0	473.8176839351654
16	200.90855	118.79767	339.43924	4.954879	191.5	47.360577	0.00029753294	47.3608	47.353073	68000	-7.033348e-09	2640.7136	-0.013248631	-73.02466	0.84264064	0.015516401	0.23175	7.0	498.74892354011536
17	228.54309	110.82037	339.24234	1.0658988	194.55	50.156387	0.00039014968	50.156612	50.15042	72000	-4.887581e-09	2765.3647	-0.0156154	-130.05347	0.8408346	0.015017202	0.2245	8.0	523.5723581314087
18	245.7609	109.47513	379.4167	29.241049	196.05	53.671463	0.00037329821	53.671665	53.664574	76000	-5.1259996e-09	2923.1091	-0.059588376	-150.2439	0.838593	0.009117536	0.246	79.0	550.6129622459412
19	271.2669	58.957443	366.2406	116.82807	199.35	57.394756	0.0002518165	57.394894	57.38871	80000	-3.3378602e-09	2135.1853	-0.01117888	-205.70532	0.8403968	0.015586933	0.18075	5.0	575.4896059036255
20	253.38766	70.29514	345.109	55.888817	181.0	61.580338	0.00014407639	61.58043	61.577568	84000	3.9339065e-09	1938.397	-0.010791955	-111.15344	0.83778155	0.016749976	0.26	5.0	600.3721122741699
21	267.8477	46.410213	336.29437	147.91933	180.59091	64.67465	0.00011560427	64.67472	64.672745	88000	-1.192093e-10	1832.1766	-0.016508095	-147.21436	0.8354289	0.015098787	0.15925	10.0	625.3443367481232
22	279.80237	56.646225	338.98413	91.95738	181.09091	68.09715	7.9081256e-05	68.09722	68.09614	92000	1.1920929e-09	2150.7595	-0.054866515	-167.42847	0.8349174	0.0043618167	0.2225	79.0	652.3179528713226
23	246.09688	53.07779	340.35638	99.73637	164.91667	71.69051	0.00015411641	71.690575	71.68422	96000	2.2649764e-09	1849.583	-0.05568408	-37.421387	0.8371275	0.01081556	0.251	79.0	679.357992887497
24	267.84387	40.385048	364.00394	207.3008	153.1923	73.49609	0.00010425038	73.49614	73.49237	100000	2.861023e-09	1732.5801	-0.05304426	-160.98132	0.8431023	0.010850576	0.22925	79.0	706.609183549881
