Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.63122916	5.9590406	19.176441	-16.246061	25.08176	-0.09767713	0.15927593	0.38547897	-0.66371053	4000	-1.9073487e-09	28.799313	-0.0201176	-9.855234	0.91894394	0.01590269	0.19475	9.0	16.92799139022827
1	6.102046	10.45629	47.251186	-13.729682	38.611652	-2.0765672	1.9124836	3.9620397	-4.361341	8000	-1.9073487e-09	70.734146	-0.045268968	-12.946529	0.9154108	0.014660013	0.26175	9.0	35.54366326332092
2	9.771344	11.575725	57.76618	-15.080699	44.83146	-0.063068	1.8134483	4.2661376	-4.566521	12000	5.2452087e-09	71.82317	-0.014290367	-22.9968	0.9059401	0.020264747	0.206	9.0	52.11522674560547
3	14.736434	39.610607	246.55257	-38.44927	85.36957	-0.48023063	5.55647	8.592262	-8.659906	16000	3.218651e-09	454.34653	-0.0076645166	-98.39642	0.90269923	0.015327128	0.1935	9.0	68.21665573120117
4	13.383792	20.150652	60.38257	-32.014576	107.21622	-5.344094	9.438686	13.957313	-14.17542	20000	7.390976e-09	111.63846	-0.046773903	-18.383667	0.8996756	0.013165434	0.228	9.0	85.83758854866028
5	62.004494	81.21814	278.5378	-14.657912	135.44827	-0.06590979	12.140036	15.3651	-15.144946	24000	-2.503395e-09	1293.5575	-0.0101714665	-240.03528	0.89485383	0.016157681	0.19375	9.0	102.32616257667542
6	208.38255	113.64334	337.05658	-4.7322054	178.54546	15.190264	12.523565	21.853848	-20.971584	28000	-1.180172e-08	4460.813	-0.005601958	-802.86475	0.89237744	0.015078409	0.22625	9.0	118.66595554351807
7	264.73413	67.312355	346.3603	17.25534	186.19048	28.160072	6.792151	29.579613	-23.798813	32000	2.8312205e-10	4461.061	-0.03607114	-637.7466	0.8890851	0.013074089	0.16725	9.0	136.14789605140686
8	256.93857	82.24261	365.1847	51.14669	196.15	31.938696	12.399407	35.212902	-28.217213	36000	-9.894371e-09	3588.1138	-0.033815622	-399.10986	0.8910407	0.010428403	0.176	9.0	153.50854563713074
9	267.6114	73.340744	348.05457	58.162273	196.1	35.530422	13.423126	39.24422	-25.649181	40000	5.00679e-09	3451.3257	-0.029566985	-339.46167	0.8899678	0.015166918	0.17875	9.0	171.18248176574707
10	253.98216	65.64435	345.02106	39.147533	180.31818	38.56633	15.243895	42.838154	-25.43405	44000	-2.503395e-09	3137.626	0.0012508912	-283.51807	0.8785516	0.016889483	0.21375	9.0	187.58057403564453
11	265.3967	97.863716	365.60556	67.04258	204.1579	39.450455	18.253687	46.048237	-23.594488	48000	4.172325e-09	2856.4255	-0.021771893	-238.17407	0.8748292	0.007786471	0.126	9.0	205.31970524787903
12	222.42038	105.024666	365.49854	70.78186	223.41176	33.630894	25.891481	48.97385	-22.696665	52000	9.775162e-09	1526.905	-0.016268812	-97.218994	0.8794151	0.0114837475	0.11	9.0	223.2462911605835
13	229.94218	112.42271	361.12756	45.81593	208.78947	37.431847	23.932417	50.841038	-17.411112	56000	1.26361845e-08	1911.1831	-0.016048923	-125.19409	0.88614804	0.01510255	0.10225	9.0	240.6534640789032
14	195.79123	114.70996	373.44107	72.441216	217.77777	31.057714	28.828157	52.988987	-18.639383	60000	1.5377998e-08	1334.3533	-0.013408443	-69.68945	0.8663568	0.008749218	0.084	9.0	258.59156918525696
15	185.86534	115.068695	367.65967	63.208027	206.42105	31.266605	29.269022	54.65097	-19.166445	64000	-3.516674e-09	1220.1461	-0.014902592	-58.025757	0.87002987	0.01150277	0.103	9.0	276.3745822906494
16	148.03416	90.45828	337.19745	61.012894	219.83333	24.73725	30.357874	56.17832	-19.010756	68000	-6.198883e-09	490.64612	-0.010385049	-15.696503	0.85275894	0.007731287	0.06525	9.0	294.19337582588196
17	149.68298	89.676796	338.67865	53.905113	210.0	24.513622	31.059696	56.99508	-19.374903	72000	2.861023e-09	564.5891	-0.01266179	-20.246765	0.8508649	0.0046480023	0.08975	9.0	312.27255415916443
18	172.29544	114.750465	358.72742	58.029186	213.44444	30.906038	30.001066	57.822136	-15.94619	76000	1.4305115e-09	843.4506	-0.01253301	-36.9187	0.83662957	0.0035002544	0.063	9.0	330.20173811912537
19	204.68106	101.36167	373.2239	64.87626	221.11765	36.295773	29.426243	59.08954	-16.91859	80000	-1.2159347e-08	911.74817	-0.010553579	-49.02997	0.8333108	0.010023532	0.0835	9.0	348.0531234741211
20	198.53423	121.78329	362.996	66.353134	210.52632	36.832382	29.873585	60.51888	-15.777665	84000	7.629395e-09	1186.881	-0.009856248	-76.65112	0.8184059	0.006824836	0.07925	9.0	366.17901611328125
21	241.75739	104.51341	363.17847	73.560036	213.55556	44.862144	28.719366	62.355286	-22.987411	88000	-2.1457671e-09	1334.7963	-0.010244684	-93.06348	0.8172378	0.00918732	0.07	9.0	384.17707562446594
22	260.7766	97.808	360.08734	82.28192	235.23529	49.69217	26.896515	64.497375	-22.767132	92000	2.7418137e-09	1117.2416	-0.008355223	-85.93872	0.8132085	0.008308786	0.1045	9.0	401.6873745918274
