Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.5714238	4.894525	27.533669	-9.597071	17.69469	-0.100692205	0.22757992	0.49502105	-0.78776306	4000	-1.26361845e-08	14.643065	-0.028172065	-2.4116564	0.91894394	0.016218765	0.213	6.0	3.288944721221924
1	2.666468	7.0539927	41.421898	-8.58283	19.294685	-0.6719691	1.0794485	2.6216242	-2.6684895	8000	-1.6689301e-09	31.401253	-0.02509859	-5.746092	0.9177789	0.016779987	0.124	5.0	6.197396755218506
2	6.633223	8.597059	45.88814	-5.309511	23.650602	1.6337593	2.3570762	6.0970063	-4.139134	12000	-7.629395e-09	50.356934	-0.024065396	-8.657314	0.91674155	0.017891977	0.28325	8.0	9.123944282531738
3	13.108487	15.031952	116.417694	-8.37635	30.5	4.355237	2.8567636	9.347331	-4.046797	16000	2.5331975e-08	128.56877	-0.021662923	-18.355034	0.9154209	0.015539451	0.2105	8.0	12.063859224319458
4	29.883461	33.09566	169.54434	0.18610463	43.6	8.614906	3.854011	13.498328	-5.6994314	20000	2.0742416e-08	578.1479	-0.016248638	-119.384125	0.91431177	0.015421751	0.25525	11.0	14.982700109481812
5	64.46176	66.22502	250.49457	4.4231124	67.0339	15.787818	6.0553484	19.948704	-15.202274	24000	2.7894973e-08	1709.4897	-0.014925481	-301.87854	0.91219074	0.015129739	0.19675	13.0	17.888977766036987
6	84.42747	72.01668	242.61118	-9.632802	78.26	23.13538	8.432822	26.954151	-23.07228	28000	2.8312206e-08	1789.684	-0.013383272	-233.50061	0.9092942	0.015232365	0.19325	15.0	20.851623058319092
7	117.10744	84.106834	267.5785	4.4631567	106.0	27.018116	11.382649	32.071384	-27.34029	32000	2.5331974e-09	1926.2343	-0.013804236	-265.88367	0.9062183	0.015396625	0.16475	13.0	23.752885580062866
8	159.21318	86.55868	277.52246	0.96825147	113.97143	33.17648	11.405375	36.856384	-33.77213	36000	1.8119811e-08	2892.387	-0.025837637	-411.30664	0.90381724	0.008470706	0.119	79.0	27.084262371063232
9	172.00009	66.79696	282.45953	22.939754	121.25	38.06118	12.332242	42.19199	-28.827404	40000	-3.027916e-08	2261.0474	-0.03191111	-306.9558	0.8991328	0.013810459	0.1595	79.0	31.239163637161255
10	177.37065	90.440414	376.55698	14.707296	124.46875	41.768845	14.152741	46.36499	-18.267122	44000	3.9100648e-08	2447.973	-0.032125898	-284.83984	0.8903404	0.012578047	0.16275	79.0	35.12146210670471
11	176.15967	83.241455	269.10983	2.1448643	123.8125	43.9495	17.721434	50.163506	-39.788383	48000	7.605553e-08	2147.3193	-0.03214047	-243.61353	0.88968587	0.011990746	0.1555	79.0	39.885276317596436
12	180.00569	95.51513	324.94345	18.457092	139.5	42.311024	22.871952	53.442936	-19.001652	52000	1.502037e-08	1917.4227	-0.030313572	-190.02808	0.8848605	0.012702627	0.1565	79.0	43.9844868183136
13	168.84914	82.44355	304.84717	16.80063	134.89655	42.697296	24.899767	56.32042	-17.77602	56000	-9.536744e-10	1563.9076	-0.03129746	-172.13965	0.880625	0.008605061	0.1625	79.0	47.38522291183472
14	164.24889	95.51087	299.59457	6.8028054	132.41379	45.137203	25.259918	58.452675	-29.55359	60000	-2.3961068e-08	1802.179	-0.03242491	-237.32898	0.876782	0.013488744	0.18	79.0	50.82721948623657
15	207.13866	88.951385	321.25836	-12.48303	142.03572	53.79765	19.585659	60.62042	-37.52011	64000	-1.0490417e-08	1977.5337	-0.033113595	-212.89465	0.865403	0.009555875	0.17875	79.0	54.2558228969574
16	189.92468	87.57566	309.5698	23.959253	147.96297	51.11387	25.545237	63.414684	-36.454437	68000	-8.523465e-09	1620.2224	-0.036265574	-223.62915	0.867375	0.014074051	0.17875	79.0	57.78543400764465
17	206.61432	76.06958	294.14374	16.935596	135.34483	60.33708	17.441553	65.33138	-31.609133	72000	-1.2159347e-08	1729.9755	-0.03485365	-162.11975	0.86511457	0.0119985845	0.17725	79.0	61.252580404281616
18	210.71255	89.95739	379.6122	11.312203	135.31035	60.664536	21.356203	67.75569	-21.741722	76000	9.298325e-09	1740.5896	-0.034094136	-170.76855	0.86991155	0.010733254	0.1875	79.0	64.6573691368103
19	223.63121	67.51924	347.20465	41.434814	137.44827	65.35584	18.121454	70.41161	-17.094997	80000	-5.722046e-09	1636.7021	-0.03316828	-153.53564	0.8664058	0.006741171	0.18975	79.0	68.05460810661316
20	228.23206	60.85562	306.78912	39.437984	141.92857	68.104294	17.269712	72.932335	-18.900043	84000	-3.3140182e-08	1419.7098	-0.031138858	-158.76965	0.87100357	0.00908884	0.174	79.0	71.49574828147888
21	221.08617	83.23069	485.86526	31.52267	136.24138	70.37707	17.851736	75.15201	-16.59395	88000	-4.738569e-09	1499.6349	-0.037189554	-161.40784	0.8784104	0.011303756	0.21125	79.0	75.00487351417542
22	209.5335	84.83246	342.20206	20.561087	143.92592	70.750336	21.362722	77.17513	-21.242464	92000	2.3841857e-09	1338.487	-0.039453123	-163.24097	0.8748015	0.01216061	0.2245	79.0	78.37710738182068
23	194.43468	80.94655	321.87064	14.803612	142.11111	63.52626	30.86713	78.518074	-43.317673	96000	1.0073185e-08	1145.247	-0.039006937	-121.92346	0.8653818	0.01258154	0.223	79.0	81.82178997993469
24	219.67665	71.41829	305.33652	38.469677	139.96428	68.80254	27.231386	79.72088	-32.81092	100000	-5.00679e-09	1304.0758	-0.036755603	-90.81946	0.8618389	0.013732832	0.2125	79.0	85.32285237312317
25	229.52281	71.818306	312.85797	36.448063	142.32143	72.81864	24.553907	81.52685	-23.735836	104000	1.2993812e-08	1265.717	-0.01310696	-145.60828	0.8578716	0.0152065465	0.204	10.0	88.37783980369568
26	225.43074	69.24653	323.49005	20.79737	142.66667	75.96417	22.808739	83.32955	-21.034325	108000	-1.31726265e-08	1244.2726	-0.037362553	-73.99158	0.85804933	0.010555237	0.22175	79.0	91.8850576877594
27	260.0543	56.89966	365.61798	73.74878	154.44	81.657616	15.7026825	85.04107	-17.275524	112000	-4.529953e-09	1436.5629	-0.037848353	-171.97424	0.8574362	0.01223388	0.21775	79.0	95.51936912536621
28	235.34862	91.2674	407.28506	26.77275	153.04167	80.57394	23.365047	87.10892	-19.073149	116000	1.9311905e-08	1280.3127	-0.04000874	-161.83472	0.8561945	0.012879549	0.23275	79.0	99.01933932304382
29	266.1596	61.94015	425.87747	75.657425	157.2	84.50039	16.443735	88.71825	-23.349728	120000	8.8214875e-09	1309.7717	-0.036275294	-140.28198	0.85407144	0.015014633	0.2355	59.0	102.42190790176392
30	261.9345	52.923553	343.85815	57.91635	151.42308	88.08458	14.875643	90.56824	-21.672482	124000	-4.768372e-10	1208.5903	-0.034242537	-54.52539	0.84561515	0.005570691	0.199	79.0	105.87769293785095
31	267.35492	63.666363	395.12457	104.27055	161.75	89.020836	16.346834	92.237366	-17.516186	128000	-8.46386e-09	1100.243	-0.035221595	-44.35315	0.85108674	0.015004521	0.19975	63.0	109.19200468063354
32	247.33705	62.791862	386.4202	48.080906	153.11539	86.74167	24.020376	93.57357	-18.92237	132000	-4.529953e-09	1130.6567	-0.034360465	-102.921875	0.850208	0.01442186	0.19775	79.0	112.69535851478577
33	282.17984	104.55892	486.6895	59.658257	185.35	87.51736	21.56415	94.23115	-20.62857	136000	2.6106834e-08	1221.4255	-0.038444117	-138.67053	0.85697687	0.015090638	0.21925	75.0	116.29270339012146
34	250.8019	72.08317	387.06195	13.460579	150.42308	90.71203	21.134935	95.71787	-20.926308	140000	5.2452087e-09	1108.2201	-0.037486337	-61.197266	0.85686773	0.0130354855	0.22525	79.0	120.26581144332886
35	269.36917	61.64328	393.22885	40.433613	163.04167	92.29213	18.302742	96.456406	-13.906122	144000	2.6524067e-09	1079.8663	-0.042321328	-60.527283	0.8553356	0.009396747	0.242	79.0	123.70246839523315
36	278.72223	80.45775	494.3891	61.559074	171.63637	93.61622	17.72978	97.197495	-18.040846	148000	2.7120114e-08	1121.9323	-0.037887026	-69.26538	0.85408896	0.014975522	0.22625	79.0	127.16972279548645
37	329.0437	106.7949	698.90436	205.81476	207.94737	98.0526	3.4075634	98.375275	11.824546	152000	-2.1457671e-09	927.9728	-0.029674707	-35.150818	0.8571666	0.015076404	0.17875	41.0	130.2934308052063
38	283.69617	97.947685	461.00085	31.04282	190.33333	94.27003	22.89665	99.612755	-24.329992	156000	-4.053116e-09	956.796	-0.040735587	-74.7113	0.8656014	0.013971891	0.24025	79.0	133.7189497947693
39	257.7648	111.49743	495.50772	42.090378	182.95238	87.38129	33.85454	100.043816	-21.762392	160000	7.987023e-09	1172.7141	-0.03817375	-166.5047	0.86708295	0.015001219	0.209	49.0	136.91013097763062
40	271.87082	79.84813	430.0181	36.29063	164.16667	96.198074	17.242882	100.61766	-18.112259	164000	8.940697e-09	1055.6176	-0.040459104	-82.87067	0.8637728	0.014107069	0.239	79.0	140.3694806098938
41	282.33698	88.679695	480.31085	78.59485	177.59091	95.35279	21.770592	100.81904	-12.629609	168000	1.2040139e-08	1019.4872	-0.039436277	-77.584656	0.858597	0.010644419	0.24475	79.0	143.77384185791016
42	268.78406	69.52291	486.10046	68.34324	154.2	97.959045	17.88584	101.52319	-11.243352	172000	3.695488e-09	1132.6154	-0.012312711	-34.92456	0.8539223	0.015152864	0.214	8.0	146.66803765296936
43	304.48712	71.60972	537.806	217.94525	186.42857	101.66999	5.712067	102.33003	14.761319	176000	1.525879e-08	937.75464	-0.032394752	-33.471436	0.8524043	0.015111384	0.20125	39.0	149.78232860565186
44	274.58423	37.490623	358.8738	199.71585	156.84	102.552414	0.29418033	102.561195	84.13582	180000	-9.536743e-09	949.7444	-0.04007561	-0.23773193	0.8486083	0.012232439	0.22	79.0	153.34628987312317
45	274.16525	72.05165	424.71332	48.588715	160.0	100.33379	14.214465	102.57117	-7.9875865	184000	1.692772e-08	1147.9271	-0.014287277	-32.767822	0.8494468	0.017253285	0.225	7.0	157.00667190551758
46	267.0527	42.13112	393.87042	206.08356	148.23077	103.24146	0.11784711	103.25112	98.69164	188000	1.26361845e-08	1028.1227	-0.012516777	-0.9239502	0.84929246	0.016099712	0.2445	8.0	160.21193933486938
47	283.14005	51.97363	423.42035	205.49437	158.68	102.95655	0.20744674	102.97685	96.64473	192000	-1.3113022e-09	1069.5349	-0.011038037	-1.6313477	0.8497898	0.015996149	0.19375	8.0	163.25467681884766
48	250.39626	78.18772	387.10715	44.77303	155.76	96.49486	24.73586	103.39352	-9.000729	196000	1.1324882e-08	1221.8855	-0.036664337	-211.02655	0.8515814	0.015000689	0.22225	58.0	166.5362467765808
49	282.34915	86.56002	458.96085	76.06157	170.56522	97.12115	21.581291	103.27991	-15.448105	200000	3.1888487e-08	1292.5393	-0.041679095	-173.63391	0.8647769	0.009518469	0.25675	79.0	169.99463820457458
