Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	16.275919	15.272206	173.76208	5.067839	17.064102	0.063884266	0.08691635	0.26567084	-0.29206732	4000	1.168251e-08	338.17734	-0.026582351	-86.226776	0.91893864	0.0077243033	0.22225	79.0	2.8100602626800537
1	28.29948	28.295729	153.68231	5.1132803	23.349112	5.0559134	0.36695248	5.2501764	-0.25128633	8000	-8.106232e-09	772.781	-0.018610729	-120.68036	0.8990702	0.02007009	0.2985	6.0	5.043411016464233
2	51.11057	48.95686	225.14413	6.4635086	34.964912	9.049549	0.15175746	9.091084	5.303041	12000	-5.9962275e-08	1831.4009	-0.014512918	-223.83606	0.89849645	0.020647569	0.253	5.0	7.240217208862305
3	89.314026	62.736645	232.89293	6.9555206	52.648647	13.309726	0.028954362	13.31963	12.672196	16000	-1.3589859e-08	3067.4495	-0.009215359	-349.76685	0.8979462	0.016763212	0.1795	6.0	9.710387468338013
4	109.26615	55.55474	240.69641	9.761438	60.369232	17.727613	0.0122610545	17.731256	17.432034	20000	1.5509129e-07	2846.2898	-0.015579488	-288.12622	0.8972702	0.007930274	0.0975	79.0	12.963788032531738
5	135.33784	56.38151	248.33685	35.188732	70.21429	21.416082	0.0041317856	21.417542	21.327879	24000	5.400181e-08	3426.814	-0.01483334	-321.14844	0.89046216	0.004603324	0.0725	79.0	16.177059173583984
6	144.0704	59.889084	240.90103	7.8308735	76.38461	25.064377	0.0040948424	25.06535	24.903767	28000	2.4318695e-08	3313.2358	-0.014283258	-279.8999	0.88729364	0.007770292	0.085	79.0	18.9629168510437
7	181.93272	48.123104	259.80765	48.842842	90.22727	28.367865	0.0036764902	28.368526	28.225994	32000	-3.3378602e-09	4101.5894	-0.016328339	-350.84058	0.8738593	0.005981215	0.0985	79.0	21.637903213500977
8	183.55756	47.09254	245.2434	70.495	89.11364	31.908314	0.002007736	31.908756	31.838549	36000	7.367134e-08	3887.7175	-0.011892073	-310.74243	0.8636218	0.008596991	0.07775	79.0	24.5162193775177
9	191.29498	38.44029	232.7786	62.867973	90.790695	35.1795	0.0012686683	35.179855	35.14547	40000	6.651879e-08	3872.158	-0.015970247	-298.57593	0.8592141	0.00909935	0.0945	79.0	27.272602081298828
10	199.95926	32.273968	241.16383	84.98237	94.5	38.3209	0.0011385676	38.32118	38.29643	44000	4.315376e-08	3651.9146	-0.013441196	-267.9297	0.8657572	0.012315787	0.1105	79.0	30.024028539657593
11	205.13464	17.734476	234.62363	118.15402	95.02381	41.26965	0.001070358	41.269897	41.242306	48000	-2.169609e-08	3513.5244	-0.00904318	-249.4646	0.8478389	0.0026116082	0.063	79.0	32.77065110206604
12	200.81775	22.979176	235.75037	93.842155	91.790695	44.094585	0.000878176	44.094795	44.06697	52000	-2.9087067e-08	3224.484	-0.011985537	-217.97363	0.83042437	0.0044719083	0.06625	79.0	36.44627070426941
13	201.52539	19.771124	228.86908	127.135284	91.11628	46.73603	0.0007304631	46.736206	46.71936	56000	2.783537e-08	3120.064	-0.010904329	-203.10205	0.8304766	0.0060700406	0.0775	79.0	40.22029733657837
14	201.78589	11.490305	217.73767	151.28322	90.77273	49.284733	0.00063665764	49.284893	49.276047	60000	-3.361702e-08	2838.2832	-0.008710739	-176.84253	0.8253721	0.0023612196	0.04525	79.0	43.223698139190674
15	203.13574	24.027655	227.24133	69.06498	91.325584	51.678032	0.00066632393	51.678192	51.658695	64000	-1.0251999e-08	2796.704	-0.011676679	-166.49976	0.8260066	0.0016223781	0.05775	79.0	46.14049768447876
16	198.82382	35.112686	227.87956	31.458838	89.431816	54.008892	0.00051453925	54.009014	53.99908	68000	-3.349781e-08	2599.3665	-0.011368674	-144.90405	0.8267109	0.0037912198	0.06275	79.0	48.895939111709595
17	207.70424	11.071844	224.54927	179.29243	92.674416	56.205578	0.00047036863	56.20569	56.198997	72000	-1.1920929e-09	2528.4238	-0.011911808	-139.62207	0.8297181	0.004019771	0.079	79.0	52.3633918762207
18	201.09984	28.334177	229.35326	73.03869	90.25	58.37409	0.0004766238	58.374195	58.36565	76000	5.197525e-08	2316.1423	-0.013468472	-113.60571	0.83425945	0.0037196348	0.07675	79.0	55.64360499382019
19	206.83705	12.179568	225.14069	157.02882	92.76744	60.36085	0.00044352256	60.360947	60.351757	80000	-9.727478e-08	2230.132	-0.0113905445	-107.31543	0.84494174	0.004564519	0.074	79.0	58.38627290725708
20	208.2192	10.061706	223.9564	175.81978	93.309525	62.305313	0.00036760882	62.305397	62.301098	84000	-2.4557114e-08	2192.5452	-0.010520508	-103.10132	0.8544452	0.0051269303	0.0785	79.0	61.43273162841797
21	209.72914	8.520509	221.70204	183.80899	93.38095	64.23322	0.0003575681	64.23331	64.22891	88000	3.8504602e-08	2137.9766	-0.012383995	-96.36963	0.8536072	0.0056068315	0.08825	79.0	64.83938074111938
22	207.91621	11.133403	228.47258	178.45355	92.906975	66.1209	0.00032496644	66.12099	66.115746	92000	-1.013279e-08	1963.9526	-0.012114726	-76.9447	0.86267453	0.0054563363	0.0685	79.0	68.61730575561523
23	207.9886	8.84782	222.84975	188.07506	92.93023	67.83806	0.00036471	67.83812	67.82874	96000	1.29342075e-08	1888.6829	-0.012368297	-68.0686	0.8700866	0.0056642047	0.07575	79.0	72.15968132019043
24	206.29456	9.751458	225.03207	185.80222	92.860466	69.47114	0.00028920255	69.47121	69.464424	100000	2.0384789e-08	1754.7363	-0.010792042	-54.173462	0.8663178	0.0020899526	0.07675	79.0	76.04691481590271
25	198.71289	18.225824	235.17441	143.3366	90.068184	70.95589	0.00027356241	70.955956	70.9534	104000	-1.2397766e-08	1586.5767	-0.01636137	-36.971924	0.8535386	0.010872536	0.0995	79.0	80.07336282730103
26	204.02475	12.661343	223.46596	158.97794	91.88372	72.209656	0.00025715717	72.2097	72.20521	108000	-1.2397766e-08	1629.4875	-0.013555513	-39.573975	0.8488093	0.0059745885	0.06225	79.0	83.42725372314453
27	202.25252	12.968385	226.13994	172.66461	91.209305	73.51183	0.0006720785	73.5119	73.47422	112000	1.2397766e-08	1589.8875	-0.015612027	-35.02478	0.8456488	0.0038849984	0.10875	79.0	86.44905138015747
28	201.11598	25.840675	222.41705	47.973705	90.36364	74.766014	0.00022433288	74.76606	74.76278	116000	9.298325e-09	1558.156	-0.012533457	-29.389038	0.84906155	0.008378846	0.076	79.0	90.30088376998901
29	201.15343	17.468924	224.16316	136.50233	90.431816	75.93683	0.0002977137	75.93689	75.93019	120000	2.3007393e-08	1496.004	-0.016838796	-23.23523	0.8612941	0.01020799	0.0875	79.0	94.31589889526367
30	206.47856	12.356249	223.7947	165.77524	92.4186	76.998985	0.00023531247	76.99902	76.99307	124000	-1.1205673e-08	1525.5405	-0.010877867	-25.614258	0.8658998	0.005708032	0.07	79.0	97.4332628250122
31	206.55493	9.9851265	224.47124	177.98395	92.674416	78.123924	0.00027718695	78.12399	78.11342	128000	-4.053116e-09	1509.3226	-0.013019969	-21.200317	0.875681	0.0034376525	0.0805	79.0	100.55736303329468
32	206.41081	13.229643	229.29868	147.92677	92.51163	79.17513	0.00025594945	79.175186	79.165276	132000	4.172325e-09	1477.7655	-0.014250384	-18.408813	0.886737	0.007455472	0.09725	79.0	103.61434841156006
33	208.79102	8.177508	225.79573	186.69273	93.47619	80.171	0.00017562098	80.17104	80.16852	136000	-9.894371e-09	1502.8779	-0.016411413	-19.750854	0.87997454	0.0055333837	0.1	79.0	106.31734824180603
34	204.23953	15.259621	226.43944	138.23468	91.906975	81.215546	0.00036087766	81.2156	81.203285	140000	-2.9563903e-08	1414.796	-0.013222233	-10.543213	0.88228834	0.004716041	0.078	79.0	109.51216316223145
35	204.68811	16.963564	223.32965	116.82364	92.16279	82.010826	0.00015639594	82.010864	82.008606	144000	-3.242493e-08	1424.3688	-0.014175585	-8.465942	0.8872258	0.005843074	0.086	79.0	112.56244611740112
36	209.35063	7.0769277	223.24155	194.05699	93.7381	82.72658	0.00015098628	82.726616	82.72484	148000	-3.528595e-08	1440.4296	-0.013589325	-11.756836	0.88238406	0.0074008736	0.084	79.0	115.60641264915466
37	207.53944	10.2987175	222.6253	185.10497	92.860466	83.57511	0.0001436764	83.57514	83.57337	152000	1.692772e-08	1418.7819	-0.014801203	-7.477295	0.8973235	0.00661699	0.07625	79.0	118.63568902015686
38	204.62701	8.895967	224.42563	181.65492	92.0	84.28075	0.00014735258	84.28079	84.27861	156000	3.2305717e-08	1370.8236	-0.015172616	-3.9239502	0.89427245	0.007815499	0.085	79.0	121.68853759765625
39	202.84062	29.075935	226.50801	36.415215	91.06977	84.80478	0.00013415505	84.8048	84.80299	160000	-9.179115e-09	1468.3853	-0.015632337	-5.735718	0.90950155	0.003558956	0.088	79.0	124.55186700820923
40	207.98653	11.11638	225.0168	178.96553	92.95349	85.4324	0.00012716978	85.43244	85.43113	164000	7.927418e-09	1416.1042	-0.016031517	-4.2403564	0.89218944	0.006779472	0.11475	79.0	127.40824174880981
