Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.4664624	9.114892	46.96734	-11.506609	27.944056	0.0054908716	0.21858308	0.6656288	-0.5021557	4000	8.8214875e-09	50.470516	-0.021852242	-8.537716	0.91893864	0.016733432	0.26525	6.0	2.267157554626465
1	6.793926	12.474239	49.05784	-20.795532	36.601852	0.49476665	2.1980374	5.4039445	-4.7110753	8000	-6.9141386e-09	84.61739	-0.018246725	-23.708233	0.9185992	0.016304664	0.22475	7.0	5.764686584472656
2	19.756783	25.38975	124.34317	-11.149755	48.975307	2.635265	4.9208007	9.426271	-8.945559	12000	-1.502037e-08	282.34808	-0.01642839	-74.53046	0.91774917	0.015228734	0.262	10.0	8.125744104385376
3	26.68002	31.34869	172.12706	-10.002094	68.93104	5.604001	8.869041	14.442333	-13.73047	16000	1.9550324e-08	275.0498	-0.01816545	-50.71675	0.9157087	0.016268302	0.18825	9.0	10.690525531768799
4	41.307262	47.391495	264.47565	-15.667828	98.84615	5.5032744	11.9440155	17.367311	-16.480307	20000	-2.4437905e-09	544.409	-0.037095886	-85.935394	0.91357595	0.015109622	0.17525	59.0	16.6972177028656
5	75.359474	81.57791	289.4529	-0.41119045	100.38461	11.63116	13.178199	22.277115	-21.049831	24000	3.6358834e-08	1746.7987	-0.044839587	-290.46558	0.9068278	0.011102951	0.20975	79.0	19.66607975959778
6	105.57182	99.69655	365.98425	-11.298458	125.870964	17.283762	15.819396	29.009174	-26.139378	28000	1.9311905e-08	2020.4476	-0.047598157	-281.48914	0.8971905	0.012266767	0.19575	79.0	22.45211100578308
7	125.20832	95.09525	331.31488	4.2844477	117.14706	25.971045	15.258334	34.417152	-27.342667	32000	3.552437e-08	2204.9224	-0.047233652	-269.4834	0.8877233	0.0150868	0.218	66.0	25.28558087348938
8	139.66399	111.84167	399.8997	0.2975142	149.38461	26.389479	19.088518	39.076683	-32.225296	36000	-2.336502e-08	1874.2622	-0.04928708	-227.01294	0.8791755	0.014903354	0.2305	79.0	28.3337140083313
9	181.95087	110.1911	372.30457	35.870163	147.44444	35.70643	15.57347	42.904095	-20.618254	40000	-1.5497207e-08	2687.0205	-0.051564038	-330.90234	0.87084204	0.013975267	0.228	79.0	31.473891496658325
10	219.28706	113.48116	482.3257	40.384613	179.81818	37.404343	19.490685	47.45576	-29.500477	44000	2.9802323e-09	2451.383	-0.012772993	-383.08057	0.86400217	0.015409238	0.2135	7.0	33.984628438949585
11	184.08937	105.6139	318.56708	7.2134957	181.63637	38.671204	22.895248	51.560905	-28.347437	48000	1.3411045e-08	1671.2216	-0.010936847	-195.44507	0.8645117	0.01615807	0.1655	9.0	36.467480182647705
12	185.0547	110.60147	418.76053	3.0368335	190.33333	39.180977	21.924423	54.176094	-20.911768	52000	2.9802323e-09	1394.2156	-0.009254732	-135.96631	0.8649795	0.016383791	0.16675	6.0	38.86805605888367
13	228.02937	112.65633	429.11423	46.103508	182.7	45.506058	19.839012	56.362247	-29.838198	56000	3.7670137e-08	2163.806	-0.048535865	-233.30066	0.86491746	0.011342206	0.2225	79.0	69.08011388778687
14	274.54324	109.66119	633.00336	53.231144	186.09525	54.396282	15.133343	59.430943	-21.917328	60000	-2.0742416e-08	2463.8755	-0.011216369	-422.1117	0.8629282	0.016071966	0.19125	8.0	71.33514261245728
15	244.26791	86.61009	398.71518	89.614914	204.57895	53.396152	21.855402	63.40986	-20.103912	64000	9.536744e-10	1461.8447	-0.048514094	-158.90771	0.8618392	0.014183159	0.21375	79.0	74.12707495689392
16	221.45596	90.41193	325.9735	48.418102	185.66667	51.51977	26.911541	65.79384	-36.332954	68000	-2.7179718e-08	1481.614	-0.048069578	-171.1438	0.86477154	0.013201761	0.2175	79.0	77.68192887306213
17	247.80295	99.11589	423.91898	48.5104	195.05	55.15935	25.64532	67.98734	-20.140411	72000	-1.9073487e-09	1570.8684	-0.012296787	-220.41528	0.8651618	0.018442027	0.18525	7.0	80.15515518188477
18	279.3134	94.28084	529.9642	91.302536	189.3158	64.599846	19.32674	70.34715	-21.532297	76000	-1.1444092e-08	1673.7355	-0.047750026	-193.0542	0.86513144	0.015125754	0.2465	70.0	85.88795495033264
19	291.78848	95.10789	525.5771	71.538605	206.1579	66.93944	20.66396	73.303764	-52.812958	80000	2.002716e-08	1639.383	-0.051179785	-160.4729	0.85847574	0.011111472	0.2485	79.0	89.52529859542847
20	315.65585	119.402054	563.6906	80.76529	220.55556	69.738014	20.869816	76.09911	-22.838577	84000	1.704693e-08	1558.228	-0.05123409	-195.04443	0.8512398	0.0060414653	0.23975	79.0	92.43967080116272
21	258.34723	100.4589	441.05536	27.801205	184.38095	70.29542	25.323183	78.75095	-27.134733	88000	5.9604643e-10	1426.5083	-0.03506237	-128.04285	0.851125	0.015442998	0.17725	28.0	95.02863693237305
22	345.66522	121.66197	592.4995	134.21812	273.92856	66.61336	28.654692	80.65655	-22.821934	92000	-1.5556813e-08	1511.5413	-0.051116012	-303.90796	0.8505013	0.015074049	0.24625	70.0	111.00579285621643
23	317.39896	74.732445	468.39392	197.3633	212.88889	80.061516	13.663556	82.409256	-22.43685	96000	-2.2888184e-08	1369.8988	-0.013240766	-141.96472	0.84696615	0.015387535	0.2095	7.0	113.53485345840454
24	294.3274	100.17103	490.15503	178.53503	209.47368	77.23875	22.619192	84.69946	-22.879362	100000	3.8146974e-09	1156.9999	-0.007635099	-463.45923	0.8466237	0.015552587	0.132	6.0	115.86674690246582
25	300.6916	130.66792	683.5192	79.65192	248.1875	70.83853	29.34457	86.30048	-17.792906	104000	-2.4318695e-08	954.1904	-0.047279492	-233.26025	0.84666806	0.015034035	0.238	63.0	119.22003936767578
26	288.8032	85.05735	440.93326	62.822132	186.38095	75.94644	25.893156	87.73308	-17.975075	108000	-2.9683113e-08	911.84265	-0.05492579	-152.13055	0.8451111	0.013104471	0.27325	79.0	122.42147207260132
27	280.16727	159.44185	596.5853	92.320465	283.7143	61.212906	40.409233	90.176834	-18.457659	112000	-9.536743e-09	795.2422	-0.04810146	-192.52576	0.8441832	0.01377451	0.2415	79.0	125.34044861793518
28	393.76334	115.60008	700.99023	207.01968	280.42856	80.38418	22.685879	90.98948	-18.58604	116000	-1.0073185e-08	901.8134	-0.052072678	-236.64154	0.841653	0.014774314	0.27475	79.0	128.95184922218323
29	300.18774	109.627144	496.5748	72.98006	219.66667	75.01901	33.585426	93.37874	-19.080149	120000	3.3140182e-08	815.7962	-0.011608123	-148.35492	0.83480984	0.015480081	0.20525	7.0	131.44944643974304
30	340.94907	126.60336	586.878	70.623604	246.71428	81.76076	28.885391	95.26813	-19.434256	124000	-2.6583672e-08	565.22864	-0.010203842	-103.011536	0.8336819	0.015468068	0.2065	6.0	133.79775023460388
31	342.62845	153.22794	677.057	60.47723	244.3125	84.68094	28.632664	96.97298	-19.76096	128000	-3.784895e-08	735.7608	-0.049801163	-116.73395	0.8322954	0.014762465	0.25125	79.0	136.84841299057007
32	342.79065	145.0283	752.9388	194.83333	220.70589	88.48762	23.275717	98.475105	-20.054358	132000	2.4318695e-08	475.61636	-0.050744362	-110.187164	0.8333242	0.013570471	0.27725	79.0	140.38529133796692
33	281.1157	95.32129	418.95316	61.657845	200.42105	81.647575	34.51522	100.19572	-20.38376	136000	-1.3351441e-08	564.576	-0.04764937	-100.18591	0.82614297	0.011022054	0.237	79.0	144.08036422729492
34	327.74777	134.56511	747.74524	104.198746	220.33333	86.61333	27.835495	101.3094	-20.544466	140000	2.0861625e-08	508.06537	-0.045690205	-180.82654	0.8310596	0.015148601	0.23625	54.0	146.96408653259277
35	306.59207	105.55266	468.71115	52.264175	216.05556	86.510506	32.036064	102.91833	-20.82252	144000	7.867813e-09	553.98724	-0.013488418	-92.79166	0.82680535	0.016337886	0.225	6.0	149.4584240913391
36	366.92523	158.24538	768.88214	216.33348	238.25	94.10926	21.84554	103.98913	-12.678768	148000	1.8119811e-08	414.30182	-0.051791944	-113.53595	0.8268737	0.014329808	0.2685	79.0	152.95873999595642
37	305.84625	63.426994	414.9872	96.924644	189.09525	93.97607	25.465921	105.80517	-21.324747	152000	2.0742416e-08	479.68457	-0.04087187	-191.87427	0.8271475	0.015103038	0.227	41.0	157.8209125995636
38	296.3528	74.534584	514.6197	180.27783	178.45454	90.27988	30.090157	107.32368	-21.586094	156000	-1.0967255e-08	415.356	-0.051119283	-92.93759	0.8226146	0.015018702	0.25725	71.0	166.04019927978516
39	299.94064	65.12992	451.49036	216.4095	173.69565	96.78871	24.022285	108.970535	28.261322	160000	-2.8729438e-08	268.97845	-0.05891461	-56.746872	0.82291275	0.014446963	0.3015	79.0	169.0985836982727
40	310.3354	64.68815	431.35208	94.62221	192.4	94.674576	30.704245	110.64775	-22.127176	164000	4.7683715e-09	305.47958	-0.041433536	-61.926636	0.8143193	0.015021842	0.22525	32.0	171.63104844093323
41	300.7825	102.03748	482.26285	59.177364	212.22223	91.63122	37.335453	112.00372	-22.324062	168000	1.9073487e-09	588.4958	-0.050339345	-180.32574	0.8118273	0.012448304	0.252	79.0	174.4465799331665
42	330.6935	143.19662	734.79865	115.578964	221.94444	89.46717	36.396538	112.662605	-22.385393	172000	-1.1920929e-09	481.18228	-0.043722417	-124.35028	0.8083039	0.015198114	0.25525	45.0	177.1110270023346
