Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	17.642893	14.036214	91.16756	6.078665	17.281385	0.11490764	0.09285732	0.43396696	-0.24719903	4000	-3.9935113e-09	297.69058	-0.021171829	-125.639725	0.91893864	0.021259163	0.2515	0.5756453827023507	0.5847927557090813	4.0	11.732543706893921
1	43.466915	38.972424	258.87656	8.547847	31.349207	8.022323	1.09364	8.626892	-4.782599	8000	-3.3378602e-09	1337.9945	-0.017355187	-322.57373	0.9199793	0.015866047	0.209	0.06138176988810301	0.017969404298507203	6.0	22.255234479904175
2	101.38495	58.248688	223.24606	15.179732	56.92857	16.43763	0.1941313	16.49343	11.14929	12000	3.9339065e-09	2833.3035	-0.019223439	-601.2803	0.92101246	0.0099218935	0.13	0.04887918192893267	0.010960849189251288	79.0	33.2687828540802
3	138.58287	63.914722	245.45195	13.245003	69.63158	25.032715	0.049321562	25.04344	23.428888	16000	1.192093e-10	3578.156	-0.015887016	-649.2007	0.92971486	0.007105418	0.086	0.04354259332641959	0.009833690647884119	79.0	44.437899112701416
4	149.75764	63.855007	260.7329	26.26068	72.703705	32.80737	0.00784946	32.810654	32.686726	20000	-1.0728836e-09	3357.853	-0.017897347	-511.57397	0.9106752	0.0045134104	0.09925	0.04236131090670824	0.00952850352487381	79.0	55.8262414932251
5	172.24217	52.449993	243.4959	54.267704	80.938774	39.349922	0.0058041927	39.351818	39.21347	24000	5.4836273e-09	3135.0852	-0.01567042	-450.92896	0.8942974	0.008754395	0.08975	0.04308460896834731	0.008227885979461235	79.0	67.35595536231995
6	196.2068	37.623665	244.397	60.68213	89.09091	45.32712	0.003337498	45.328194	45.257545	28000	2.2649764e-09	3247.271	-0.014317773	-456.7339	0.8961885	0.006207131	0.077	0.04159571088850498	0.008571145013229147	79.0	78.76400995254517
7	196.83397	34.595192	236.43166	57.871483	89.22727	51.228966	0.0030616464	51.22983	51.1641	32000	3.5762786e-09	2742.726	-0.0154734645	-340.83667	0.89666927	0.010152759	0.07325	0.04077387608587742	0.010181491196866505	79.0	90.28437328338623
8	204.52725	37.477074	244.98721	54.952507	92.23256	56.35069	0.0025934177	56.351376	56.275852	36000	1.4305115e-09	2616.5525	-0.005124134	-286.0913	0.9103093	0.015094858	0.11375	0.037373607978224754	0.008507001042471117	4.0	101.11336421966553
9	209.24599	17.221241	238.08606	164.03328	92.60465	61.05355	0.0022575308	61.05421	61.020943	40000	6.6757204e-09	2341.4045	-0.01231021	-241.50049	0.91027296	0.004800622	0.09025	0.03456651603803038	0.007721341718629661	79.0	112.60732102394104
10	215.66495	10.084627	232.77304	182.61359	95.04762	65.41924	0.0022055246	65.41981	65.380775	44000	2.4437905e-09	2225.601	-0.010500585	-204.61975	0.9188731	0.0072501665	0.0745	0.03331163698807359	0.007410868321114557	79.0	124.26559090614319
11	214.90025	9.261694	234.30458	195.80373	95.07143	69.49029	0.0026111226	69.490776	69.40759	48000	6.556511e-10	1983.4027	-0.015221347	-146.42224	0.91193163	0.007909982	0.08	0.03365983329713344	0.00850951315836594	79.0	135.9618091583252
12	210.02722	28.491869	247.21661	51.113384	93.07143	73.00966	0.0016449905	73.01006	72.97825	52000	5.2452087e-09	1910.5328	-0.016377928	-112.458374	0.928652	0.009262799	0.0885	0.031851588282734156	0.007003545115487294	79.0	147.48960423469543
13	219.71378	26.50986	300.84576	169.62535	97.097565	76.14767	0.0023361242	76.148125	76.09378	56000	8.3446505e-10	1912.6243	-0.015418079	-112.52893	0.93462306	0.009925128	0.09025	0.032950718495994805	0.0071694711612647	79.0	159.0307047367096
14	226.57552	24.85845	273.97787	154.27866	99.3	77.215416	15.421734	79.094894	-76.54861	60000	1.1920929e-09	1940.1421	-0.017698208	-727.7261	0.952223	0.006244359	0.0925	0.03251336371526122	0.009745768734727678	79.0	170.74514245986938
15	231.31386	29.39562	314.1796	155.15767	100.51282	71.3563	22.261492	83.20542	-8.318598	64000	-2.0861626e-09	1403.3444	-0.0050363685	-252.97278	0.94535875	0.021067368	0.19725	0.03531126208603382	0.010807808782830997	4.0	182.09009337425232
16	234.37999	31.078447	306.05267	161.74042	107.888885	77.482285	21.437979	87.84763	-1.5816956	68000	9.536744e-10	1279.6038	-0.0026741514	-273.56824	0.9453731	0.015873555	0.169	0.03681970445439219	0.008991117475752814	4.0	193.47523307800293
17	244.90633	38.985603	316.17136	177.11588	109.361115	79.55353	22.89128	91.72147	-27.468966	72000	9.536744e-10	1370.0043	-0.016127555	-272.9978	0.9455306	0.008124336	0.1065	0.03513290569186211	0.009229552799896052	79.0	205.3569140434265
18	249.02283	49.177246	345.39914	170.52087	111.88571	81.85243	23.347872	95.74897	1.5354525	76000	4.053116e-09	1307.8867	-0.00633826	-173.99463	0.9382458	0.018569002	0.22825	0.03828472279012203	0.011269690008394713	5.0	216.81134676933289
19	305.50983	40.113705	352.95288	152.8462	133.10345	83.00155	27.606565	99.532	-5.6699653	80000	-6.0200693e-09	1854.8188	-0.005550093	-414.2296	0.93838817	0.01662391	0.1185	0.038255773466080424	0.012531080175825783	4.0	228.65021538734436
20	306.85147	45.40823	355.32678	167.8385	135.34483	90.615105	26.895243	104.966255	0.44480467	84000	3.5762787e-10	1545.361	-0.015535254	-265.57593	0.938996	0.008745754	0.09425	0.03327171858400106	0.008332898829735959	79.0	241.10548043251038
21	312.8773	47.12941	381.76166	186.2126	135.96552	93.6772	28.923414	109.77644	1.1762502	88000	-3.3974648e-09	1411.2449	-0.020145383	-262.80225	0.9246067	0.009342716	0.12725	0.033994890227913854	0.00992841678726878	79.0	253.10845470428467
