Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	-1.5276423	3.3588576	17.116488	-11.115041	14.847584	-0.018071877	0.22364922	0.6196125	-0.72611666	4000	-1.0967255e-08	14.631664	-0.0263836	-6.824435	0.91893864	0.015131199	0.225	10.925491576194764	4.441560662678705	3.0	11.389353275299072
1	1.4610475	4.1890917	18.76492	-8.264938	17.111588	-2.1201484	0.99986446	2.2460494	-4.0154295	8000	-4.887581e-09	11.982223	-0.029858122	-3.1137753	0.9191126	0.021193683	0.2645	5.744305896759033	0.7646865075349341	5.0	22.02934956550598
2	5.046726	5.715305	38.55433	-7.050467	21.25532	-0.39999777	0.9757638	2.748622	-2.828414	12000	5.6028364e-09	23.251614	-0.026197745	-7.4938383	0.91843045	0.020746982	0.27025	4.3121124100685115	0.44484994840894115	6.0	32.487870931625366
3	13.046985	9.223095	43.889942	-3.8870618	33.896553	2.0778422	1.8974341	6.168682	-4.8688016	16000	2.2649764e-09	54.67214	-0.019590637	-21.401825	0.9164271	0.015332521	0.2335	3.5620135617256166	0.3596252846949621	6.0	43.002768754959106
4	24.689985	14.592842	76.755585	0.88394713	50.518986	5.6540947	4.274631	12.118363	-11.187369	20000	-6.0796737e-09	101.26464	-0.015492431	-35.57367	0.91441226	0.01726341	0.23625	3.248870551586151	0.3144036828894407	7.0	53.40540814399719
5	39.240723	25.857803	132.3496	-1.1235139	69.08772	9.436144	7.4598627	19.488781	-18.35956	24000	-2.6226044e-09	218.4737	-0.014324375	-68.97922	0.91203904	0.016603652	0.20175	3.0297891235351564	0.2417118039248971	7.0	63.64454960823059
6	66.861404	66.802345	348.542	-26.959053	98.975	15.4342785	12.307369	28.702162	-23.99493	28000	7.1525574e-10	959.05334	-0.014096984	-268.28064	0.91017675	0.015731957	0.20225	2.8392011404037474	0.2648729177144098	8.0	73.90490293502808
7	142.4604	89.48263	316.69394	26.68971	139.82143	29.807129	16.038372	42.29001	-37.706383	32000	-3.695488e-09	1673.9855	-0.044020075	-563.8518	0.90812737	0.011520708	0.2105	2.712837026119232	0.2455789601933315	79.0	84.84360480308533
8	158.47043	140.389	466.49298	4.6344295	174.95454	36.7237	25.737413	56.287735	-43.842148	36000	2.384186e-10	1691.6492	-0.045873914	-392.11743	0.89632016	0.015012325	0.217	2.692962989807129	0.2374133290957329	78.0	95.18484234809875
9	222.01524	104.30462	484.32147	37.677464	169.86363	55.876865	22.79222	66.668686	-34.518604	40000	-2.3841857e-09	1501.4249	-0.044849582	-341.7677	0.8866357	0.015066336	0.2205	2.6377182960510255	0.25881555949960766	59.0	105.51412582397461
10	211.93579	111.61101	478.23355	35.804996	198.75	54.560543	30.58349	75.27241	-27.63818	44000	9.536744e-10	1166.952	-0.049352616	-178.41699	0.8810146	0.014167083	0.239	2.643622235059738	0.2448136216542305	79.0	116.21344423294067
11	249.59068	103.88278	498.97556	50.009235	216.0	64.14653	27.181211	79.59982	-18.527203	48000	-8.5830685e-09	1199.5619	-0.011957882	-193.33972	0.882472	0.017486097	0.22875	2.6201629757881166	0.24545258319799348	7.0	126.30108976364136
12	262.96542	86.29192	401.23965	48.4296	208.05263	68.768364	28.423346	82.688095	-18.382915	52000	-1.013279e-08	1144.172	-0.012073486	-188.26367	0.88220155	0.015393031	0.17175	2.5798473262786867	0.23108351040125824	8.0	136.5723214149475
13	254.18428	102.741264	369.85092	40.74034	193.29411	70.11406	30.141487	87.41089	-22.514763	56000	9.298325e-09	1259.7416	-0.04800555	-307.36536	0.88063085	0.012175653	0.236	2.525685067176819	0.21849676121027814	79.0	147.2370171546936
14	245.36533	80.02311	347.78116	26.79799	178.72728	78.072624	30.820675	91.42517	-32.484272	60000	-8.702278e-09	1050.0497	-0.01056659	-168.97015	0.86643124	0.017143829	0.21325	2.4694430375099183	0.234694126920871	6.0	157.46388387680054
15	287.94022	50.17407	397.7428	176.80725	203.05263	81.966606	26.88198	93.92438	-13.992397	64000	-4.529953e-09	1016.96063	-0.008698787	-136.79187	0.86528444	0.015991418	0.16525	2.4418496787548065	0.21272599127400973	5.0	167.76513242721558
16	286.51483	122.9802	623.3963	97.97148	227.70589	78.70498	33.270874	95.866425	-22.325	68000	8.106232e-09	1122.5497	-0.045180343	-147.54535	0.86470884	0.015095488	0.20425	2.4272381460666654	0.2499686034815721	70.0	178.5517110824585
17	308.7318	85.53156	527.67645	112.573425	233.52942	82.944046	29.41567	96.46743	-38.443535	72000	-7.390976e-09	1002.7369	-0.050971698	-110.51898	0.86225504	0.012792772	0.24375	2.381029074192047	0.25746616696494895	79.0	188.88468980789185
18	292.00418	118.266426	480.49304	54.88697	240.625	82.04484	32.005745	98.1541	-20.932384	76000	8.3446505e-10	907.28674	-0.04921942	-134.03064	0.8563127	0.012014456	0.24	2.420853945016861	0.2291785187757958	79.0	199.05413603782654
19	322.98544	129.1749	687.55725	96.67106	279.42856	73.78733	38.198105	98.92974	-36.529465	80000	6.9141386e-09	1028.352	-0.04904797	-232.3971	0.8512999	0.015052428	0.2365	2.3648792457580567	0.24974084749684264	66.0	209.35264825820923
20	308.72702	86.576164	450.58813	60.756145	203.05263	94.07714	17.070885	99.398346	-24.251085	84000	4.2915342e-09	1027.3435	-0.009953017	-115.60315	0.84964484	0.01831446	0.1955	2.3456433427333834	0.23072299869007343	5.0	219.3421323299408
21	309.08557	74.422066	581.75934	237.04063	193.0	100.021935	10.976226	101.59857	-15.13293	88000	-1.0967255e-08	1001.45496	-0.010149833	-121.411255	0.8491826	0.01692416	0.27975	2.3403323101997375	0.2454855023598525	6.0	229.20953941345215
22	293.62573	96.928314	554.8166	95.05787	206.57895	98.56256	16.857702	101.865654	-13.401567	92000	1.6093255e-09	1509.8824	-0.05176605	-559.22296	0.8488609	0.012048858	0.27175	2.31972709774971	0.22160357959382435	79.0	239.68334698677063
23	313.82196	118.38609	528.56366	72.33186	231.41176	87.8373	29.281664	100.541954	-24.852585	96000	2.1457671e-09	1023.41675	-0.050843224	-129.69849	0.8515179	0.009832733	0.24525	2.3157124972343444	0.2282975621477775	79.0	250.19032335281372
24	287.14188	115.09312	562.36426	69.654724	207.16667	85.8303	33.48652	100.90747	-21.319445	100000	6.3180923e-09	1125.777	-0.013027127	-177.72076	0.85324216	0.018128926	0.26725	2.3111509668827055	0.22385354958013054	6.0	260.2567982673645
25	302.21347	78.42069	554.04333	160.92287	194.05	96.11492	17.579014	101.106094	-13.088006	104000	-6.198883e-09	907.07263	-0.05215386	-301.44086	0.8531691	0.012027094	0.25875	2.287765134572983	0.24063149123182787	79.0	270.7056636810303
26	334.99863	214.80849	957.61664	74.75373	278.35715	83.52605	34.37919	103.380554	-17.86126	108000	-1.2993812e-08	817.6319	-0.0126476735	-304.4646	0.8561051	0.016729105	0.27625	2.2791424787044523	0.21634191341488976	6.0	280.48144793510437
27	300.6896	77.32411	536.722	144.52339	195.05	91.82419	27.00062	107.66269	-21.130596	112000	9.536743e-09	356.25363	-0.009168534	-145.74326	0.85536253	0.01595836	0.2215	2.265178782939911	0.23419541226654694	5.0	290.63141417503357
28	369.8288	62.918144	495.55148	249.8462	264.86667	93.68414	32.313595	112.18336	-18.504087	116000	-5.00679e-09	384.24854	-0.013703393	-150.51515	0.8543894	0.015962625	0.24325	2.2790556061267853	0.23422305162040655	6.0	300.6512451171875
29	320.02124	91.21513	556.8767	214.11769	241.875	95.370575	34.544662	115.3308	-17.472351	120000	-1.4781952e-08	590.81244	-0.009155362	-230.12228	0.85369825	0.019096248	0.2765	2.200893887281418	0.21953380320629806	5.0	310.75061678886414
30	265.0778	78.08765	397.99124	67.21445	193.15	84.53306	40.365208	115.737015	-20.94842	124000	1.502037e-08	454.27863	-0.011540815	-112.54187	0.8539528	0.016793048	0.2205	2.230979909896851	0.22736398025325802	4.0	320.81857800483704
31	324.13626	107.71203	554.90424	127.66727	226.47058	87.367516	35.276928	116.36526	-17.514431	128000	-1.1920929e-09	536.2582	-0.009771265	-209.55728	0.85365593	0.01532559	0.23175	2.1665904116630554	0.23296522653989019	4.0	330.7000253200531
32	280.9991	95.73386	571.2238	104.48544	185.0	94.950745	34.478382	117.934425	-17.65526	132000	-4.708767e-09	269.16266	-0.047855236	-81.50331	0.85365725	0.012703994	0.267	2.0890949082374575	0.2116399370463909	79.0	341.1347622871399
33	285.59927	117.998116	613.66425	63.78636	220.44444	83.565056	42.57183	118.51932	-17.181538	136000	-5.9604646e-09	299.21677	-0.00979205	-139.57152	0.843112	0.015289027	0.2055	1.9943901562690736	0.19920580437301133	6.0	351.0826976299286
34	289.08282	37.96202	370.5842	221.36415	169.56522	100.871735	27.35138	119.01605	20.408096	140000	7.2717667e-09	108.849434	-0.053812966	-52.15531	0.8412059	0.012130126	0.26725	1.9856661832332612	0.19227526035578144	79.0	361.3707938194275
35	293.09454	76.3552	435.0796	85.01126	198.05	95.68848	36.164482	120.210724	-17.041332	144000	-3.8146974e-09	391.63068	-0.011553496	-156.12473	0.83549404	0.015643373	0.23425	1.9798426115512848	0.1953905810416744	6.0	371.2632586956024
36	281.53317	85.21386	542.9824	106.09012	185.0	96.237404	35.428543	120.70425	-16.872162	148000	2.2649764e-09	392.03473	-0.048024666	-149.1938	0.8355365	0.015042931	0.2725	1.9266158688068389	0.1889383159574879	59.0	381.4442923069
37	317.05896	72.50738	540.7951	240.28574	204.52632	94.34269	32.81423	119.09044	-16.525652	152000	3.4570693e-09	340.5883	-0.010023629	-148.83617	0.8292278	0.015964916	0.2095	1.857176822423935	0.21385000031773468	7.0	391.4106788635254
38	319.21222	71.07442	506.31702	237.78574	193.55	102.07419	27.358828	120.11612	13.953434	156000	0.0	117.03736	-0.012049591	-66.00397	0.82804483	0.015110824	0.23	1.8775725412368773	0.21596222337471732	5.0	401.79444694519043
39	297.53943	37.96586	375.41882	230.31615	172.47826	103.442345	29.494078	121.31465	19.479914	160000	5.9604646e-09	57.54867	-0.05099561	-6.9380875	0.8273828	0.015056499	0.2615	1.8446283853054046	0.2055027943814572	76.0	412.75512409210205
