Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	4.4340105	6.6102405	34.014965	-8.933402	21.551352	0.13251899	0.2896531	0.765029	-0.7173664	4000	-3.8146974e-09	27.471478	-0.02587764	-6.728668	0.91893864	0.021288954	0.306	10.92696982383728	4.477357696451572	4.0	9.325987339019775
1	13.095623	12.520318	65.97876	-18.553457	33.049587	2.1884332	2.0044177	7.032778	-3.4260406	8000	-6.0796737e-09	100.99689	-0.016918015	-32.149544	0.9193478	0.015181995	0.25875	5.262299473285675	0.725410128021883	6.0	18.491084575653076
2	31.052713	38.802555	267.68176	-0.72992635	55.577465	5.8787875	5.0301766	13.77235	-12.133952	12000	4.7683715e-09	650.7485	-0.013646695	-155.89542	0.9188145	0.015179101	0.25425	4.125632078647613	0.5175482677477028	8.0	27.801882028579712
3	59.663204	66.15969	354.3371	1.5687317	75.86275	14.416278	9.648778	23.432459	-22.621319	16000	-6.0796737e-09	1277.6969	-0.050039154	-317.4253	0.9185199	0.01476624	0.23075	3.5866676688194277	0.3417748058575276	79.0	37.5007050037384
4	55.268124	48.624813	236.4712	-8.493387	86.91304	18.09678	17.541773	33.726685	-32.703583	20000	-7.629395e-09	520.90686	-0.050306473	-88.80722	0.90921193	0.013131857	0.254	3.2902030158042908	0.3110061636369766	79.0	47.07933497428894
5	86.00282	81.83804	302.26343	-1.2570351	92.0	24.51841	14.816888	36.748	-30.363445	24000	-4.7683715e-09	1435.9747	-0.05166606	-317.06665	0.90509665	0.015000635	0.23975	3.06728768825531	0.2914944959355837	64.0	56.65914821624756
6	109.890625	91.05546	324.21866	-7.053748	123.4375	28.237078	22.56909	46.04108	-38.637363	28000	-7.152557e-09	1274.6091	-0.012216886	-257.99347	0.9021036	0.015877403	0.23475	3.057578423023224	0.25661144973977373	5.0	65.98219037055969
7	138.29811	94.58651	331.27405	4.315816	135.55173	36.48492	22.559336	53.029312	-30.929222	32000	-2.384186e-10	1429.4365	-0.011239929	-361.46106	0.9015642	0.017133968	0.21075	3.0320320200920103	0.26330955714946735	6.0	75.35649394989014
8	129.87007	95.739136	327.10303	-4.949994	153.42308	37.492474	28.288267	59.463863	-31.72039	36000	-5.722046e-09	1031.3394	-0.013062475	-138.18286	0.90240675	0.016845688	0.23075	2.8998353600502016	0.2672982373042732	6.0	84.84042525291443
9	216.13306	136.94888	582.2698	17.67018	197.3	45.9966	26.28775	63.068367	-35.942345	40000	3.3378602e-09	1649.8685	-0.009454844	-489.04053	0.9020417	0.015815405	0.2115	2.916946647167206	0.2886443862271525	7.0	94.4373848438263
10	240.30876	138.97299	509.35635	-0.8317457	189.80952	57.441185	27.697145	71.18827	-36.315704	44000	-2.3841857e-09	1670.7208	-0.0478485	-409.6134	0.901828	0.012560157	0.2255	2.8603631687164306	0.25905589477837665	79.0	104.36264538764954
11	272.39362	107.81704	494.13968	31.739046	198.45	69.99249	25.951792	80.09601	-28.480732	48000	-2.026558e-09	1304.9647	-0.050062906	-265.96448	0.89992803	0.011206215	0.24675	2.7387021255493162	0.2469898414221389	79.0	115.5651912689209
12	220.76077	97.96535	349.7818	25.016304	187.85715	64.194084	37.391434	86.66727	-29.952475	52000	-1.4305115e-09	1123.5022	-0.049959067	-187.66547	0.8964206	0.011955786	0.23675	2.691480221748352	0.23015619163706114	79.0	126.31778979301453
13	259.09174	93.58762	529.802	48.154583	197.73685	73.821594	30.382687	88.61271	-22.490732	56000	-3.7550927e-09	1169.5167	-0.012027148	-214.06842	0.8956056	0.016059425	0.215	2.594369041919708	0.24482992647509422	7.0	136.73291611671448
14	259.7928	86.911934	415.36954	59.46261	196.35	72.95448	33.487423	91.678825	-30.152832	60000	-1.6689301e-09	1036.884	-0.010439194	-166.61072	0.8969733	0.015399465	0.212	2.612776424884796	0.24571002843153875	7.0	147.04143595695496
15	268.48947	54.529655	361.06888	90.41919	190.09525	77.59084	32.307976	93.84267	-40.65868	64000	1.4305115e-09	1018.42645	-0.051031318	-101.84668	0.8955802	0.013371757	0.245	2.4818673086166383	0.22687157180113282	79.0	157.86584949493408
16	304.04596	62.219437	488.82925	219.27339	182.66667	94.8857	2.872891	95.61851	39.06405	68000	6.556511e-10	1043.7695	-0.049139444	-99.466	0.88802725	0.008493776	0.24575	2.4090402472019194	0.25360809257553374	79.0	168.91453313827515
17	299.0931	60.9587	423.39932	177.97047	188.28572	97.91606	12.0757475	99.714066	-18.840998	72000	7.1525574e-10	1075.9427	-0.010898518	-138.38208	0.8862788	0.017562443	0.17375	2.32428830742836	0.2557025717728455	6.0	179.07609295845032
18	259.1841	74.77824	389.09238	81.132225	163.16667	96.71316	18.790802	101.310074	-20.473156	76000	-1.7881393e-09	1151.6998	-0.012188109	-123.58215	0.8870166	0.015525238	0.269	2.29082305431366	0.2494653514877723	7.0	188.9947226047516
19	266.22003	86.3285	497.40338	78.476036	220.0	79.6885	39.411896	100.39329	-22.649519	80000	7.629395e-09	1069.1099	-0.01265052	-207.85773	0.8862465	0.015803339	0.2105	2.265606473684311	0.2577103311791154	5.0	198.79023623466492
20	281.52002	124.54425	582.73755	40.82376	198.45	87.13555	29.551792	99.22089	-25.39587	84000	1.1324882e-08	1022.1423	-0.00954884	-115.07025	0.8856223	0.015067428	0.223	2.2016225957870486	0.2461001052221931	6.0	209.57692074775696
21	279.7681	60.285957	395.67593	121.60818	170.26086	96.20725	18.60318	100.20684	-19.741959	88000	5.722046e-09	1058.5656	-0.012100984	-39.03882	0.88629127	0.015564721	0.2435	2.2030354738235474	0.26886330762259436	7.0	219.90856766700745
22	315.20328	80.89288	518.6848	223.66328	198.5	97.91049	12.226012	101.1315	2.8470812	92000	7.629395e-09	1027.4194	-0.049549058	-215.32007	0.88580984	0.01090503	0.24275	2.1592163431644438	0.22029628493681494	79.0	232.70196104049683
23	292.20883	76.32062	482.48502	126.96243	185.2381	99.788315	14.865287	101.90254	-18.017567	96000	-4.7683715e-09	1125.2974	-0.05171143	-174.61438	0.8825256	0.010793977	0.25875	2.0445035600662234	0.25117015522638875	79.0	245.11531376838684
24	266.9357	85.512344	433.86203	78.17342	185.4762	90.2361	33.547497	102.29982	-20.361168	100000	-2.026558e-09	1048.6879	-0.051082924	-104.2746	0.883708	0.01321476	0.257	2.0453776144981384	0.24166607889785338	79.0	255.50975561141968
25	260.06497	88.15952	429.0873	55.932056	172.95653	88.9347	32.704212	101.67175	-25.405235	104000	4.7683715e-09	1261.5837	-0.055940144	-443.54846	0.8799804	0.013169428	0.2825	2.0516401171684264	0.23682769010484062	79.0	266.06711745262146
26	287.70288	72.7882	457.65244	88.44858	190.04762	86.92469	25.989527	100.1324	-19.965256	108000	-3.9339065e-09	812.5356	-0.055116776	-424.8844	0.88388705	0.008092403	0.2765	2.0104615592956545	0.25619563328535155	79.0	276.3947813510895
27	275.58322	52.367496	375.2259	147.43657	170.13043	90.34615	28.664406	106.02964	-17.97942	112000	-1.1444092e-08	314.48624	-0.05462804	-131.19153	0.88020444	0.013829263	0.27	1.933143776655197	0.21663834136482008	79.0	287.0165686607361
28	293.54376	83.24829	546.8348	131.75923	185.90475	90.19459	32.15611	111.035904	-18.038496	116000	-4.9471853e-09	442.9941	-0.010205926	-209.10736	0.8779297	0.015085185	0.2035	1.9739686489105224	0.22700421676035476	6.0	296.9949760437012
29	281.87308	54.910244	433.59286	191.2972	162.45833	98.61015	26.626434	114.12951	-12.008855	120000	4.4107438e-09	124.85784	-0.047217954	-59.225754	0.8762473	0.015124302	0.25475	1.9754518699645995	0.22638895116312052	53.0	307.09166860580444
30	269.5265	62.95535	426.97192	98.98171	161.66667	97.8152	31.5508	116.96481	-18.165125	124000	-1.3589859e-08	220.48036	-0.0525269	-123.28954	0.87210464	0.013785297	0.264	1.8739489269256593	0.2645179016066263	79.0	317.24247765541077
31	279.57544	68.4536	431.74487	94.15555	172.69565	95.69247	34.68547	118.52594	-22.58803	128000	-1.2338162e-08	123.94353	-0.052354354	-30.070694	0.86795443	0.01335928	0.25525	1.8818294656276704	0.23181802986867986	79.0	327.44825553894043
32	261.8953	80.60559	445.30615	64.87673	173.82608	89.39587	41.937836	119.49199	-20.65551	132000	-6.3180923e-09	275.32437	-0.012552827	-98.74393	0.8630734	0.017367356	0.262	1.853764088153839	0.22251435231216302	6.0	337.2981011867523
33	250.89041	50.70281	318.80048	56.378407	155.48	90.49107	40.90066	119.82747	-20.252344	136000	7.033348e-09	200.08228	-0.010328368	-73.08396	0.86369824	0.016139228	0.2225	1.8664069211483	0.23537603067459487	6.0	347.2563478946686
34	266.13815	63.346878	413.03192	74.326515	157.95833	94.34016	34.072227	119.563416	-19.763113	140000	2.1457671e-09	210.17636	-0.036071137	-89.312485	0.86245835	0.015119938	0.2275	1.7237074673175812	0.22885339807253108	23.0	357.1585054397583
