Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	15.289589	10.644033	79.59134	4.875918	16.385246	0.066736884	0.08821964	0.24492092	-0.29269356	4000	-1.4305115e-09	179.47162	-0.019493874	-68.02381	0.91893864	0.016623087	0.2735	6.0	8.277023792266846
1	35.79954	40.965794	231.906	5.405434	26.817568	4.885462	0.6671661	5.1928844	-3.8143294	8000	8.3446505e-10	1594.4556	-0.0138323605	-203.34497	0.9183022	0.01513922	0.23525	8.0	16.457637786865234
2	69.37969	57.011055	231.48712	7.025899	42.510868	9.362266	0.14804406	9.405493	6.1060305	12000	-1.3113022e-09	2638.9165	-0.017747365	-299.63843	0.91623443	0.006073504	0.1	79.0	25.722375869750977
3	92.49476	59.436863	225.55069	9.362967	51.42857	13.576309	0.015143846	13.58217	13.290953	16000	3.218651e-09	2963.744	-0.018543575	-284.77173	0.90633464	0.009531254	0.10775	79.0	34.891457080841064
4	127.50841	52.483704	222.83366	28.555391	65.95	17.255348	0.007345243	17.257809	17.067984	20000	-3.5762787e-10	3429.166	-0.020186119	-326.05176	0.9120415	0.005611367	0.09925	79.0	43.64844846725464
5	125.25262	58.735573	222.43512	10.758106	65.016396	20.907118	0.007467059	20.909178	20.755123	24000	-8.3446505e-10	3220.2263	-0.018813964	-264.7561	0.9128151	0.010119317	0.0855	79.0	52.52824258804321
6	167.71265	52.730007	226.28273	24.072142	80.67347	24.101372	0.002880559	24.102211	24.000212	28000	-4.768372e-10	4301.5786	-0.015756814	-369.53564	0.9219176	0.007476866	0.09175	79.0	61.596468448638916
7	183.21143	43.319847	238.32614	63.095936	85.95652	27.683222	0.0015965824	27.68373	27.65681	32000	2.384186e-10	4368.2305	-0.0156857	-358.22778	0.911047	0.009901247	0.092	79.0	70.36299157142639
8	182.17262	43.973488	239.06485	27.710873	85.63043	31.115128	0.0016955459	31.115572	31.067976	36000	2.384186e-10	3964.1404	-0.013891915	-302.03467	0.9195468	0.0071022585	0.08325	79.0	79.00968194007874
9	188.52895	37.934807	250.69688	71.14515	87.4	34.212204	0.0010718937	34.212532	34.195026	40000	-2.6822091e-09	3838.3118	-0.016033592	-280.10474	0.9107877	0.009855469	0.10425	79.0	87.54783320426941
10	196.84814	23.656054	228.00539	95.004105	90.34091	37.153664	0.0013330288	37.153996	37.1169	44000	-2.6226044e-09	3673.3691	-0.012625348	-262.56958	0.92246014	0.006002706	0.07875	79.0	96.36032128334045
11	188.35239	33.28144	214.6956	47.887325	87.022224	39.982838	0.0007110436	39.983044	39.976425	48000	-3.3378602e-09	3243.9048	-0.012140948	-218.88574	0.9187833	0.0026630326	0.08225	79.0	104.89013934135437
12	187.65733	24.120577	226.81201	110.37453	86.847824	42.572487	0.0009480196	42.57268	42.539444	52000	1.6689301e-09	2836.8088	-0.012770823	-180.50269	0.91317505	0.0069456827	0.0915	79.0	113.66121411323547
13	188.97467	23.535685	220.24927	53.754166	86.95556	44.93598	0.0006939164	44.936153	44.914886	56000	1.1920929e-09	2742.3755	-0.009479362	-172.72559	0.9100027	0.0020511595	0.05925	79.0	122.72238206863403
14	192.58249	14.651602	217.82254	149.15837	88.155556	47.25418	0.00066013593	47.254333	47.23332	60000	7.1525574e-10	2558.2122	-0.014107604	-156.26782	0.9256411	0.004807873	0.08125	79.0	131.72405767440796
