Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.1119685	6.579176	36.295773	-12.791792	22.6875	0.032663893	0.14009927	0.4469831	-0.43586597	4000	-1.9073487e-09	27.170012	-0.027332345	-3.991476	0.91893864	0.017516728	0.24575	7.0	12.186920881271362
1	5.3244734	7.7327147	25.8282	-10.772008	27.335617	-0.5982435	1.339686	3.2345655	-3.4873936	8000	7.033348e-09	37.278526	-0.024882702	-9.441343	0.91660196	0.015962034	0.18675	7.0	24.210856199264526
2	14.047409	21.227978	153.1066	-5.506266	38.572815	1.5958872	2.5055294	6.5923076	-6.0532823	12000	-5.4836273e-09	264.63968	-0.01840187	-55.831802	0.9149154	0.01575043	0.18875	8.0	36.34090876579285
3	36.3966	38.159725	202.38261	-2.8035831	59.641792	7.5846467	4.540973	11.721346	-11.30599	16000	-7.390976e-09	576.34625	-0.041973382	-117.430084	0.9123714	0.0103303185	0.18325	79.0	48.88704872131348
4	36.43583	42.828796	192.34532	-10.015727	65.11475	9.892111	10.41163	17.402111	-16.809647	20000	1.1384487e-08	594.4809	-0.014255829	-73.73297	0.9026571	0.01589777	0.231	10.0	61.213961601257324
5	72.690636	64.398415	218.5388	1.6840966	83.3617	15.314196	8.645127	21.091938	-16.093847	24000	2.9802323e-09	1318.73	-0.014279542	-231.68225	0.90010387	0.01612156	0.2455	9.0	73.42163372039795
6	167.56905	93.90749	303.00662	28.669882	138.96428	22.98102	9.447362	26.85388	-17.312168	28000	3.4570693e-09	3212.214	-0.040408976	-576.1492	0.89812326	0.009519095	0.18925	79.0	86.11160206794739
7	152.93512	89.63613	311.92883	9.900456	143.62962	28.272972	12.829255	33.631027	-23.501554	32000	-4.23193e-09	2115.7925	-0.042782728	-255.83203	0.89481753	0.011210776	0.19625	79.0	99.49127793312073
8	166.75858	87.24557	324.98645	17.374254	152.16	31.25803	14.881831	37.675198	-26.85697	36000	-4.768372e-10	2015.0387	-0.043496344	-214.79846	0.8897716	0.014111755	0.2015	79.0	112.44185423851013
9	204.83508	97.88219	341.9978	-1.6036234	165.91667	35.305798	15.322156	41.088776	-34.72494	40000	-3.5762787e-10	2795.8115	-0.012985971	-338.94287	0.8843361	0.015109255	0.175	10.0	125.46826076507568
10	241.24594	78.77097	346.36725	17.824877	170.21739	41.917137	11.584864	45.010483	-22.312178	44000	3.0994416e-09	2982.0806	-0.04303278	-409.64355	0.8823999	0.0135998	0.1975	79.0	138.50319623947144
11	230.7762	71.13627	311.21448	32.76873	165.91304	46.746147	12.184624	49.196777	-36.13905	48000	-1.1920929e-09	2417.8665	-0.01274487	-250.69336	0.8816803	0.01561048	0.18525	8.0	151.30098938941956
12	239.21086	112.53829	403.03958	12.184364	188.33333	44.85631	19.246128	52.529793	-24.84478	52000	3.0398368e-09	2667.3975	-0.013080459	-411.26807	0.88086534	0.01508461	0.206	8.0	164.13727355003357
13	262.32474	80.41456	339.80582	46.190647	202.05263	50.48522	16.434155	55.52437	-20.309143	56000	-5.1259996e-09	1920.81	-0.047887772	-159.0415	0.87970215	0.009123747	0.23825	79.0	177.3980588912964
14	260.32837	60.00489	354.64645	118.306465	184.2381	55.645626	10.532207	58.12458	-9.876972	60000	-9.536744e-10	2069.1577	-0.04505126	-178.84595	0.87405825	0.01046744	0.21675	79.0	190.5553297996521
15	236.81815	97.884315	368.95953	32.72121	189.14285	54.518673	18.448612	60.860332	-20.572311	64000	-2.861023e-09	1722.896	-0.04697509	-183.97937	0.8759665	0.009507112	0.233	79.0	203.71955490112305
16	249.10724	77.54975	352.9911	46.245842	187.57143	55.296524	20.876823	63.075302	-21.536945	68000	-5.841255e-09	1649.1807	-0.012053162	-133.90747	0.87129825	0.015213613	0.202	8.0	216.29099869728088
17	247.31743	78.211525	369.81726	54.304546	199.21053	58.619164	19.827536	65.246735	-24.593689	72000	-5.9604643e-10	1321.3092	-0.04818193	-91.03247	0.8698044	0.010563377	0.2355	79.0	229.1825349330902
18	260.07318	57.39904	352.3944	129.47923	196.3	62.230484	15.469801	66.98791	-22.623373	76000	-1.525879e-08	1306.3718	-0.047847144	-81.89783	0.8700742	0.012645772	0.25825	79.0	242.1742537021637
19	275.1403	37.045227	329.1034	187.04591	194.1	66.03492	11.300357	68.674034	-13.43859	80000	7.629395e-09	1395.2887	-0.047121197	-113.62219	0.86721516	0.011865377	0.22475	79.0	255.17618703842163
20	233.82382	83.909645	338.2604	67.04385	178.18182	62.09229	20.626009	70.52107	-17.309942	84000	-8.225441e-09	1478.363	-0.05080875	-221.40332	0.8752119	0.008375235	0.25075	79.0	268.0930817127228
21	261.7276	63.760124	331.396	37.03859	190.09525	66.36336	17.952116	72.38154	-16.617754	88000	-2.3841857e-09	1357.3589	-0.03575801	-108.01196	0.8673205	0.015063408	0.171	33.0	280.9143764972687
22	278.34308	60.14351	384.7862	85.22883	181.0	71.58541	12.913158	74.03181	-16.107433	92000	-5.2452087e-09	1559.0763	-0.011405496	-107.36279	0.8662285	0.015615884	0.23325	8.0	293.6060645580292
23	261.36624	92.542885	367.00784	20.976183	189.80952	67.93632	23.621756	76.31293	-28.611036	96000	2.6226044e-09	1273.015	-0.050144553	-104.56372	0.86568016	0.014510728	0.25875	79.0	306.6187946796417
24	265.9741	53.45168	376.38068	163.99207	188.7	69.28305	23.245737	78.236755	-19.35513	100000	-1.4781952e-08	1171.3198	-0.04793114	-90.59778	0.8593988	0.014139698	0.2375	79.0	319.5361406803131
25	255.0826	70.531906	362.81158	76.72468	190.42857	67.36631	25.475723	79.502945	-17.136942	104000	-6.0796737e-09	1088.6274	-0.052545547	-56.98108	0.8647826	0.013414255	0.248	79.0	332.5627429485321
26	277.12262	32.855465	336.55246	204.12578	179.0	79.69112	6.234304	80.83694	12.870052	108000	1.502037e-08	1172.6759	-0.01151879	-102.436646	0.8630836	0.015409578	0.24975	6.0	345.23898124694824
27	254.96927	68.78686	355.04178	49.319954	188.19048	79.86309	13.216111	82.36825	-13.260562	112000	-5.9604646e-09	1149.2445	-0.011376688	-123.57446	0.86241895	0.015652427	0.20125	6.0	357.9903259277344
28	246.16637	72.12688	367.90207	53.867565	163.29167	75.51755	23.896795	82.96947	-32.667114	116000	-2.026558e-09	1198.3444	-0.010160892	-108.25305	0.8622041	0.016635021	0.229	6.0	370.7141990661621
29	283.35745	45.756084	380.77203	170.84113	173.78261	81.33222	14.364588	84.38334	-17.97595	120000	4.1723253e-10	1212.9532	-0.032350805	-85.80432	0.8603037	0.0152323665	0.15475	27.0	383.39953088760376
