Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9746795	6.3034663	18.416294	-16.150532	26.785234	-0.09741499	0.15279573	0.3237911	-0.6691879	4000	34.35472	33.617493	-0.76029587	-8.593657	0.91894394	0.020181369	0.9228125	4.0	13.919201135635376
1	0.36490726	7.2246747	42.34812	-11.132914	25.824675	-2.941936	0.76540697	2.446287	-3.7248023	8000	8.651755	32.89218	-0.13307476	-1.1405182	0.9201437	0.01792396	0.92413354	5.0	28.063838005065918
2	-1.881229	5.4663315	18.101652	-13.620813	25.303797	-2.1244068	0.2150619	-0.41112423	-2.618775	12000	39.105537	23.498518	-0.7079735	-2.516182	0.9213399	0.01667052	0.9241706	6.0	42.95582938194275
3	-1.0940094	6.8213553	21.874722	-17.31299	25.564102	-3.6708975	0.24017785	-0.67083114	-3.9502697	16000	15.140068	28.298368	-0.2213726	-0.49600983	0.9229694	0.015128939	0.9235703	7.0	56.05007576942444
4	-0.21424693	7.021365	29.674133	-14.0820675	28.733812	-2.9932427	0.15230823	-1.2356522	-3.3142438	20000	79.57809	34.8691	-1.4733658	-0.035190582	0.92479	0.016506188	0.92422235	6.0	68.78768849372864
5	-1.9624611	5.676255	11.031238	-15.758662	24.62963	-3.1558938	0.101696745	-2.4227653	-3.4664416	24000	12.632175	22.901031	-0.22507954	-0.359972	0.92666584	0.019922223	0.92432356	8.0	82.0942029953003
6	-3.29074	5.6841874	19.364563	-15.818197	23.94012	-3.7587867	0.09616714	-2.1425798	-3.946908	28000	21.431448	22.9771	-0.25953865	-0.2057724	0.92878073	0.015646607	0.924572	7.0	95.28601002693176
7	-3.0879605	6.05375	22.670113	-17.544163	23.098267	-4.2068067	0.0885192	-3.0309355	-4.379212	32000	14.463787	22.276926	-0.24329662	-0.071466446	0.9302424	0.01598571	0.92569214	8.0	109.05985879898071
8	-3.242715	7.010584	40.69617	-15.622409	23.109827	-3.9419038	0.064864755	-3.1412692	-4.1382413	36000	29.605156	32.83636	-0.47366333	-0.15602493	0.93168294	0.017454984	0.92505705	5.0	121.38977432250977
9	-4.029425	6.149039	20.057484	-15.881117	21.797813	-3.5489619	0.050156258	-3.2113035	-3.7085433	40000	12.232366	25.402416	-0.2161169	-0.08457184	0.93265074	0.020803537	0.92482376	5.0	134.215101480484
10	-3.7159462	5.2253513	13.863559	-13.865358	22.093924	-3.8446288	0.044210598	-3.3539717	-3.9490223	44000	60.917183	16.596369	-1.4122581	-0.00077819824	0.9335744	0.024666913	0.92272526	5.0	146.72134566307068
11	-5.2651014	5.206732	14.163706	-16.523804	20.181818	-3.8603637	0.039039906	-3.498186	-4.0160723	48000	39.376026	20.93686	-0.5122528	-0.62509537	0.934864	0.016048241	0.92455447	4.0	158.774799823761
12	-5.8822684	4.8251495	6.1120596	-16.953724	18.534883	-4.6641726	0.05618429	-3.6254017	-4.736193	52000	9.404649	17.16121	-0.11474037	-0.091402054	0.93608594	0.017112136	0.92319095	4.0	171.24630618095398
13	-5.5760484	4.4340706	8.920224	-14.127208	17.848215	-4.9652176	0.069966905	-2.7570574	-5.045452	56000	45.576557	16.02365	-0.6996155	-0.08053684	0.93712825	0.016414452	0.9245326	4.0	183.36645412445068
14	-5.8919106	4.4884343	4.173717	-14.650187	17.064102	-4.6845894	0.035396546	-4.211612	-4.7624006	60000	19.2332	15.512782	-0.29376984	-0.037334442	0.9382028	0.017478991	0.9230628	4.0	195.3561770915985
15	-5.4870696	3.889504	5.133147	-16.4152	16.10484	-4.8779244	0.028575262	-4.439166	-4.9522457	64000	27.256508	12.630688	-0.3440876	-0.2586012	0.93924594	0.018992405	0.9227408	5.0	208.93686962127686
16	-5.1197557	3.175708	3.6293962	-14.379045	14.817843	-4.366718	0.026540007	-3.8207228	-4.4378257	68000	18.164757	10.03039	-0.30519295	-0.006634712	0.9404734	0.015323639	0.9234006	6.0	221.60925436019897
17	-4.694174	2.707625	2.4944985	-14.879692	13.986014	-4.2847433	0.023039563	-3.8732023	-4.3349833	72000	33.01549	7.585877	-0.5439606	-0.021186829	0.9418112	0.021958038	0.92230064	5.0	234.11914110183716
18	-4.77779	2.328792	1.537286	-14.741665	13.188119	-4.1390643	0.023402493	-3.7785792	-4.200176	76000	7.830001	6.594681	-0.07756281	-0.011915684	0.94296974	0.015319715	0.9243098	5.0	247.10051584243774
19	-5.1424584	1.9675621	0.8775275	-12.470638	12.496875	-4.246751	0.019797798	-3.9315963	-4.3063245	80000	29.97694	6.111337	-0.4036007	-0.049042225	0.9439746	0.01584295	0.9251394	6.0	259.5303831100464
20	-5.1143465	1.942029	4.853946	-13.725052	12.304615	-4.465279	0.018680045	-4.263796	-4.527983	84000	12.06975	5.751121	-0.23876572	-0.00063991547	0.94522756	0.019257478	0.9244127	6.0	272.20706391334534
21	-5.638933	2.2029185	1.2203461	-13.807471	12.314815	-4.488036	0.02046852	-4.067259	-4.54676	88000	28.958479	6.833668	-0.39383698	-0.16754627	0.94639325	0.016210211	0.92662865	6.0	284.71079540252686
22	-5.464369	1.9745387	7.238019	-11.778709	12.276923	-4.891836	0.02302022	-4.378792	-4.950831	92000	17.096228	5.9777455	-0.2165947	-0.006974697	0.94763154	0.018094644	0.9251603	6.0	298.26512908935547
23	-5.4739423	2.0824125	1.3498405	-15.264603	12.416149	-4.810319	0.017996078	-4.5291877	-4.8693895	96000	17.188162	6.251501	-0.27350807	-0.012647629	0.94888234	0.020481115	0.9252587	7.0	313.6940612792969
24	-5.0977197	2.229801	4.996867	-13.07351	13.10164	-4.9202986	0.026174774	-4.1465464	-4.961704	100000	36.56854	6.171926	-0.4411621	-0.015756607	0.95021486	0.016180906	0.9259253	4.0	325.75677585601807
25	-5.191984	2.3401415	4.916056	-14.171611	12.6424055	-4.7969246	0.026938416	-3.8378012	-4.855728	104000	104.91097	6.119533	-1.9124756	-0.00080013275	0.95111287	0.01914916	0.92472214	3.0	337.65147495269775
26	-5.379524	2.2177277	2.5292768	-11.628829	12.617088	-4.8197846	0.023258267	-4.1337204	-4.875797	108000	14.766463	6.192765	-0.1565609	-0.07339811	0.95219547	0.01651502	0.9243677	3.0	350.6832129955292
27	-5.055218	2.3341668	4.5701456	-13.543356	11.919403	-5.089635	0.017188532	-4.7823453	-5.1363764	112000	110.124374	6.099893	-1.7662277	-0.042065144	0.95327485	0.020262094	0.92133254	3.0	362.6062295436859
28	-4.8290906	2.3239849	4.535101	-12.021546	11.984985	-4.884816	0.0169487	-4.5279236	-4.9261622	116000	51.41407	6.0221825	-0.7676811	-0.0072073936	0.9545557	0.01915764	0.9242632	3.0	375.1279091835022
29	-4.501739	2.5683124	4.6020412	-12.237207	12.078549	-4.799409	0.018876504	-4.411588	-4.8577523	120000	22.323582	6.275089	-0.32741547	-0.027246952	0.95590615	0.019433428	0.926189	4.0	387.29581356048584
30	-4.409986	2.4332879	4.5596776	-11.376604	11.895833	-4.6339035	0.015858885	-4.3443284	-4.7043853	124000	11.254786	6.188025	-0.18017197	-0.00072288513	0.95745313	0.020377496	0.92503685	6.0	400.2653648853302
31	-3.828571	2.6504657	7.9912124	-11.339365	12.145897	-4.6065216	0.015832432	-4.4001203	-4.6620727	128000	14.530386	6.256376	-0.24672127	-0.12696552	0.9591377	0.019838478	0.92496556	6.0	412.9489336013794
32	-3.5359638	2.8184185	9.025005	-14.646094	11.741177	-4.2465878	0.019073078	-3.894803	-4.3017	132000	14.028405	7.045916	-0.18916798	-0.052816868	0.9603624	0.017308079	0.92393	5.0	425.7464904785156
33	-3.5415359	2.7189486	7.7046013	-14.546741	11.625	-4.014255	0.0147865955	-3.7329834	-4.090315	136000	20.923315	6.6656237	-0.29244995	-0.002904892	0.9612025	0.015076694	0.92447346	6.0	438.45658016204834
34	-3.6125336	2.260758	4.7411876	-10.139324	10.847826	-3.9603565	0.012207625	-3.8195581	-4.019528	140000	14.448123	4.974457	-0.20866585	-0.008752823	0.96220946	0.01970764	0.92391706	8.0	452.75404953956604
35	-3.8425763	2.0664523	3.406301	-9.753083	10.381818	-3.8650568	0.011999133	-3.7118595	-3.9228854	144000	40.897526	4.5429125	-0.75665283	-0.012952805	0.9634531	0.020942023	0.92505527	6.0	466.35733795166016
36	-3.9337914	2.2443	4.4897766	-9.440494	10.55409	-3.980669	0.012258203	-3.7330632	-4.0303073	148000	13.53425	4.887664	-0.1564169	-0.021217346	0.9646869	0.015984973	0.9234865	4.0	479.06040811538696
37	-4.0148582	2.1481245	5.811873	-13.685322	10.217391	-4.127787	0.014864226	-3.7317815	-4.1818695	152000	13.064956	4.9812713	-0.22376633	-0.002626896	0.96554625	0.017735168	0.9231752	5.0	493.01036763191223
38	-4.1499214	2.1565213	4.80652	-9.209677	10.145039	-4.179343	0.010388354	-3.9704013	-4.2262836	156000	34.50232	4.995629	-0.57224274	-0.007831097	0.966447	0.023290537	0.9241984	5.0	505.7706196308136
39	-4.41874	2.0872293	4.1502066	-10.981372	10.010025	-4.267176	0.012231388	-4.0510044	-4.3098254	160000	11.448609	5.3774843	-0.13284588	-0.081783295	0.9674733	0.021692527	0.9260152	5.0	518.1889462471008
40	-4.549416	2.2360427	4.789825	-12.652376	9.772616	-4.5552206	0.012837211	-4.1614947	-4.588265	164000	664.2449	5.638309	-13.003479	-0.0044779778	0.96844923	0.015726468	0.9251892	2.0	530.4034850597382
41	-4.9924207	2.115775	5.275074	-9.54725	9.388235	-4.6224756	0.008571073	-4.516138	-4.665755	168000	11.443006	5.5655074	-0.17822266	-0.09010029	0.9694385	0.024378343	0.9222506	3.0	542.6136054992676
