Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	5.663092	6.2430024	39.817715	-4.997546	22.435028	-0.05342685	0.34693968	0.5319736	-0.795098	4000	39.390846	30.45951	-0.9521904	-2.344595	0.91894394	0.020502446	0.92278683	4.0	14.328994750976562
1	5.724191	7.398895	33.405766	-6.395683	26.463575	1.4147229	0.31135866	2.5104525	-0.008200355	8000	27.46925	39.487473	-0.5407963	-0.37628555	0.9201437	0.022015676	0.92365944	5.0	25.612356185913086
2	5.815168	9.174592	46.709656	-24.098444	30.992188	0.83382523	0.1582181	1.5637481	-0.15991294	12000	28.506704	61.735016	-0.6152878	-0.16544724	0.9215692	0.020070657	0.92317414	6.0	37.40722346305847
3	5.31298	9.366193	45.243404	-31.330507	32.770493	0.43384355	0.078670844	0.76976645	0.0954705	16000	46.287926	67.07346	-1.0152626	-0.77757263	0.92326856	0.02138275	0.9232938	6.0	48.8063325881958
4	6.607695	9.774829	67.143585	-6.9590135	35.123894	-0.41497597	0.08622061	0.15140074	-0.6602495	20000	16.86946	77.04061	-0.30127716	-0.94171906	0.92511076	0.018767055	0.9247211	7.0	60.72190022468567
5	6.851066	21.12759	211.21315	-8.440423	34.344826	0.51178724	0.10962274	0.877648	-0.053457607	24000	4668.7534	330.60272	-105.53076	-5.2674866	0.9270157	0.018975368	0.9235729	5.0	72.33963203430176
6	5.8142953	11.164575	64.868576	-7.999672	31.984	2.8073413	0.15263465	3.1448767	1.9122114	28000	51.266506	87.24076	-0.8188896	-2.983963	0.9283307	0.017913232	0.9242491	8.0	84.55033946037292
7	6.3974605	12.621427	72.3455	-10.942561	32.520325	1.0798391	0.08042014	1.2737089	0.5379018	32000	47.91595	117.66427	-0.68870926	-0.066215515	0.9301062	0.015505331	0.92562526	19.0	99.66574478149414
8	8.44724	24.037258	240.46071	-8.435347	32.512196	1.3246969	0.07957196	1.5366325	0.66418284	36000	26.51838	438.25757	-0.43609238	-20.974823	0.9315494	0.015255743	0.92403543	57.0	125.41561913490295
9	7.668284	21.388494	216.07504	-13.6613655	34.05983	5.972791	0.20009539	6.058702	-0.9561396	40000	12.654731	342.33115	-0.16500282	-4.7311096	0.9322347	0.015028951	0.9240563	65.0	151.85170769691467
10	4.920213	10.468528	60.457443	-8.8434305	30.806202	3.801707	0.073430955	3.995775	3.1526258	44000	19.009987	88.24981	-0.30187607	-8.508034	0.93257	0.015205217	0.92379946	39.0	171.19812536239624
11	1.0630838	8.413567	63.63957	-10.544519	26.019608	0.9317393	0.18723501	1.5722058	0.028770559	48000	61.764538	47.85971	-1.1441116	-3.931385	0.93286407	0.016159685	0.92524415	19.0	185.75404286384583
12	1.3024375	10.942952	92.73175	-17.853666	27.76389	-0.9696565	0.28968376	0.45926604	-1.5347326	52000	15.397182	96.91253	-0.14333248	-0.08131409	0.9332453	0.015474196	0.9231125	24.0	201.51376748085022
13	-0.6415004	6.395927	22.493444	-11.878127	26.423841	-1.0934037	0.12867935	0.011598401	-1.4961821	56000	8.642605	28.747538	-0.12639046	-1.7698803	0.9335775	0.015153361	0.9246257	69.0	228.63034439086914
14	-2.9104803	5.6645527	33.00416	-12.9816265	24.875	-2.4034717	0.21012086	-0.46733373	-2.9172337	60000	12.566583	28.64718	-0.17756367	-1.4180412	0.93394184	0.0158831	0.9236964	27.0	245.07253456115723
15	-3.3649547	6.591047	35.464916	-13.638848	24.757765	-3.580369	0.16712482	-1.4728719	-3.9048448	64000	20.999514	34.547134	-0.26371193	-0.032447815	0.93412095	0.015401789	0.92283535	24.0	260.6288311481476
16	-5.776642	3.5290725	11.109101	-11.838911	21.597826	-3.7082887	0.08176185	-3.1416776	-3.971386	68000	18.67844	21.905096	-0.24275589	-3.7154083	0.93437725	0.015269076	0.92272276	24.0	276.0655083656311
17	-6.7119155	3.8586478	18.513163	-13.006669	20.536083	-5.659066	0.10887282	-4.0858746	-5.721684	72000	32.216473	19.215618	-0.4159298	-0.028154373	0.934665	0.015666634	0.9220263	21.0	290.6973400115967
18	-6.9825325	3.5125322	11.702365	-12.2578335	20.446154	-5.804913	0.10900869	-2.6515398	-5.859429	76000	20.509068	20.04116	-0.27145576	-0.23626137	0.9350287	0.016668582	0.92405564	21.0	305.2285165786743
19	-6.6756124	3.3301585	6.7874885	-12.668515	19.82587	-6.290859	0.05585298	-5.669106	-6.3302045	80000	60.147877	15.94484	-0.89509964	-0.27361202	0.9353638	0.017992986	0.92553526	12.0	317.709166765213
20	-6.2708073	3.9020042	13.272741	-12.986917	20.551546	-5.7679377	0.045349732	-5.2633796	-5.80488	84000	23.391222	18.110928	-0.22613716	-0.14655685	0.9356883	0.016162075	0.9225283	10.0	329.7695400714874
21	-5.0191793	4.6841626	15.498355	-18.07437	21.978022	-5.386707	0.037036505	-5.0633793	-5.4230638	88000	25.136309	20.760332	-0.32356834	-0.4981804	0.93595725	0.016013717	0.9257897	13.0	342.56607031822205
22	-3.7516332	4.508418	12.70525	-10.779345	22.885057	-4.68459	0.030120213	-4.473697	-4.751359	92000	14.833683	19.340668	-0.16820812	-0.9997158	0.9362173	0.015140131	0.9256357	19.0	356.589462518692
23	-2.004553	6.446089	29.677425	-12.966389	24.89375	-3.6934462	0.03849623	-3.5436022	-3.8279128	96000	19.543932	25.871237	-0.28247833	-1.596672	0.9364834	0.015981512	0.9249472	31.0	373.84835839271545
24	-0.6088162	6.7642436	22.298416	-19.363289	28.683453	-2.4476302	0.05935427	-2.3274975	-2.7483373	100000	12.142157	32.737785	-0.1542654	-0.09119415	0.936911	0.0155382985	0.9259105	35.0	392.23175072669983
25	-1.1307001	7.0768375	26.07585	-20.832336	28.084507	-2.152673	0.04774643	-1.9939562	-2.4851882	104000	11.281275	52.93232	-0.14270878	-0.40682602	0.93728906	0.015726063	0.92377955	41.0	413.10738229751587
26	-2.42387	5.9011307	25.332573	-11.297092	24.66875	-2.7813194	0.022606635	-2.681989	-2.9340682	108000	33.204678	26.487814	-0.5855217	-0.1068306	0.9376669	0.01567987	0.92483693	20.0	427.58175230026245
27	-3.2190552	5.3714495	20.623987	-11.596506	25.284811	-3.1043344	0.017882895	-2.761854	-3.2163541	112000	43.467308	26.253223	-0.54903793	-0.18975449	0.9380801	0.017424922	0.92189765	14.0	440.5087466239929
28	-1.2685643	7.3299747	37.79677	-12.662072	27.142857	-3.5326252	0.01566368	-3.3129632	-3.6018777	116000	21.611328	41.667152	-0.20855522	-1.1206093	0.93851846	0.01607965	0.9234554	19.0	454.8038258552551
29	-0.21433431	5.687032	17.99902	-10.18451	27.72028	-2.4893777	0.023842739	-2.3054771	-2.645548	120000	15.099078	25.094711	-0.19865322	-0.16112518	0.938993	0.015934348	0.9260067	25.0	470.72643303871155
30	1.666744	6.456021	24.522453	-10.611783	27.455172	-2.0952127	0.024354747	-1.9480422	-2.2926552	124000	16.36124	28.88314	-0.21721458	-1.4656525	0.93938607	0.015214392	0.92437434	31.0	488.1039843559265
31	0.7716268	6.9436116	27.238081	-11.526662	27.027027	-0.90581745	0.040825263	-0.568503	-1.2721255	128000	17.828407	31.24635	-0.28765678	-0.09977341	0.9398394	0.016645394	0.9258031	26.0	504.1342787742615
32	-0.09923493	6.1850514	22.658396	-9.929731	25.780645	-1.2147453	0.024904717	-1.0320232	-1.4465957	132000	10.440281	29.144909	-0.15126038	-0.559124	0.94025487	0.016130062	0.9235475	25.0	519.9333543777466
33	-1.4030228	5.8937125	24.412111	-10.552356	24.365854	-1.950453	0.012574891	-1.814736	-2.0596983	136000	55.218376	25.132454	-0.75271225	-0.43639755	0.9405622	0.015359216	0.9244907	12.0	532.4776222705841
34	-2.4328332	5.0731926	19.714321	-10.460903	22.188889	-2.5996583	0.015552611	-2.2043762	-2.650713	140000	24.952692	19.966482	-0.2992859	-0.23379135	0.9409329	0.016093131	0.9240394	13.0	545.2714831829071
35	-2.3921957	4.584027	13.6517	-9.962218	20.874346	-3.0749931	0.01634775	-2.7992523	-3.1030102	144000	24.020145	16.408796	-0.28166962	-0.00032615662	0.94136614	0.015182157	0.9241226	17.0	558.9059157371521
36	-0.5970947	5.631453	21.249023	-9.39655	21.015789	-3.061907	0.01897156	-2.616839	-3.099872	148000	17.320204	20.258251	-0.2625618	-0.9698944	0.9418086	0.015570089	0.92276096	27.0	575.0441133975983
37	-0.026935099	6.806306	38.19684	-9.02993	21.857924	-2.0937865	0.0232555	-1.3096218	-2.1917334	152000	10.058937	33.104534	-0.14295864	-0.30445862	0.9423474	0.015342715	0.9244273	35.0	593.3354651927948
38	-0.7889398	5.4213686	28.962862	-10.868087	20.720207	-1.5513201	0.020604655	-1.4871619	-1.7136623	156000	7.891568	20.168133	-0.09893274	-0.13943672	0.942786	0.015484354	0.92425597	39.0	612.5255424976349
39	-1.0402312	6.777332	59.87468	-10.299144	18.713615	-1.9162893	0.013425958	-1.5994918	-1.9876803	160000	8.030137	36.259136	-0.14591408	-0.014854431	0.94314927	0.015724575	0.9240404	53.0	635.0033769607544
40	-1.2430564	5.8237257	40.11104	-12.592607	18.60465	-1.794512	0.01169789	-1.7173557	-1.8721441	164000	21.138973	26.89706	-0.31111526	-0.17288017	0.94362664	0.016546397	0.9255328	18.0	649.1186997890472
41	-1.6426235	4.3382516	12.853398	-10.634737	17.378262	-2.2049956	0.016247965	-1.6343292	-2.2441359	168000	11.880863	14.068867	-0.12000179	-0.16076851	0.9439475	0.016064707	0.9240224	27.0	665.0830903053284
42	-1.0891124	4.487378	21.763252	-10.144711	16.640167	-2.6000166	0.015443889	-2.2849946	-2.635384	172000	12.711429	15.497693	-0.20310783	-0.29101276	0.9444028	0.016721599	0.92451006	29.0	681.8530795574188
43	-0.10550523	3.9403222	11.513726	-10.91263	16.378601	-2.066735	0.010139114	-1.9774618	-2.1347218	176000	35.711548	12.537177	-0.5408745	-0.20581341	0.94484234	0.017224763	0.9249145	13.0	694.6145915985107
44	0.5033906	4.881645	19.760601	-8.250261	17.654867	-1.6175485	0.016741319	-1.5527616	-1.7805872	180000	28.23481	18.066305	-0.476305	-0.2768669	0.94521874	0.019008642	0.9226916	10.0	706.4206738471985
45	0.3085942	4.7731767	21.662577	-7.8986907	17.128756	-1.0937737	0.02218322	-1.0039907	-1.2663672	184000	52.284763	17.103607	-0.68652344	-0.013595581	0.94557625	0.017923074	0.9262413	8.0	717.7360553741455
46	1.1880035	4.8966994	26.548302	-7.823431	17.663717	-1.2075688	0.016321477	-1.1716161	-1.4481615	188000	18.673988	17.54989	-0.20417404	-0.18216133	0.94594336	0.015695538	0.9240527	10.0	729.596976518631
47	2.1800566	4.765543	20.443573	-6.883019	18.145454	-0.7802532	0.020423211	-0.72866756	-0.9157548	192000	44.2308	17.268692	-0.63311005	-0.21409225	0.94634503	0.01725726	0.9237179	11.0	741.6069977283478
48	2.8152149	4.7327576	22.547209	-6.578283	18.118181	-0.3146197	0.022332745	-0.26213416	-0.58015656	196000	45.14914	17.511091	-0.70827484	-0.13766289	0.9468186	0.018070681	0.92437345	11.0	753.818484544754
49	2.9636972	4.6448045	37.202232	-5.8733125	16.78059	0.060704816	0.0195203	0.11692211	-0.24360923	200000	17.285524	18.17908	-0.19591904	-0.0478611	0.947394	0.016749756	0.9242024	12.0	766.5140089988708
50	2.9873252	3.4358726	22.314915	-3.6808794	15.609375	0.28266212	0.014202185	0.3389927	0.13346203	204000	21.300936	8.648584	-0.30475807	-0.00035190582	0.9478658	0.015929077	0.92401594	19.0	780.5904607772827
51	2.522318	3.7684503	19.013128	-6.6683197	15.548638	0.2642047	0.016061302	0.32030833	0.031767044	208000	81.018715	12.546271	-1.1531677	-0.11658859	0.948418	0.019830098	0.92417264	8.0	791.949179649353
52	2.1362586	3.3851879	19.921679	-3.87284	13.559322	-0.08281881	0.010165758	-0.0043554977	-0.1827482	212000	15.557342	7.543086	-0.17881584	-0.012935162	0.94886774	0.017017953	0.92425865	7.0	803.1948733329773
53	1.6479702	3.0175211	19.4408	-8.018195	12.919094	0.03191775	0.009400423	0.10755768	-0.053839773	216000	17.089705	8.203594	-0.24980736	-0.19752693	0.9492499	0.01669121	0.92429686	11.0	815.3257780075073
54	1.493042	2.756723	13.723846	-5.120791	12.1337385	-0.41978723	0.007895106	-0.33429456	-0.4709835	220000	20.539364	4.975801	-0.19759178	-0.0016012192	0.94963914	0.017202608	0.92304564	16.0	828.8320913314819
55	0.9112807	2.3969486	11.554924	-3.7979436	11.449857	-0.46130472	0.0063781114	-0.3903311	-0.5161232	224000	48.48816	3.905589	-0.6321335	-0.15329719	0.95009226	0.0152201755	0.92398775	10.0	840.7288520336151
56	0.5024966	2.4426844	12.85767	-4.5561185	11.046962	-0.858225	0.009315475	-0.74480546	-0.9234967	228000	19.8709	3.9711914	-0.2450409	-0.030914307	0.95052344	0.017590389	0.9237051	10.0	852.5231931209564
57	0.3213646	2.4900815	13.467112	-4.127162	10.887979	-1.0360515	0.0096044	-0.91977656	-1.0704162	232000	18.803812	4.405488	-0.24481773	-0.032264233	0.95094013	0.016252937	0.9243665	10.0	864.6686897277832
58	-0.19794165	2.1705153	7.65743	-4.431717	10.178572	-1.2183574	0.008985232	-1.0844969	-1.2403393	236000	11.723962	3.189913	-0.08389568	-0.087637186	0.95124876	0.016012717	0.92480195	13.0	877.4270026683807
59	-0.35814452	2.1450057	8.546735	-4.330215	10.085858	-1.5162085	0.012077902	-1.3675373	-1.5423614	240000	1225.5072	3.124007	-36.81421	-0.025346756	0.9515511	0.03502547	0.9259384	3.0	887.7024953365326
60	-0.85832	2.1448298	11.820636	-4.4986725	9.404706	-1.6764792	0.010734165	-1.5368152	-1.6959137	244000	50.311268	3.0824032	-0.75624084	-0.046682358	0.952498	0.023052355	0.9248125	2.0	897.7799162864685
61	-1.0686275	1.8930769	6.967009	-4.6481924	9.21659	-1.8926415	0.010665924	-1.805429	-1.9075892	248000	27.934072	2.58078	-0.4117489	-0.029036522	0.9532749	0.02541505	0.9232381	3.0	907.9325575828552
62	-1.4896513	1.7630535	5.149145	-4.6346064	8.748359	-2.0622401	0.011438274	-1.8571444	-2.074491	252000	10.516347	2.4727252	-0.096559525	-0.036495447	0.9542015	0.018174548	0.92473966	3.0	918.0687398910522
63	-1.4169742	1.8452756	5.6542764	-5.1463184	8.78022	-2.2514567	0.011003762	-2.116489	-2.2623346	256000	14.955311	2.5361338	-0.12092209	-7.033348e-05	0.9548997	0.017506236	0.9260023	4.0	928.5744981765747
64	-1.589567	1.808344	6.384461	-5.147524	8.697167	-2.259131	0.010771395	-2.1200824	-2.2701473	260000	14.350162	2.488142	-0.155756	-0.004925728	0.95556176	0.015195733	0.9226284	6.0	939.5199570655823
65	-1.7676134	1.679166	6.8233037	-4.709814	8.502128	-2.3286052	0.0085130995	-2.242128	-2.338593	264000	78.67111	2.329795	-0.9206085	-0.018151522	0.9562061	0.018359665	0.92324615	9.0	951.313823223114
66	-2.0047805	1.5202284	5.5033364	-4.929584	8.344468	-2.4612784	0.009266392	-2.3570359	-2.4711008	268000	51.214256	2.2507725	-0.6763611	-0.030903578	0.95704687	0.016531423	0.9234241	8.0	962.8734395503998
67	-2.2055886	1.5674324	6.785323	-5.0042224	8.209446	-2.6343184	0.009921232	-2.4925666	-2.6445866	272000	14.466013	2.3345687	-0.10555935	-0.014339685	0.957736	0.015367207	0.92506343	11.0	975.0329401493073
68	-2.1701875	1.7988539	7.234531	-4.8395715	8.348643	-2.7518709	0.0100032715	-2.639215	-2.762736	276000	10.499915	2.765552	-0.12647915	-0.0010008812	0.9583256	0.015628237	0.9239803	24.0	990.6624460220337
69	-2.498328	1.5802763	3.5304997	-5.1508512	8.087045	-2.7832408	0.009133737	-2.5933735	-2.7937245	280000	50.47156	2.4389763	-0.7113457	-0.026964426	0.9588765	0.018691346	0.92468226	15.0	1004.2193562984467
70	-2.3986752	1.6760504	5.3448763	-5.6772747	8.239175	-2.9459898	0.009163058	-2.783094	-2.9570072	284000	38.63599	2.6357765	-0.36748886	-0.00026869774	0.9595279	0.015587902	0.92417896	8.0	1015.6713497638702
71	-2.4594295	1.5708371	5.692921	-5.025158	8.224279	-2.9304945	0.008148336	-2.8016105	-2.9409108	288000	22.386251	2.4694622	-0.19878006	-0.0025353432	0.9599737	0.015437369	0.9259639	14.0	1028.7986714839935
72	-2.526451	1.5348549	4.941515	-5.6440454	8.26033	-2.980749	0.007526858	-2.891543	-2.9907677	292000	20.43434	2.4445703	-0.20237541	-0.0024399757	0.9605764	0.015904602	0.9248356	15.0	1041.89359998703
73	-2.3497853	1.7024671	5.344007	-5.0430183	8.457627	-3.0301433	0.007064385	-2.9674253	-3.04016	296000	22.207384	2.6292622	-0.2634182	-0.0070827007	0.96107745	0.017333265	0.9247424	15.0	1054.9702687263489
74	-2.7024062	1.4821231	4.716169	-5.262532	8.24536	-2.945641	0.0063531557	-2.8866	-2.9545312	300000	20.23373	2.4366653	-0.25390244	-0.034285784	0.9615369	0.017398767	0.9234903	21.0	1069.8484301567078
75	-2.8519607	1.4799637	3.3862915	-5.317823	8.207392	-3.1329606	0.0065963627	-3.0593917	-3.1420076	304000	17.66454	2.409019	-0.2074318	-0.0073924065	0.96216047	0.015854876	0.9245335	20.0	1084.906002998352
76	-2.8134882	1.5355355	4.41698	-5.6436644	8.377358	-3.220114	0.0068461774	-3.142998	-3.229306	308000	54.679417	2.5783112	-0.8450012	-0.005344391	0.96270424	0.017232804	0.92407143	11.0	1097.4765601158142
77	-3.08295	1.4015657	3.8517828	-5.4595017	8.153061	-3.2942538	0.0067410204	-3.1880531	-3.3033884	312000	113.33299	2.5560966	-1.4912796	-0.0111756325	0.9632495	0.017175823	0.9246697	7.0	1108.9736368656158
78	-3.0421426	1.3790944	2.7067237	-5.1826158	8.209446	-3.4013877	0.0073837894	-3.2326715	-3.410598	316000	17.950375	2.4911826	-0.20046234	-5.38826e-05	0.96393156	0.017371073	0.9248936	5.0	1119.7744989395142
79	-3.0955195	1.4643716	3.2271998	-5.4037595	8.050404	-3.4081056	0.0064723277	-3.3276875	-3.4172144	320000	17.13632	2.5881674	-0.22433472	-8.106232e-06	0.96440464	0.016765056	0.9250989	9.0	1131.702437877655
80	-3.052773	1.4721843	5.063898	-5.24853	8.066667	-3.4089844	0.0060566314	-3.2875729	-3.4180338	324000	26.03664	2.6089692	-0.32029533	-0.0007996559	0.9649346	0.017959101	0.9252006	13.0	1144.7414128780365
81	-3.01411	1.5046668	4.865475	-5.3617654	8.196721	-3.3801103	0.006489508	-3.2680225	-3.3891354	328000	25.65075	2.8145897	-0.3297844	-0.0069847107	0.9654929	0.015300146	0.9221122	14.0	1157.9692013263702
82	-3.124611	1.4282357	2.9981818	-5.441953	8.026104	-3.4638727	0.0055631646	-3.3798351	-3.4734707	332000	64.90155	2.4939973	-0.87039185	-2.4795532e-05	0.9660526	0.015642416	0.9229722	8.0	1169.6124212741852
83	-3.1122973	1.5312548	3.9357812	-5.2143154	8.109533	-3.4602633	0.0053619095	-3.3853054	-3.470921	336000	32.753635	2.7144868	-0.33588028	-6.151199e-05	0.9665292	0.016036803	0.92458326	7.0	1181.0760114192963
84	-3.0784392	1.5645049	2.8277454	-5.253172	8.3056135	-3.452354	0.005513965	-3.3697503	-3.4616592	340000	282.48944	2.939078	-3.5653076	-0.0065538883	0.9669827	0.016202766	0.9253694	4.0	1191.7941617965698
85	-3.1546268	1.5756279	8.071274	-5.155282	8.126017	-3.532019	0.005718394	-3.426334	-3.5434082	344000	11.463632	2.934444	-0.1182785	-0.002703905	0.9675581	0.018042535	0.9260523	4.0	1202.666437625885
86	-3.0674603	1.4458579	3.6076832	-5.230322	8.344468	-3.480813	0.0048893047	-3.435701	-3.4914587	348000	39.845737	2.753255	-0.41223526	-0.0054073334	0.96816015	0.01703047	0.9247925	7.0	1214.0724246501923
87	-2.946305	1.5036676	3.764477	-5.3486576	8.432489	-3.5534143	0.0048713167	-3.4870827	-3.5645862	352000	23.923689	2.74677	-0.25301743	-0.009275436	0.96891224	0.017099643	0.9251664	11.0	1226.236849784851
88	-2.890373	1.5896428	2.4659371	-5.2579665	8.676789	-3.4580219	0.0046416544	-3.3407092	-3.4712682	356000	12.839525	2.9723544	-0.15542889	-0.0015189648	0.9696758	0.015512096	0.9233889	14.0	1239.1766254901886
89	-3.0756962	1.4967368	3.2451828	-5.2338467	8.416842	-3.497169	0.004439242	-3.4165492	-3.5151422	360000	29.216454	2.879061	-0.39655495	-0.0068080425	0.97020346	0.016912833	0.922562	12.0	1251.7968468666077
90	-3.0796018	1.6213274	7.124912	-5.444986	8.366109	-3.5791776	0.0058712796	-3.4547215	-3.5884395	364000	23.247343	3.0092244	-0.2873783	-0.0029754639	0.9706403	0.016210359	0.9246507	12.0	1264.6754696369171
91	-2.986135	1.5339208	4.3740797	-5.306005	8.42827	-3.5243351	0.004395889	-3.4536748	-3.5411038	368000	24.340443	2.7800763	-0.27095604	-0.00018000603	0.9711039	0.015106442	0.9249737	12.0	1277.5655031204224
92	-2.8836243	1.5687631	4.2163777	-5.2665024	8.544871	-3.5101285	0.0042961733	-3.4232805	-3.522494	372000	18.18835	2.8875854	-0.23129654	-0.0015301704	0.97156566	0.016017742	0.92231876	13.0	1290.5298247337341
93	-2.778801	1.6106485	2.6146834	-5.4733315	8.399159	-3.4705737	0.0035877915	-3.4193192	-3.4829412	376000	20.337128	2.745752	-0.24341011	-0.016715527	0.97200197	0.015889477	0.9232373	14.0	1304.046930551529
