Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	5.809955	6.617202	43.270477	-4.112506	23.488235	-0.0627672	0.35133016	0.5463869	-0.79327524	4000	-5.1259996e-09	33.561047	-0.020716915	-7.3094234	0.91894394	0.016026793	0.241	6.0	4.965303897857666
1	10.310374	12.45992	78.04143	-22.155603	31.070312	1.8979845	1.3303396	4.752867	-1.4637787	8000	-2.2649764e-09	97.99602	-0.0226157	-26.546463	0.917389	0.017865738	0.2255	7.0	9.953603267669678
2	13.0906315	13.82041	54.66934	-44.846184	45.136364	2.262068	4.830686	9.270214	-9.422818	12000	-1.9073487e-09	89.20951	-0.012752806	-23.03817	0.9157994	0.015701117	0.19925	8.0	14.248737096786499
3	22.533894	20.847431	125.34098	-3.913471	55.5	2.6270928	7.06829	12.239831	-12.440728	16000	-1.2516975e-09	175.79002	-0.016227925	-41.751724	0.91397667	0.01640666	0.22775	10.0	18.747503519058228
4	31.270283	47.228905	291.04373	-21.839165	70.14035	5.0876083	10.81651	16.200905	-16.071415	20000	2.3841857e-09	703.7941	-0.01214132	-89.42633	0.9117187	0.015839618	0.18125	9.0	22.99656081199646
5	60.589245	87.783325	392.26373	-13.598151	99.55	8.73244	14.1395035	22.167688	-21.490885	24000	3.8146974e-09	1628.7301	-0.014285465	-248.36267	0.9097069	0.015069742	0.20825	13.0	27.210564851760864
6	58.60866	62.11233	266.2294	-32.500042	111.25714	10.578652	18.346258	28.84078	-27.79052	28000	7.033348e-09	770.2164	-0.040060677	-94.57617	0.9078594	0.010949296	0.1745	79.0	32.20367169380188
7	75.56215	78.472206	368.0036	-20.674726	123.3125	16.36086	17.848906	31.757551	-30.604376	32000	-1.9073487e-09	808.9765	-0.042946965	-118.147766	0.90003175	0.01289185	0.2065	79.0	37.29309844970703
8	94.45848	94.16579	332.96133	-3.945833	135.44827	20.51114	18.84522	34.553864	-33.077274	36000	1.1086464e-08	1328.618	-0.0477612	-178.77185	0.8917254	0.015101215	0.23	77.0	42.48286247253418
9	161.92339	123.25879	407.5025	3.506181	194.7	21.249996	21.456585	38.85754	-35.385696	40000	4.2915342e-09	2092.22	-0.011768606	-434.8302	0.8885485	0.01502145	0.1735	7.0	46.624770402908325
10	165.30186	115.56571	448.10443	7.449726	202.26315	29.79963	23.072964	44.291115	-33.94978	44000	-3.8146974e-09	1551.1271	-0.010082347	-213.15405	0.888354	0.016292501	0.168	7.0	50.797191858291626
11	194.8394	128.10037	381.1179	9.020275	176.04546	37.166008	20.220665	48.27995	-35.07171	48000	-4.053116e-09	2573.6116	-0.013666616	-367.2046	0.8879463	0.015834201	0.2515	9.0	54.956992387771606
12	222.57439	118.3926	421.0731	37.12918	185.0	41.969414	23.425673	53.630913	-28.021196	52000	6.3180923e-09	2202.9683	-0.043148402	-289.1859	0.8875059	0.011733493	0.2005	79.0	59.79141068458557
13	251.76167	153.41179	628.90906	51.001953	242.75	40.332157	26.601192	58.127037	-29.286913	56000	-8.34465e-09	1805.4067	-0.047404274	-332.6306	0.8900559	0.011131454	0.21975	79.0	64.6437668800354
14	261.60526	136.53705	564.75037	26.48547	217.77777	51.30252	22.751314	61.643547	-34.4063	60000	0.0	1882.5259	-0.04616771	-263.46692	0.88272876	0.010555657	0.23675	79.0	69.56752395629883
15	264.34656	107.40216	428.9931	40.10648	235.75	50.60404	26.812994	65.29372	-24.325191	64000	7.033348e-09	1406.216	-0.045101073	-231.50012	0.87203753	0.011165584	0.212	79.0	74.40300464630127
16	269.36252	126.81383	626.4645	40.498314	186.33333	65.07105	12.973985	68.02619	-22.935099	68000	1.9073487e-09	1867.3021	-0.011472286	-259.91223	0.86850226	0.016322386	0.196	8.0	78.71581983566284
17	293.70203	94.84726	517.9381	50.925774	190.38095	69.602486	11.556367	71.5058	-24.011333	72000	1.7166137e-08	1677.3679	-0.043036137	-204.8584	0.8693431	0.015006044	0.2145	69.0	83.53838610649109
18	307.67334	172.98074	683.5199	57.74711	233.52942	67.75105	22.201868	75.07757	-25.695177	76000	3.218651e-09	1395.9285	-0.013466649	-196.70422	0.87056196	0.015083626	0.225	8.0	87.71767330169678
19	276.74728	89.53034	473.60086	104.2762	194.45	69.91758	24.23544	77.75828	-27.899723	80000	-5.722046e-09	1320.5385	-0.043142002	-171.77344	0.87058496	0.009053838	0.1995	79.0	92.61424493789673
20	319.9552	105.56159	533.6702	34.958733	208.52632	76.6056	15.421046	80.16725	-28.136042	84000	-4.529953e-09	1508.956	-0.012021469	-230.40625	0.8731731	0.017129565	0.22625	8.0	96.81026363372803
21	321.83456	101.5311	543.64056	142.54605	199.42105	81.81272	9.114366	83.07827	-16.331612	88000	-1.0967255e-08	1475.1948	-0.009667289	-157.81323	0.874134	0.018822238	0.218	6.0	101.01571655273438
22	296.52536	56.865307	469.24597	210.41983	175.63637	85.71514	0.4377131	85.731865	59.52949	92000	-6.6757204e-09	1202.3232	-0.04390103	-73.381836	0.87442595	0.011202964	0.20225	79.0	105.91256284713745
23	338.22824	70.46502	496.71024	231.00085	221.11111	87.614685	4.8500876	88.001335	-11.061815	96000	-2.503395e-09	1198.791	-0.04347833	-144.45776	0.87788165	0.007974352	0.21725	79.0	110.84173917770386
24	272.54977	56.345585	379.37463	123.044075	179.22728	83.77206	22.565987	89.98807	-27.023638	100000	2.2649764e-09	1039.0889	-0.043723393	-91.53241	0.8719425	0.011111183	0.2035	79.0	115.78794860839844
25	298.79767	72.30334	531.57245	138.80162	191.05	86.88206	17.257029	91.1627	-22.504696	104000	-1.1920929e-08	1101.5878	-0.0420432	-94.37665	0.87015706	0.008150221	0.1945	79.0	120.71980142593384
26	297.01666	64.408066	392.425	82.46119	185.7619	89.538376	17.313335	92.702675	-20.934874	108000	-5.4836273e-09	1008.50275	-0.013312157	-49.37982	0.87211	0.016059246	0.205	9.0	124.94165658950806
27	311.3269	68.68487	436.71515	141.53131	204.6842	89.20279	20.78618	94.22814	-23.464031	112000	-9.536743e-09	891.63226	-0.011885048	-62.127808	0.87112737	0.01637337	0.23575	8.0	129.20216989517212
28	320.4796	106.42418	613.3177	194.69263	212.61111	92.19492	17.221413	95.45742	-24.030107	116000	2.6226044e-09	878.5033	-0.04385935	-72.52704	0.8699336	0.009491809	0.21975	79.0	134.157705783844
29	322.28702	72.59761	502.24573	207.08559	202.10527	95.76856	5.8814044	96.51963	8.376737	120000	4.172325e-09	962.5883	-0.013142624	-72.85516	0.8741167	0.01620572	0.25225	8.0	138.37308478355408
30	308.6591	55.975235	450.3233	206.25046	187.2381	97.82577	0.045079537	97.82861	95.40102	124000	1.0728836e-09	913.4073	-0.040844943	-10.500122	0.8729559	0.011123322	0.20125	79.0	143.34163904190063
31	301.66797	94.958885	603.4375	182.75908	193.15	96.70684	14.447289	98.8191	-21.329473	128000	-6.6757204e-09	1024.3628	-0.044097003	-118.450806	0.8812575	0.013106654	0.22925	79.0	148.25415873527527
32	314.22348	46.123646	450.01337	247.80418	189.66667	99.41804	0.8290602	99.498436	71.27459	132000	-2.2649764e-09	913.9582	-0.012019964	-12.52124	0.88033694	0.015067047	0.25325	8.0	152.45346593856812
33	277.40775	65.35266	419.407	103.60656	170.08696	97.47772	17.05062	100.44163	-16.34236	136000	-5.9604646e-09	999.875	-0.042645793	-45.566895	0.88037354	0.0063233958	0.18975	79.0	157.397522687912
