Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.045044698	6.3346577	17.884647	-16.5731	26.25	-0.09387584	0.14834101	0.4579773	-0.67274183	4000	-6.556511e-09	30.30604	-0.022642728	-8.447422	0.91894394	0.016192252	0.24275	7.0	4.817777156829834
1	2.91738	7.3605824	31.507736	-11.966359	29.917294	-2.0873313	1.5526687	3.5243397	-4.243203	8000	-4.4107438e-09	36.033577	-0.021692209	-6.672827	0.9182556	0.015391046	0.21125	8.0	10.353281021118164
2	6.3071914	7.279626	33.00928	-4.5509677	32.467213	-0.95105565	2.0075598	4.8576446	-5.618757	12000	1.3589859e-08	34.526077	-0.020427093	-9.583696	0.9173083	0.016017918	0.25575	8.0	14.745399475097656
3	11.018212	10.412218	48.272655	-10.298761	40.29293	0.7687018	3.2406337	7.6178093	-7.6217656	16000	-3.0398368e-09	48.94688	-0.020227453	-12.731934	0.9156901	0.015280819	0.23725	8.0	19.331098079681396
4	12.846695	11.297115	54.662918	-14.403806	50.151897	1.1072956	5.482878	10.479114	-10.758402	20000	2.3841857e-09	49.071945	-0.016730728	-10.435738	0.91372657	0.015514219	0.26025	11.0	24.109514713287354
5	25.927336	23.97936	162.12854	-4.0413294	59.432835	3.4709687	6.0128446	13.163682	-12.889592	24000	-6.6757204e-09	221.04387	-0.019427847	-70.60777	0.9109835	0.016767671	0.23925	10.0	28.405035972595215
6	36.18768	42.589767	234.36592	-29.162626	82.125	6.2493315	9.987658	19.774212	-19.22612	28000	4.887581e-09	415.68597	-0.015089829	-75.917175	0.90831333	0.016565928	0.2225	10.0	33.16902565956116
7	56.564808	47.98342	243.903	8.755209	93.88095	12.187946	13.013199	25.83437	-24.587292	32000	1.26361845e-08	559.81323	-0.04016538	-103.395996	0.9064582	0.014548366	0.21575	79.0	38.95126533508301
8	91.07055	83.274574	311.81937	7.482177	114.08572	20.184067	13.840816	31.409084	-18.16096	36000	2.7418137e-09	1349.918	-0.040811155	-253.19507	0.8976442	0.01497586	0.1965	79.0	44.47777724266052
9	137.29312	94.38907	291.1585	27.325476	124.46875	30.567862	14.382905	38.61582	-20.658566	40000	5.6028364e-09	1931.0414	-0.04303491	-353.27087	0.88687575	0.013044043	0.21	79.0	49.644792556762695
10	157.02263	114.288765	361.5061	25.796652	163.33333	31.795824	20.913084	45.550297	-35.518593	44000	-4.2915342e-09	1756.602	-0.04406242	-323.6637	0.87728906	0.010662095	0.22125	79.0	55.34044694900513
11	211.84726	104.45623	431.8958	55.632545	185.2381	42.082718	17.828993	50.441456	-20.617971	48000	4.053116e-09	1816.9669	-0.03864363	-344.83435	0.8630231	0.015051773	0.18375	65.0	60.59428787231445
12	232.27382	102.87901	458.06537	36.117893	179.68182	49.774437	14.952038	55.023453	-28.49083	52000	-5.2452087e-09	2196.6213	-0.011282766	-358.82117	0.8566086	0.01517428	0.20025	9.0	65.13059043884277
13	275.10553	92.79774	442.62173	76.45824	189.95238	55.265007	15.534155	59.83759	-20.649813	56000	1.835823e-08	2487.2546	-0.044001557	-384.7456	0.8559807	0.011674326	0.215	79.0	70.55212330818176
14	247.05011	90.39242	386.6525	32.829647	179.18182	57.74971	19.808844	64.84688	-21.334246	60000	1.9073487e-09	1771.7942	-0.040376645	-201.51819	0.85564435	0.015015752	0.202	65.0	75.88110256195068
15	263.0395	100.182014	487.60138	71.880066	186.38095	61.97389	18.453695	68.3335	-18.66747	64000	7.033348e-09	1850.5309	-0.042520426	-227.5232	0.85558206	0.015043958	0.2115	70.0	81.4362063407898
16	219.08382	97.88651	379.82724	51.99126	189.71428	55.63032	29.498098	71.59445	-24.179098	68000	1.7881393e-09	1233.0846	-0.043526735	-171.61633	0.8522043	0.010280348	0.21325	79.0	86.7757933139801
17	246.7223	109.51841	527.2667	46.610744	181.45454	63.11194	24.278996	73.505455	-16.782688	72000	4.7683715e-09	1511.1471	-0.0453872	-181.19104	0.8481973	0.010977871	0.243	79.0	92.00174379348755
18	266.81418	130.42307	505.1484	58.282787	217.94444	63.08396	28.271753	75.889496	-25.330332	76000	9.536743e-09	1246.5885	-0.011720264	-166.8147	0.84695965	0.015933333	0.24075	6.0	96.35082697868347
19	278.7714	84.648056	387.73883	93.14982	196.78947	68.52972	24.583054	78.044586	-16.78559	80000	4.768372e-10	1357.2716	-0.005978279	-147.1416	0.84666336	0.015320311	0.179	6.0	100.60861587524414
20	272.90714	95.350624	378.4947	47.841225	200.26315	68.424286	27.834444	80.594086	-17.8699	84000	-2.3841857e-09	1219.8225	-0.045459162	-121.20386	0.84641415	0.014669455	0.23325	79.0	106.42419576644897
21	285.53174	114.96371	561.6761	69.01125	205.1579	72.604515	25.789448	82.9426	-18.192966	88000	-6.9141386e-09	1233.2964	-0.04614545	-129.10156	0.84781545	0.0129085425	0.227	79.0	112.04953002929688
22	330.50363	141.4414	604.1915	125.372574	276.85715	69.23925	31.162367	85.05799	-19.065945	92000	7.390976e-09	1062.6948	-0.010695267	-120.83856	0.8474751	0.015040375	0.2235	7.0	116.87748408317566
23	315.8756	95.94823	503.4188	40.154385	202.89473	83.683846	16.137686	87.09441	-23.22463	96000	8.5830685e-09	1247.1533	-0.043067023	-130.21484	0.84742	0.014269698	0.232	79.0	122.17914628982544
24	284.19113	81.98381	408.1607	47.467575	178.5	85.36759	19.270573	89.46536	-24.838503	100000	7.629395e-09	1234.9673	-0.046181057	-120.96533	0.8473822	0.010041668	0.25375	79.0	127.61612749099731
