Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	16.203594	10.845355	63.80181	3.7995443	17.47807	0.05467051	0.06929696	0.2912296	-0.21348487	4000	-5.686283e-08	179.6061	-0.02115023	-69.3068	0.9189426	0.015126696	0.17625	3.0	3.64829683303833
1	24.740412	24.160147	164.73877	5.09899	22.318436	4.831505	0.47706404	5.0735893	-1.7710272	8000	4.768372e-10	573.2777	-0.0124269435	-90.33356	0.9180704	0.016599866	0.25525	5.0	7.624058246612549
2	48.727913	45.89201	219.76228	6.3230844	34.24138	8.737276	0.25025705	8.788443	0.9086492	12000	-1.8954276e-08	1614.6837	-0.01167293	-219.62439	0.9173523	0.016539698	0.27775	8.0	11.240838527679443
3	87.625	52.559475	231.28545	11.981725	50.36709	13.280086	0.022164565	13.2877445	12.64591	16000	3.7670137e-08	2460.2473	-0.015201323	-307.6975	0.9160885	0.008163155	0.0905	79.0	15.496534824371338
4	99.76926	61.550117	240.06361	9.775928	55.38889	17.694868	0.012570449	17.697937	17.196653	20000	1.1432171e-07	2872.6658	-0.015711006	-288.48096	0.9035654	0.009630474	0.095	79.0	19.424602031707764
5	143.37631	64.97161	232.41814	14.424251	74.66038	21.566692	0.013151456	21.568369	20.817278	24000	1.8835069e-08	3833.2466	-0.0123980725	-377.4026	0.9037304	0.0069585554	0.084	79.0	23.357636213302612
6	148.28859	56.593197	239.68094	56.71881	76.0	25.614546	0.004772815	25.615591	25.465893	28000	-2.6583672e-08	3394.5713	-0.016438589	-297.75635	0.9021303	0.009459551	0.08275	79.0	27.323704481124878
7	175.93463	46.96557	255.073	71.94438	86.8	29.073465	0.0026558044	29.074055	28.970959	32000	-8.022785e-08	3914.2004	-0.013877747	-337.35034	0.8947662	0.0053210645	0.069	79.0	31.274383783340454
8	186.39835	50.162056	238.9215	30.24153	88.48889	32.591507	0.0016690103	32.591938	32.553947	36000	-1.0490417e-08	4091.662	-0.01653191	-331.1333	0.8935576	0.010074505	0.1155	79.0	35.17183756828308
9	197.39528	38.901943	228.10254	48.62745	92.558136	35.98636	0.001000528	35.986614	35.95884	40000	8.106232e-08	3926.9446	-0.014051492	-304.60254	0.8730001	0.009660538	0.08075	79.0	39.17233347892761
10	209.13231	15.548654	234.64667	140.34933	96.68293	39.17979	0.0010956759	39.18003	39.146774	44000	5.7697296e-08	3807.9326	-0.010348917	-287.12402	0.88542414	0.007097072	0.06825	79.0	43.12955713272095
11	194.67995	35.87524	232.80428	57.36602	89.13636	42.235157	0.0010555747	42.235382	42.202374	48000	4.4941903e-08	3356.7458	-0.011171878	-233.53613	0.87336296	0.0017667084	0.05825	79.0	47.07929301261902
12	201.62384	25.158049	231.8962	57.93573	91.72093	44.986263	0.0009456606	44.986435	44.947227	52000	4.172325e-08	3181.9944	-0.010372494	-214.07983	0.8818261	0.005413143	0.053	79.0	51.40383768081665
13	200.2684	15.870131	219.25087	116.928474	91.11628	47.609436	0.0008232609	47.609604	47.584908	56000	-6.616116e-08	2908.975	-0.014408534	-188.43604	0.8745188	0.012912085	0.08175	79.0	55.38694095611572
14	204.56944	12.473676	228.65694	176.84196	92.76744	50.080578	0.007048964	50.08087	49.649517	60000	9.965897e-08	2783.6875	-0.008941595	-172.19702	0.89596486	0.00486192	0.0635	79.0	59.293678998947144
15	206.99658	8.755211	222.92229	188.56523	93.59524	52.452553	0.0004679525	52.45267	52.44401	64000	8.058548e-08	2702.4255	-0.0121663995	-162.43604	0.9067848	0.0031896243	0.0865	79.0	63.25491404533386
16	208.8255	12.882741	234.0403	185.08943	95.02381	54.76895	0.0004743748	54.76906	54.754147	68000	9.10759e-08	2570.9207	-0.008884977	-143.2544	0.90871614	0.0024788426	0.0535	79.0	67.2133457660675
17	205.47719	26.577557	230.09338	52.37435	93.309525	56.965797	0.00047437634	56.965893	56.95338	72000	2.193451e-08	2464.937	-0.014895423	-130.06958	0.9047859	0.010644638	0.0785	79.0	71.11995005607605
18	206.7761	12.034535	234.8328	171.42305	94.04762	59.07671	0.00040557625	59.076797	59.06339	76000	1.180172e-08	2229.3242	-0.013268125	-109.45239	0.9291136	0.0046199556	0.11075	79.0	75.03638505935669
19	202.95354	15.427533	233.05025	152.8014	92.76744	61.0391	0.0004287933	61.039177	61.025658	80000	2.3841858e-08	2027.5881	-0.0150317745	-88.48511	0.9162292	0.004933544	0.087	79.0	78.9212532043457
20	203.98744	24.585823	226.59915	57.55529	92.60465	62.828785	0.0003025882	62.828846	62.823204	84000	3.4987927e-08	2030.9496	-0.016565185	-85.15039	0.9309082	0.007985439	0.092	79.0	82.85395669937134
21	206.78079	11.447401	230.65671	182.3254	93.88095	64.599686	0.00030717844	64.599754	64.58795	88000	1.3351441e-08	1926.5316	-0.015257527	-78.3418	0.9323998	0.0076770326	0.0955	79.0	86.78266716003418
22	208.39516	15.162952	230.82666	143.67377	94.2619	66.324905	0.0002657869	66.32495	66.31916	92000	6.437302e-09	1909.429	-0.00970221	-72.86792	0.9180572	0.0006179638	0.054	79.0	90.71241188049316
23	208.65979	16.561441	236.5273	140.3255	94.47619	68.01184	0.00022943807	68.0119	68.0085	96000	2.3841858e-08	1852.2096	-0.016270973	-64.61182	0.9209309	0.012438889	0.10075	79.0	94.62439322471619
24	209.86026	13.22897	234.13756	183.71083	95.02381	69.62606	0.00029614745	69.626114	69.612915	100000	-1.0251999e-08	1792.0347	-0.011922721	-57.702515	0.9256019	0.0076117646	0.082	79.0	98.62730598449707
25	206.64772	13.913185	229.95459	173.71593	94.666664	71.17444	0.00020715292	71.17448	71.17131	104000	-2.193451e-08	1660.7583	-0.017020207	-43.06433	0.9290885	0.012170503	0.097	79.0	102.53811979293823
26	207.25862	18.36224	241.8257	127.09616	94.2619	72.54158	0.0002233679	72.54161	72.53488	108000	4.7683717e-08	1663.0205	-0.0137044005	-40.721924	0.93154174	0.0040989695	0.09	79.0	106.45725679397583
27	212.01855	12.578957	237.94194	181.32716	95.2381	73.88375	0.00018580626	73.88379	73.87949	112000	-1.5854836e-08	1770.4952	-0.018701887	-50.431152	0.91696167	0.011814966	0.098	79.0	110.31036591529846
28	214.28596	13.648039	244.69955	183.22664	97.414635	75.39109	0.00021478602	75.391136	75.38247	116000	-7.927418e-09	1675.4707	-0.016213192	-37.49048	0.9207323	0.009008165	0.091	79.0	114.15378069877625
29	215.84502	16.361643	263.88995	186.41212	98.05	76.73139	0.00021910174	76.731415	76.72307	120000	-8.5830685e-09	1695.092	-0.016063495	-37.62256	0.9160884	0.008134694	0.0985	79.0	118.02476239204407
30	217.09937	16.94957	255.84607	181.75783	97.975	78.08303	0.00015118334	78.08307	78.08159	124000	3.027916e-08	1684.6667	-0.01421141	-35.37732	0.92509866	0.006609892	0.07275	79.0	122.00941896438599
31	219.41573	16.506027	261.6912	182.26701	98.675	79.418465	0.0028155602	79.41856	79.247765	128000	2.0623206e-08	1652.1553	-0.017352393	-560.34937	0.9238764	0.009807818	0.08925	79.0	125.95335817337036
32	224.13333	20.909588	270.0452	158.30205	100.4359	69.457466	20.607824	80.932724	4.6460915	132000	1.7225743e-08	1223.4741	-0.01827162	-187.10242	0.94459426	0.0088698035	0.1165	79.0	129.89610528945923
33	226.71672	13.004068	265.2012	209.54105	101.38461	71.42903	21.749567	83.38992	4.3250933	136000	-1.1920929e-09	1021.3779	-0.014951435	-118.63263	0.9298138	0.00501239	0.0905	79.0	133.83515548706055
34	233.05461	25.142199	283.852	162.55608	104.07895	72.745636	23.032242	85.77395	-5.523927	140000	-8.463859e-08	1137.964	-0.0030259497	-127.430115	0.9307734	0.016462704	0.194	5.0	136.98491096496582
35	221.84116	15.613278	266.1276	195.02144	97.975	74.981514	23.746296	88.12489	4.1706953	144000	3.772974e-08	799.24945	-0.014088977	-89.62512	0.93026507	0.008070518	0.084	79.0	140.91052770614624
36	219.9445	23.759478	261.23474	170.92763	97.02439	76.1195	24.023165	90.24879	0.3696835	148000	3.170967e-08	741.7776	-0.016500967	-79.43695	0.92975515	0.008262384	0.109	79.0	144.8478705883026
37	230.89133	31.306248	287.1089	111.32652	100.92308	76.5714	25.564528	92.17119	-12.083381	152000	2.7298928e-08	918.7972	-0.017565694	-98.84503	0.9319616	0.00836788	0.103	79.0	148.8316252231598
38	239.25395	31.525148	293.87903	132.64325	103.5	79.78715	25.131483	94.23495	0.5300877	156000	7.2479246e-08	975.042	-0.0050611007	-101.20746	0.93460083	0.015665958	0.1425	5.0	152.02629399299622
39	259.68576	26.770351	324.21158	204.47568	112.22857	81.56058	24.895758	96.443924	-6.059063	160000	1.847744e-08	1085.6173	-0.019281365	-141.46307	0.9340745	0.008976383	0.13625	79.0	156.20718479156494
40	271.63617	23.197023	312.77008	217.62186	115.29412	84.971245	25.50574	98.96504	0.13217711	164000	3.8802625e-08	1170.0623	-0.017582502	-141.9812	0.9160294	0.0071756854	0.10875	79.0	160.11525011062622
41	274.6844	29.275068	316.1236	189.15776	116.64706	86.834496	26.553125	101.65248	2.9609952	168000	-7.0035455e-08	1133.1605	-0.01789721	-123.92413	0.9091539	0.008632948	0.112	79.0	164.04119110107422
