Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.9781945	8.420897	38.013657	-10.55456	28.613138	0.0032729497	0.21346718	0.63198346	-0.47598314	4000	2.2351742e-08	46.460373	-0.020834623	-6.3149347	0.9189396	0.016234342	0.2315	5.0	1.2860803604125977
1	5.7712135	14.179744	116.88324	-22.004423	34.701756	-0.20060967	1.8136709	4.6375794	-4.5486937	8000	-1.4901161e-08	127.37663	-0.015098868	-27.992393	0.9194089	0.017998766	0.21849999	7.0	2.3852639198303223
2	11.527704	16.318172	101.186455	-12.096373	45.95238	0.90835047	4.846288	9.516589	-9.185593	12000	-7.450581e-09	116.194916	-0.015526026	-25.052315	0.9188313	0.015439131	0.25	9.0	3.4840309619903564
3	16.444473	20.605148	107.66119	-18.604568	55.185715	2.185121	7.1200356	12.982896	-12.493519	16000	-2.4214387e-08	143.71542	-0.015921585	-28.468128	0.9171574	0.015921723	0.214	10.0	4.642211198806763
4	35.556683	47.04615	223.52092	-18.342651	67.27119	5.3872643	10.103781	16.564533	-15.747447	20000	7.450581e-09	659.49115	-0.015127046	-130.56435	0.91519815	0.017149936	0.20075	9.0	5.7711405754089355
5	58.978054	61.856968	233.90274	-1.7644235	99.97298	10.159176	12.822094	23.107784	-21.606197	24000	-2.2351742e-08	971.6852	-0.04420566	-155.57016	0.91414297	0.014148856	0.2025	79.0	7.23489236831665
6	76.60995	66.147545	258.84723	-2.3371751	108.942856	16.582714	14.925072	28.584534	-25.431267	28000	0.0	1042.9866	-0.04394806	-141.84712	0.908083	0.011376688	0.2165	79.0	8.706243515014648
7	166.74506	102.769165	356.47498	8.591159	164.90909	23.325674	14.861235	33.08826	-31.22165	32000	-1.9557774e-08	2409.0232	-0.039659694	-448.65118	0.89670193	0.01508601	0.19049999	48.0	9.96926760673523
8	136.90501	104.96229	366.8463	6.3858256	146.52	28.850956	18.441336	39.69703	-25.889229	36000	-2.2351742e-08	1901.5463	-0.010508802	-253.79562	0.89258754	0.01584156	0.16100001	8.0	11.124299049377441
9	187.33235	112.38124	424.45474	35.379345	195.61111	31.482876	20.288776	44.191757	-26.615637	40000	-2.9802322e-08	1776.3849	-0.047128942	-242.89871	0.89147776	0.014518719	0.23125	79.0	12.734994411468506
10	238.12534	104.42433	376.5504	53.71238	217.5625	38.78318	18.817038	48.04984	-24.120455	44000	1.8626451e-08	2102.427	-0.03713967	-312.1552	0.8824733	0.015018587	0.17025	43.0	14.062903642654419
11	183.03954	135.07968	431.97714	-0.5040738	188.94444	38.28786	24.911404	52.353985	-36.64081	48000	-3.7252903e-09	1736.7485	-0.015213932	-214.23361	0.87866074	0.01568551	0.24575001	9.0	15.132230520248413
