Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.224396	11.239569	80.30143	-11.723656	27.866198	0.004935316	0.21917844	0.6710887	-0.46091336	4000	7.450581e-09	85.34042	-0.019193806	-13.361519	0.91894394	0.017206786	0.25775	6.0	3.2921488285064697
1	5.1003118	10.985021	63.02295	-21.058094	33.30252	0.42541492	2.3788202	5.6857867	-4.7326727	8000	1.5616417e-08	67.69807	-0.019545281	-14.968113	0.9171937	0.015381359	0.16925	6.0	6.835281848907471
2	18.278776	22.627665	118.091194	-6.4078317	48.365852	1.7842752	4.2292075	8.523046	-8.030205	12000	-5.2452087e-09	245.67387	-0.015096615	-59.447678	0.9160762	0.016472809	0.2685	9.0	10.492695093154907
3	30.405752	41.886898	244.8824	-12.068537	66.666664	5.121839	8.236531	13.402607	-12.789269	16000	-4.5955183e-08	603.93524	-0.015356536	-94.522675	0.9147542	0.015984943	0.204	10.0	13.89683723449707
4	32.193	46.387012	211.26204	-20.059052	90.38636	3.7784858	12.755353	18.65381	-17.723389	20000	-7.867813e-09	459.8495	-0.042356435	-62.390015	0.912934	0.012800406	0.1805	79.0	17.628824949264526
5	70.83803	76.39133	292.77988	-25.779785	97.65	12.376978	12.55017	21.898579	-20.719738	24000	-1.257658e-08	1477.6147	-0.041339003	-271.45947	0.91114974	0.015004698	0.19125	63.0	21.191268920898438
6	79.728645	91.65471	307.24442	-6.1381793	111.22857	15.829627	16.325888	28.051538	-26.350992	28000	-4.482269e-08	1552.45	-0.039270747	-181.6831	0.9038585	0.015002297	0.21	46.0	24.625751972198486
7	107.282814	88.465294	316.23523	-2.6790485	124.4375	21.372093	16.251451	32.648388	-27.910128	32000	-3.3259393e-08	1628.5085	-0.0414594	-189.63513	0.8951324	0.015017593	0.1965	63.0	28.19070053100586
8	153.11124	118.27304	360.30157	5.0462313	152.8	24.874945	18.75823	36.9296	-33.35944	36000	-3.3020974e-08	2307.4812	-0.048095975	-316.17212	0.8907636	0.011880909	0.20175	79.0	32.17909860610962
9	211.63953	101.17806	432.4684	31.174324	173.34782	31.788929	18.420652	42.08892	-20.100317	40000	-1.3589859e-08	2784.795	-0.015859812	-458.1106	0.8803813	0.01755879	0.22725	8.0	35.56596660614014
