Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.6787403	8.033643	34.749546	-13.471232	27.289656	0.0011762815	0.21705294	0.634154	-0.47362173	4000	1.0848045e-08	38.977795	-0.020761712	-5.894493	0.91894394	0.015436066	0.22575	5.0	3.2532424926757812
1	5.6575837	10.2369995	39.54024	-29.90201	32.7438	-0.24507543	1.7323058	4.6218257	-4.4457088	8000	-3.5762786e-09	64.11253	-0.018406315	-16.947182	0.917922	0.01665263	0.24875	7.0	6.300364255905151
2	20.408035	28.109646	146.28966	-12.899054	50.240505	2.0108788	4.200746	8.725653	-8.47632	12000	-1.4066696e-08	355.87057	-0.016487088	-84.282715	0.9165928	0.016028982	0.2425	8.0	9.280488729476929
3	24.091623	33.432606	128.76134	-36.840946	64.5	4.506409	9.118617	13.94314	-13.505548	16000	-1.1920929e-08	323.60867	-0.014062085	-61.834167	0.9148773	0.015196369	0.1795	8.0	12.22024917602539
4	38.260994	53.027916	232.62128	-15.97978	82.479164	4.3837843	12.241576	17.638939	-16.998236	20000	-2.2768974e-08	808.2581	-0.041604627	-105.29938	0.9130096	0.011373041	0.193	79.0	15.86524510383606
5	72.80901	69.31661	252.60461	-2.981681	100.10256	12.407685	12.619617	22.364807	-21.302841	24000	-2.6464463e-08	1276.5972	-0.014858249	-251.90784	0.90458333	0.015075003	0.17725	11.0	19.000829219818115
6	93.403244	93.83522	349.03564	-6.2170024	121.90625	17.01	14.73365	28.226828	-26.91598	28000	2.5868415e-08	1656.2323	-0.013731712	-213.91321	0.9037061	0.015527235	0.197	11.0	22.49745273590088
7	119.30282	99.58719	318.41486	4.5229177	132.63333	22.66464	14.911465	33.21414	-30.162441	32000	-2.7656554e-08	1835.1603	-0.04562428	-272.906	0.9022058	0.01220463	0.21325	79.0	26.13705039024353
8	123.26138	120.37568	398.85294	-20.160471	150.48	24.118507	19.948149	37.939274	-34.89528	36000	-8.881092e-09	1879.3241	-0.04694506	-232.5166	0.8979116	0.015048836	0.22025	77.0	29.982828617095947
9	218.17702	110.982445	403.79013	30.135027	174.36363	32.1991	17.671528	41.811695	-31.704847	40000	4.887581e-08	3084.8564	-0.013775431	-559.4136	0.89373225	0.015584809	0.19375	9.0	33.37931990623474
10	236.25906	124.8047	473.26175	43.414726	214.66667	38.945187	18.283543	47.373913	-22.252636	44000	3.170967e-08	2263.96	-0.009301434	-331.688	0.89384735	0.016457764	0.18025	8.0	36.418662786483765
11	187.88771	107.45892	398.0252	30.331423	186.7	42.18855	20.270025	51.407883	-36.44954	48000	-5.00679e-09	1708.832	-0.009962891	-217.5658	0.89311033	0.015741024	0.18275	8.0	40.088643312454224
12	171.86072	121.90584	466.00272	25.809282	170.08696	39.09486	25.42036	54.126846	-34.760155	52000	-1.847744e-08	1509.098	-0.013758773	-151.46692	0.89226204	0.016254973	0.2175	9.0	43.39813804626465
13	248.18417	82.00315	358.74707	15.981031	176.54546	49.011734	18.567244	56.375477	-29.08543	56000	2.2053719e-08	2310.376	-0.03727784	-299.80115	0.890249	0.015031843	0.1655	53.0	46.79335045814514
14	264.3825	104.15259	418.51666	62.90085	216.16667	50.470695	22.412193	60.12665	-22.233906	60000	-2.5987624e-08	1936.6218	-0.044278428	-214.44385	0.8889547	0.011138357	0.20375	79.0	50.40725088119507
15	269.6055	89.435295	465.04993	66.934364	180.22728	60.777737	12.648636	63.395866	-22.871191	64000	4.7624113e-08	2080.768	-0.04566991	-228.22717	0.89040506	0.01018206	0.19625	79.0	54.02007722854614
16	269.5616	111.531265	476.12674	31.38613	210.42105	59.657494	21.572329	66.79511	-33.53465	68000	3.8146974e-09	1768.0381	-0.04565598	-255.15686	0.88765705	0.011420483	0.21075	79.0	57.62424635887146
17	250.41914	69.27996	343.73618	117.26403	198.1579	57.813072	26.740664	69.58633	-24.940725	72000	-1.1205673e-08	1295.283	-0.015279524	-121.605835	0.8877118	0.01735244	0.27125	8.0	60.65353727340698
18	308.53098	138.84436	683.8342	52.079212	220.22223	64.83759	21.416359	71.61239	-24.248983	76000	-9.536743e-09	1742.4324	-0.009648026	-259.37268	0.8876087	0.01671191	0.20875	7.0	63.66101622581482
