Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	16.603811	16.286789	195.90854	3.820295	17.541851	0.05350144	0.070320636	0.29124877	-0.24111708	4000	7.510185e-08	371.8562	-0.016923623	-86.20563	0.91893864	0.020923954	0.264	4.0	2.2391180992126465
1	28.28051	26.948872	151.26602	5.7148995	24.236364	4.889686	0.4640632	5.1350894	-0.31903175	8000	5.972385e-08	694.6622	-0.013281476	-107.098816	0.91776943	0.015910955	0.23725	5.0	4.6274566650390625
2	55.643696	50.946003	224.90042	5.611001	37.518867	8.806203	0.26396418	8.854929	2.042409	12000	-3.349781e-08	2012.8533	-0.012974103	-249.8778	0.91664463	0.017552841	0.274	7.0	6.96525239944458
3	84.911736	54.16418	228.54721	6.612048	49.949368	13.285424	0.060205553	13.296702	11.408266	16000	1.206398e-07	2400.3457	-0.015812619	-287.44678	0.9154868	0.006215191	0.0815	79.0	9.65093207359314
4	105.46039	53.0972	232.87012	13.475065	58.735294	17.392567	0.017502392	17.39661	16.756023	20000	-8.225441e-08	2594.8096	-0.0132397115	-268.05664	0.91110426	0.0032481127	0.07525	79.0	12.847579002380371
5	135.85149	57.810486	275.07486	28.149265	71.87273	21.05489	0.0057003177	21.056482	20.819542	24000	-7.4148176e-08	3339.6506	-0.014874018	-327.85254	0.90280664	0.007331124	0.0815	79.0	15.498673915863037
6	143.714	60.212128	244.06908	30.434418	75.07692	24.830683	0.009307391	24.832094	24.415308	28000	3.862381e-08	3421.8853	-0.015557604	-299.96777	0.90850204	0.00791065	0.07675	79.0	18.2874436378479
7	168.70653	50.568817	245.44788	49.66845	84.82609	28.305712	0.0022804944	28.306385	28.254465	32000	1.1825561e-07	3713.8745	-0.0141791655	-320.51807	0.9068018	0.00693997	0.07	79.0	20.98974609375
8	174.02356	49.53675	234.82224	56.69751	86.695656	31.761631	0.0032220418	31.76227	31.687128	36000	2.026558e-09	3467.6814	-0.01563098	-273.51367	0.900484	0.011793091	0.08875	79.0	23.70094323158264
9	179.08434	45.09835	231.57283	79.293465	88.84091	34.902775	0.0010493279	34.903107	34.887287	40000	6.067753e-08	3295.8342	-0.0157116	-250.69409	0.899011	0.008632948	0.075	79.0	26.46941590309143
10	189.79713	42.98793	240.24182	49.731304	92.0	37.866993	0.0012196917	37.867256	37.815243	44000	-6.508827e-08	3321.9587	-0.014141531	-246.05103	0.9109489	0.008152445	0.09825	79.0	29.183114051818848
11	188.49098	39.65685	233.31773	54.783432	90.59091	40.774242	0.0017540706	40.77457	40.718754	48000	7.8678134e-08	3027.99	-0.015359832	-212.24536	0.8881941	0.0071271486	0.06925	79.0	31.92972469329834
12	206.33727	17.330349	254.4138	178.46484	96.34146	43.474964	0.0007306777	43.47515	43.466625	52000	5.1259996e-09	3228.4539	-0.013935269	-230.27393	0.8969962	0.008761905	0.09	79.0	34.6579053401947
13	203.37033	27.828333	256.75378	90.44774	94.666664	46.261913	0.00076483557	46.262093	46.239388	56000	1.7881393e-09	3029.1694	-0.016849564	-201.16382	0.8986529	0.008595259	0.09175	79.0	37.413323640823364
