Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.9290871	5.6954446	30.299593	-9.506231	22.857143	0.035740435	0.1389484	0.419518	-0.38886672	4000	1.180172e-08	20.764606	-0.026128117	-3.9483452	0.91893864	0.015961712	0.261	7.0	2.4066405296325684
1	4.604063	8.543454	46.139626	-12.0144	27.958042	-1.1667776	1.2159692	3.0633497	-3.273739	8000	1.26361845e-08	45.582172	-0.026553089	-8.667393	0.9181437	0.017393392	0.26575	9.0	4.910632610321045
2	10.210791	14.628841	121.43943	-12.330738	33.822033	1.3409345	2.29353	5.948263	-4.795482	12000	-1.4901161e-08	135.2828	-0.019876262	-29.285309	0.9159905	0.015856097	0.2345	8.0	8.882710933685303
3	13.541579	13.999169	62.107704	-6.4636827	39.20792	3.7869127	4.361811	10.471713	-10.320192	16000	2.0742416e-08	81.14814	-0.018859632	-15.205078	0.91365397	0.016869023	0.19275	7.0	11.161108493804932
4	42.166565	47.355465	224.63547	-2.9779441	67.42373	7.022675	5.753509	12.798519	-12.2784195	20000	2.5749207e-08	842.30365	-0.01437015	-185.97955	0.9116813	0.015398936	0.20525	8.0	13.495441913604736
5	66.41351	59.5834	220.00351	7.83109	79.2	15.223506	7.613787	19.438753	-18.756783	24000	-2.5272369e-08	1227.2314	-0.014457694	-207.58557	0.9100814	0.015341766	0.207	13.0	16.14113998413086
6	68.78835	79.92892	298.33762	-18.696165	103.52631	15.03565	14.739244	25.323051	-24.289387	28000	-2.4557114e-08	1238.2826	-0.04021961	-157.6344	0.90670437	0.0115779005	0.1735	79.0	19.0381019115448
7	107.78323	94.057846	304.28955	4.0967765	109.833336	20.634035	14.688524	29.44053	-27.87533	32000	-6.6757204e-09	2160.9626	-0.04304472	-297.72534	0.9010524	0.013915946	0.18525	79.0	22.156494855880737
8	134.62543	99.16059	316.71616	1.0119487	116.05882	28.839394	12.611922	34.801323	-28.127407	36000	3.33786e-08	2413.606	-0.04135388	-338.84937	0.89490753	0.013338717	0.18625	79.0	25.106791973114014
9	167.40799	94.6633	294.18317	11.451258	138.85715	34.183884	13.540224	39.83798	-31.540342	40000	1.5199184e-08	2266.4138	-0.047064733	-307.06738	0.89204824	0.014422713	0.21975	79.0	28.078635454177856
10	168.31976	105.52887	396.19543	14.187939	170.86957	32.933113	20.535446	44.360603	-35.79381	44000	-1.6212464e-08	1842.7067	-0.048506416	-209.80212	0.88575083	0.014538197	0.22725	79.0	30.946027278900146
11	162.58571	140.91579	466.78827	-18.424698	162.41667	30.81148	26.115664	47.545403	-44.09901	48000	-5.841255e-09	2364.083	-0.046065677	-275.80322	0.8774909	0.015028079	0.21075	61.0	36.495213985443115
12	222.31252	99.69277	364.8954	23.577438	170.47826	43.625088	19.29412	51.059223	-26.234982	52000	1.6450882e-08	2296.044	-0.038527533	-283.32312	0.8693129	0.015011938	0.1945	42.0	62.11423349380493
13	278.82922	109.81001	460.24323	24.987448	192.35	51.66123	13.701325	54.980656	-17.96454	56000	2.9802323e-09	2747.254	-0.044529587	-366.80933	0.8644086	0.01254288	0.2255	79.0	65.23937964439392
14	237.32231	133.7341	556.5138	35.043766	199.3158	48.296757	24.591398	59.37076	-29.166416	60000	7.033348e-09	2015.2645	-0.048854094	-245.11621	0.8587951	0.014755167	0.228	79.0	69.36847352981567
15	247.43199	70.91217	356.37973	36.1984	167.0	59.13522	13.661119	62.339924	-18.475355	64000	3.8146974e-09	1927.5342	-0.03734315	-205.96375	0.86036855	0.015057211	0.17175	37.0	72.1023621559143
16	268.05435	92.42062	459.31497	51.40638	187.14285	60.94017	16.608704	65.367485	-27.06778	68000	-2.2888184e-08	2058.5103	-0.051500924	-216.94214	0.86485153	0.0111444015	0.24775	79.0	78.00219178199768
17	318.60602	105.422676	663.676	213.2596	223.82353	67.85951	3.348499	68.26179	-2.4434023	72000	1.9073486e-08	1568.842	-0.013488279	-175.88245	0.86044514	0.016092911	0.2435	8.0	80.74967312812805
18	330.95947	170.6985	758.695	56.857903	248.3125	69.27259	11.417327	71.07321	-17.776043	76000	2.0384789e-08	1751.6157	-0.009574285	-244.13538	0.8604407	0.016279686	0.20975	8.0	83.2486732006073
19	255.01686	121.022705	471.45065	35.847195	188.4762	62.741203	26.536951	73.693405	-34.513733	80000	-1.7523766e-08	1838.4957	-0.048891436	-210.75525	0.85984457	0.015008342	0.24825	73.0	86.20331716537476
20	250.74182	121.63071	557.00653	-4.3349776	188.85715	65.73114	25.450453	75.989075	-33.085835	84000	1.26361845e-08	1376.4178	-0.013222084	-178.64331	0.85820353	0.01632861	0.1955	8.0	88.65189981460571
21	321.18256	105.39805	583.2183	56.26101	212.88889	75.0495	13.007477	77.46037	-21.866938	88000	1.5497208e-09	1681.6104	-0.047531113	-149.1615	0.8574709	0.012083797	0.235	79.0	104.57143068313599
22	336.225	98.5408	644.3673	227.62405	227.47058	79.52919	3.5698857	80.02229	12.383924	92000	-2.3841857e-09	1364.4657	-0.01249433	-103.61597	0.8514905	0.015471164	0.17075	7.0	106.85346937179565
23	314.7831	174.73901	764.125	60.060806	280.85715	75.28715	22.974264	82.12563	-73.9312	96000	1.0967255e-08	1288.4775	-0.026991611	-353.37805	0.85092646	0.015633391	0.164	20.0	109.15831899642944
24	319.61536	217.27101	994.271	24.480265	247.5	74.702	23.79162	83.32574	-20.437996	100000	-1.6689301e-09	1350.7479	-0.012866862	-137.92578	0.8503289	0.017075233	0.25875	7.0	111.45824766159058
25	270.1765	124.92586	502.26938	22.55515	192.1579	77.04134	23.412107	84.76363	-21.217403	104000	1.502037e-08	1339.0822	-0.048633605	-255.67004	0.8499497	0.015005705	0.24425	76.0	114.36710333824158
26	305.496	86.10541	532.41656	102.015755	197.11111	81.31915	17.611551	86.14818	-17.708006	108000	-1.7881393e-09	1513.6655	-0.049588922	-164.76575	0.8458073	0.011571575	0.233	79.0	117.09324193000793
27	300.8106	161.86653	727.20776	31.23444	215.94444	79.05137	26.166904	88.36573	-23.051577	112000	1.9311905e-08	1225.3387	-0.010561573	-145.86145	0.8464424	0.016178017	0.20775	6.0	119.24734020233154
28	308.84314	135.9192	646.163	32.296833	217.17647	84.10104	21.37458	89.91062	-15.644873	116000	-1.257658e-08	1071.0802	-0.009213244	-97.165955	0.8455546	0.017955111	0.22475	5.0	121.6898398399353
29	307.59253	54.42295	405.77487	204.19545	183.71428	90.794975	4.7584386	91.36755	21.913725	120000	-1.5735626e-08	1218.8143	-0.0076986714	-46.55017	0.8450288	0.015905602	0.1985	6.0	124.13691234588623
30	341.21115	137.73819	737.2668	31.845568	225.58824	89.17055	18.035994	92.97276	-13.711529	124000	3.695488e-09	1110.2932	-0.008399554	-87.87335	0.84439665	0.01579234	0.1905	6.0	126.61132454872131
31	329.53796	91.22425	517.2579	133.05794	214.11111	91.65131	15.498386	94.74103	-18.041462	128000	2.026558e-09	1359.7521	-0.050629716	-98.39038	0.8433509	0.008932696	0.235	79.0	129.8448886871338
32	394.5314	152.99168	711.0867	161.72743	274.14285	92.799126	16.901447	96.262505	-27.016273	132000	-5.7816507e-09	1219.6609	-0.012031821	-120.82483	0.83898866	0.015322449	0.177	6.0	132.15550780296326
33	348.02908	92.51746	642.2911	239.21594	213.22223	97.6647	3.7841234	98.10428	19.761316	136000	4.7683715e-09	1219.3975	-0.050013904	-58.72693	0.8386743	0.013282789	0.24625	79.0	135.07957100868225
34	344.96948	56.660847	517.0468	282.97794	204.47368	99.76654	0.0042777136	99.767296	99.623375	140000	1.6689301e-09	1197.2278	-0.052585315	-31.148926	0.8324289	0.014490747	0.2595	79.0	138.1561143398285
35	288.4655	134.8313	542.2912	22.554256	192.9	93.0926	28.372183	101.33012	-36.285717	144000	5.2452087e-09	1398.0189	-0.051468287	-330.62463	0.8339639	0.012428877	0.265	79.0	142.15971684455872
36	325.3887	117.53707	622.79645	139.86646	213.77777	95.59014	22.766617	102.607315	-23.367598	148000	7.033348e-09	1272.8136	-0.043083284	-368.93646	0.8341071	0.015023566	0.223	45.0	145.0702452659607
37	324.28604	96.25653	455.63605	27.147142	207.89473	91.97294	25.594	103.07846	-16.165562	152000	8.5830685e-09	943.71155	-0.049614776	-384.0619	0.83400196	0.015010441	0.2275	75.0	151.0613658428192
38	309.70288	111.8219	596.9673	83.10086	207.42105	88.544014	31.835312	105.22444	-21.988293	156000	-7.152557e-09	503.7295	-0.040555153	-151.72449	0.8331598	0.015193775	0.21375	36.0	158.43178915977478
39	327.5644	77.31476	534.4368	152.16481	199.85	91.83753	28.406122	106.772705	-16.644585	160000	2.193451e-08	486.77823	-0.01357491	-103.591156	0.82691246	0.015680285	0.21725	8.0	160.76035070419312
40	365.95435	117.898026	741.91174	197.81381	228.88235	98.26288	21.561876	108.79565	29.125887	164000	-1.1205673e-08	358.0	-0.009328376	-90.21893	0.8256793	0.016958507	0.23825	6.0	163.13816165924072
41	312.61447	68.83387	455.9128	136.3107	192.35	93.50555	31.980553	110.51169	-17.779581	168000	-5.066395e-09	690.6866	-0.034645528	-214.9339	0.8243114	0.015039883	0.20075	26.0	165.68872666358948
42	336.55145	57.59569	483.25473	248.53267	186.04762	99.506386	24.933226	112.18786	19.43854	172000	2.002716e-08	462.0406	-0.013912207	-101.77573	0.818645	0.016188806	0.22475	7.0	168.2198657989502
43	353.6095	124.12781	626.35547	108.09809	230.94118	102.114815	27.928032	114.604805	-17.680172	176000	-9.179115e-09	361.5295	-0.011979046	-94.98334	0.8181748	0.015590446	0.23075	8.0	170.4912769794464
44	362.60706	37.759842	440.6323	303.96036	202.0	100.8056	26.516481	115.719124	30.716528	180000	-3.504753e-08	511.80927	-0.013125367	-136.58102	0.8170875	0.015788658	0.164	8.0	172.9589262008667
45	315.52267	90.22096	527.2711	136.07663	210.05263	96.7254	38.29992	118.04117	-17.760324	184000	5.4836273e-09	744.4423	-0.049516	-331.11368	0.81442934	0.0140555585	0.2395	79.0	175.86467361450195
