Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	8.910316	3.2822566	27.367052	4.318968	12.339506	-0.29123494	0.056613088	-0.10358627	-0.46177292	4000	-1.4305115e-09	33.670574	-0.014590369	-27.2863	0.91893864	0.016337844	0.2275	0.6002621147409082	0.5996880891007427	3.0	11.389241218566895
1	13.950709	7.025116	58.55026	5.174471	16.281633	4.5181417	1.6613153	6.891319	-0.7597078	8000	1.1920929e-09	40.89033	-0.026265942	-17.592285	0.92063403	0.015120238	0.23325	0.03527066543698311	0.007868231100374908	4.0	21.939456701278687
2	35.408813	32.63047	185.1529	6.531578	28.97826	8.96416	3.3242748	12.505241	-1.3263437	12000	6.0796737e-09	775.2776	-0.01975723	-242.90222	0.9196486	0.017082823	0.25575	0.044530122336000205	0.012512455886450962	5.0	32.848440170288086
3	105.68557	58.943836	223.86263	8.297212	59.954544	20.913872	3.6973813	22.35229	-1.986654	16000	5.2452087e-09	2546.2866	-0.009729698	-720.17944	0.9179217	0.0168428	0.1815	0.03641293242573738	0.008471940602024775	7.0	44.05109691619873
4	103.05944	41.98101	220.8835	12.263717	57.855072	33.362053	0.7462721	33.432293	12.963072	20000	2.7418137e-09	1281.7648	-0.015880438	-209.05042	0.91662484	0.009277578	0.10875	0.03814989453181625	0.007062821904242335	79.0	55.660651206970215
5	134.66833	56.190662	274.4373	36.06598	69.77193	39.170986	0.68356395	39.247204	22.108053	24000	3.0994416e-09	2150.3394	-0.015187906	-354.23804	0.91036814	0.009684911	0.09775	0.04014645492658019	0.008924215634537217	79.0	67.20296788215637
6	145.3808	65.52239	234.7128	30.067606	72.55556	46.233093	0.15187742	46.24718	39.330803	28000	5.9604646e-09	2375.0615	-0.01941696	-325.53833	0.91285676	0.012063141	0.09775	0.04613044900819659	0.009649018561170373	79.0	79.03061723709106
7	174.34163	52.616184	239.80405	74.5674	83.34042	52.805527	0.16307645	52.81856	46.87454	32000	-5.9604643e-10	2372.1213	-0.014637207	-446.16443	0.9186119	0.009520231	0.09575	0.044898295141756535	0.00953342363387194	79.0	90.36762833595276
8	183.33524	51.976807	234.7917	51.761127	85.21739	54.775444	10.514168	59.357098	3.39911	36000	-1.1324882e-09	2096.2126	-0.01729151	-398.94385	0.91563475	0.008731803	0.1075	0.042477162703871724	0.010800242854749799	79.0	101.79110527038574
9	199.7294	33.377914	239.51358	103.8529	90.681816	59.11297	14.943113	65.95206	3.3190594	40000	2.861023e-09	1693.3141	-0.016270805	-338.43884	0.9013738	0.0075607225	0.08975	0.03953392155468464	0.008516765406026921	79.0	113.15401554107666
10	202.62187	29.955677	239.64166	74.82688	91.60465	64.122536	16.743044	72.11532	-0.101607084	44000	6.3180923e-09	1374.1692	-0.015292773	-283.76868	0.8929564	0.010649643	0.0885	0.03992831626906991	0.008576204793827065	79.0	124.88555145263672
11	217.28094	13.870114	252.7716	182.57617	97.36585	66.06202	20.292059	77.562065	-19.614052	48000	5.9604643e-10	1230.9615	-0.012948815	-279.30975	0.89438605	0.009377859	0.09225	0.03983837928622961	0.010189354275331429	79.0	136.4861614704132
12	221.76595	29.982134	273.0954	99.9395	99.55	69.437675	22.98364	82.92474	-4.168106	52000	-3.8146974e-09	1170.3058	-0.017501477	-233.71912	0.90906566	0.010475618	0.112	0.04038101296871901	0.008777542837555989	79.0	148.05832624435425
13	223.65002	31.757252	266.18228	78.38475	99.525	75.4286	22.371265	87.794266	-3.3629026	56000	5.841255e-09	1033.2908	-0.01972114	-185.18488	0.90696466	0.0105552245	0.12375	0.037691956162452696	0.008790739707481721	79.0	159.95814394950867
14	241.8548	27.662245	312.69254	182.3502	108.861115	78.098976	24.008755	92.20904	-12.173849	60000	-1.3113022e-09	1067.7161	-0.004860398	-224.43231	0.90516406	0.016596153	0.25175	0.03930824790149927	0.009414009402500246	5.0	171.63281846046448
15	248.0694	63.565033	326.117	100.08973	114.911766	82.6484	22.504196	96.77608	-14.473856	64000	1.1920929e-09	1468.3226	-0.006033402	-308.38696	0.904112	0.01631748	0.25825	0.036928772032260894	0.009342077279803764	5.0	183.17815947532654
16	267.72156	49.625896	324.32507	133.55608	121.90625	85.6561	25.324999	100.59777	-36.044315	68000	2.861023e-09	1339.0454	-0.014735456	-220.70264	0.90355825	0.009638554	0.118	0.03553738575428724	0.007847188468814036	79.0	195.20319938659668
17	276.83633	41.12297	337.0913	166.0369	125.0	87.63044	26.264236	104.8306	-2.2726297	72000	1.1324882e-09	1097.6959	-0.019987565	-237.13702	0.8955583	0.0106823845	0.112	0.029493010751903057	0.006329445649227766	79.0	207.5668523311615
18	307.75314	19.500814	348.38614	268.0087	134.06897	88.23442	30.632044	109.13662	-7.2158985	76000	7.152557e-09	1129.0245	-0.014844573	-311.60962	0.88218194	0.010332445	0.11125	0.02803130857646465	0.006989118169125189	79.0	219.40001153945923
19	302.66095	39.442684	339.38458	139.00642	132.9	97.38361	29.364008	114.405975	-0.9920068	80000	5.3644182e-09	921.76166	-0.016793467	-178.95355	0.87640065	0.009581432	0.09775	0.029575857892632486	0.007756866497375187	79.0	232.49869441986084
20	294.04688	50.16675	337.42624	177.20816	132.33333	101.51517	29.83909	118.7783	0.56859994	84000	-5.1259996e-09	972.22876	-0.005454806	-199.31616	0.877637	0.015250643	0.18925	0.02906676035374403	0.007350297750513871	4.0	244.26148462295532
21	322.62927	43.59351	358.09723	136.96477	144.11111	101.33153	29.8981	121.98564	0.33983815	88000	-3.218651e-09	815.1185	-0.015541106	-160.63715	0.87795043	0.0057671587	0.11175	0.02831719006411731	0.008565334828742058	79.0	256.6062650680542
