Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	-1.9882927	3.3431253	9.617325	-11.238446	12.64557	-0.060418252	0.17539094	0.443098	-0.58801186	4000	1.4305115e-09	13.927123	-0.024868365	-7.693461	0.91893864	0.016014077	0.30575	10.332377986907959	4.582461255532611	3.0	11.166260004043579
1	0.26979002	3.8724933	16.095615	-7.3776097	15.202291	-2.207234	1.4487226	4.197901	-5.186401	8000	-2.7418137e-09	11.457753	-0.021965591	-1.8666048	0.9191294	0.02082436	0.2435	5.292001683712005	0.8347539023311783	4.0	21.149742603302002
2	5.0940123	6.357197	35.95334	-8.560634	21.451612	-0.8422699	1.40261	3.8459828	-4.639217	12000	6.437302e-09	29.461187	-0.021449957	-8.594063	0.91835374	0.019549618	0.2675	3.8299993085861206	0.5565960264370775	5.0	31.12376594543457
3	11.353354	9.000791	44.830006	-9.474734	31.864	1.4476032	2.176932	6.029848	-5.8979096	16000	-1.07288365e-08	53.645813	-0.017510494	-20.663513	0.917169	0.015711788	0.274	3.3140541076660157	0.3521720241378309	7.0	41.11472964286804
4	24.41264	24.995474	160.1564	-2.847007	48.76829	4.1465726	4.846547	13.917102	-13.122174	20000	6.437302e-09	275.15125	-0.015387096	-92.93736	0.9157103	0.015945971	0.24675	3.053565812110901	0.29987149856065765	8.0	51.02950167655945
5	38.495327	50.456856	256.96164	-16.294842	71.90909	8.844954	11.105996	24.411716	-23.979734	24000	1.1920929e-09	715.4965	-0.04395362	-183.10712	0.9130044	0.011367144	0.20775	2.872134826183319	0.27954856920881127	79.0	61.34703469276428
6	52.560814	51.121273	206.67966	-3.8065248	95.125	13.350742	16.696234	37.23476	-33.296715	28000	2.6226044e-09	452.21017	-0.016443549	-80.51697	0.900938	0.01528402	0.203	2.8347249484062194	0.26879807032815317	10.0	71.29669237136841
7	86.787186	82.29401	369.4171	11.303467	103.552635	27.004602	15.368739	42.260185	-32.983376	32000	-3.4570693e-09	1185.2352	-0.0136463195	-239.86389	0.8991092	0.016936386	0.25125	2.7162444233894347	0.23624162825987577	7.0	81.19619941711426
8	178.42725	108.57712	339.96722	24.157463	138.18518	40.986687	17.368788	51.933533	-47.23676	36000	6.6757204e-09	2207.4915	-0.010463919	-808.74854	0.8972339	0.015707688	0.17775	2.710093379020691	0.23618426036285695	7.0	91.04743552207947
9	209.53406	109.10265	419.64865	49.49031	188.61905	49.600914	27.83454	66.89696	-49.666702	40000	-6.0796737e-09	1447.5334	-0.009930393	-315.2605	0.8964429	0.016456982	0.162	2.725320510864258	0.318332048848669	8.0	100.95257210731506
10	275.8968	107.29458	547.67	60.11694	216.77777	62.998337	25.283022	74.32197	-43.891087	44000	6.0796737e-09	1438.1372	-0.043889634	-286.62317	0.89535296	0.00859505	0.20075	2.712635064125061	0.2719482832571241	79.0	111.23135137557983
11	199.63644	106.512955	323.28174	9.609598	172.3	65.52198	31.348423	82.05337	-32.456955	48000	-3.4570693e-09	1226.8496	-0.011967977	-224.90625	0.8931364	0.015740722	0.2155	2.7050164270401003	0.24894462488476954	8.0	121.26085209846497
12	235.61775	107.15164	409.08496	51.739826	189.25	65.93674	32.683193	84.994255	-64.84791	52000	-1.9073487e-09	1187.8771	-0.010457449	-177.19806	0.89196324	0.017377071	0.22575	2.646172218322754	0.2393760482118218	7.0	131.20840883255005
13	346.00186	106.28339	593.69196	220.03174	250.28572	78.38594	24.42187	89.98462	-22.12875	56000	7.2717667e-09	1166.6471	-0.010394808	-306.3051	0.8914911	0.015197817	0.212	2.636171202659607	0.246342186734882	9.0	141.4211301803589
14	266.7221	82.553696	400.91205	44.649044	197.21053	83.69592	25.476	93.358055	-22.748775	60000	5.722046e-09	1045.0359	-0.0108998185	-213.42676	0.8904118	0.015785247	0.18425	2.5645773339271547	0.19109711435874738	9.0	151.5515697002411
15	296.77225	69.38708	493.09744	112.48565	187.38095	91.56011	17.107588	95.79521	-18.081938	64000	1.2457371e-08	982.617	-0.04349091	-77.424805	0.8906261	0.008785027	0.22225	2.5016128277778624	0.22896209605236037	79.0	161.94327783584595
16	295.90692	71.88622	569.0713	208.44008	175.72728	98.71651	1.8076795	99.13417	64.08921	68000	8.9406965e-10	994.47687	-0.010543207	-36.04889	0.884813	0.015622563	0.2035	2.4401962089538576	0.22219607742738356	7.0	172.03313183784485
17	311.51868	69.28888	491.24033	212.93535	195.35	101.48175	4.10099	101.87389	14.744382	72000	-3.695488e-09	844.00415	-0.010639684	-16.998962	0.88618517	0.015484251	0.2235	2.3815978038311005	0.21949684520867624	8.0	182.68304538726807
18	305.1419	73.9133	438.8348	112.64837	207.21053	100.04149	14.839356	102.63182	-16.156517	76000	7.390976e-09	1152.8196	-0.008341368	-314.8119	0.88821715	0.01554581	0.1885	2.4185223984718323	0.2521648716582186	6.0	192.95606684684753
19	291.55847	45.065662	408.26297	226.99013	168.60869	102.574005	2.2262475	102.89026	22.653276	80000	-5.722046e-09	996.8818	-0.009312888	-16.834656	0.8894279	0.015624456	0.25325	2.3677873075008393	0.27354185185716756	7.0	203.09756588935852
20	306.83627	138.58504	672.142	45.0651	212.44444	97.25478	24.804928	103.75575	-31.316607	84000	5.9604643e-10	1024.0928	-0.0482795	-133.4701	0.8899155	0.011224104	0.24275	2.375068521499634	0.2381199594417265	79.0	213.79893803596497
21	296.51538	52.413773	418.9239	215.42906	178.0	102.68692	6.2327676	103.66118	10.82177	88000	4.053116e-09	985.6807	-0.043771744	-60.77655	0.88719213	0.009617151	0.225	2.374705139398575	0.24668120439975677	79.0	224.10572338104248
22	292.69577	70.57553	556.3291	197.60405	173.13043	103.44958	0.09459523	103.462364	98.61485	92000	7.1525574e-10	964.8764	-0.04384273	-0.27294922	0.89078486	0.011457524	0.214	2.3578916561603545	0.2189273305494354	79.0	234.52378344535828
23	318.66586	122.61702	623.15594	151.926	234.64706	98.00462	22.569294	103.16374	-28.17258	96000	5.722046e-09	1138.7496	-0.046379853	-288.5014	0.89636403	0.013729447	0.23625	2.313549666404724	0.2386163759512616	79.0	245.0258252620697
24	298.17938	68.799065	446.54993	148.10489	191.7	97.248955	18.398521	101.366295	-28.147621	100000	0.0	936.7852	-0.047681894	-63.9693	0.8996359	0.012282034	0.222	2.3117259013652802	0.21809742822140515	79.0	255.521981716156
25	262.34375	62.33204	365.17914	61.26625	167.26086	93.66144	29.35892	102.57258	-27.693491	104000	-2.503395e-09	980.09265	-0.011432565	-59.348694	0.8938574	0.016978266	0.2535	2.2602694928646088	0.22144649952487175	6.0	265.5236773490906
26	290.7173	67.29391	503.87283	199.95015	184.28572	96.22891	23.21865	102.44807	-22.862411	108000	-5.00679e-09	928.7095	-0.012214068	-31.177124	0.89476544	0.016487401	0.176	2.2515668773651125	0.23679905281685035	5.0	275.5541286468506
27	295.57944	93.43296	618.1365	196.7637	180.45454	96.64419	19.785923	103.03064	-2.9361994	112000	1.5497208e-09	1298.0393	-0.047065593	-388.7478	0.89505845	0.015111826	0.23325	2.2393999195098875	0.20788962155184318	56.0	285.6606123447418
28	302.92145	88.94116	536.7184	64.17054	193.55	99.7785	12.509661	101.39292	-17.827595	116000	9.298325e-09	1041.7133	-0.009765645	-142.79291	0.9035349	0.015369452	0.187	2.2183629286289217	0.21714931189800618	6.0	295.6916103363037
29	307.21902	50.52234	418.5119	235.82527	185.61905	101.93887	1.4496549	102.11104	62.361225	120000	-5.9604646e-09	897.8848	-0.047825236	-9.80072	0.90261066	0.008184127	0.2365	2.157761379480362	0.17800200912415046	79.0	306.11592292785645
30	282.40125	55.954773	390.8443	108.6889	180.63637	98.41184	23.292824	103.819984	-24.264763	124000	2.2053719e-09	1180.3357	-0.04528875	-223.39514	0.9037433	0.015069746	0.2225	2.1195710146427156	0.18928112202762604	54.0	316.38485860824585
