Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	16.33301	11.348838	75.31262	5.671118	17.914415	0.053397603	0.06715302	0.28022328	-0.23653556	4000	-1.6689301e-09	193.20117	-0.018031202	-70.65557	0.91893864	0.017068531	0.256	4.0	8.05525517463684
1	37.68203	35.584076	182.64847	6.0797086	28.84058	4.8009996	0.6416149	5.0864973	-2.545618	8000	4.053116e-09	1158.5731	-0.016932158	-179.05585	0.91732585	0.015837492	0.19525	5.0	16.540480852127075
2	86.352486	47.285217	224.29492	6.998427	50.820515	9.160312	0.30345207	9.207112	1.3515682	12000	-4.2915342e-09	2434.332	-0.0200097	-322.90942	0.9151712	0.009696558	0.12075	79.0	25.62863826751709
3	104.21652	58.76676	232.4893	15.910364	58.64706	13.555974	0.02255516	13.561144	12.782214	16000	-2.861023e-09	3127.9285	-0.01659083	-311.27222	0.9042673	0.009030974	0.0875	79.0	34.587159872055054
4	117.38458	58.780514	239.34036	23.077053	63.451614	17.36118	0.010689776	17.363478	16.788807	20000	1.9073487e-09	3257.1404	-0.016181171	-296.89282	0.89900196	0.010005602	0.0995	79.0	43.6091034412384
5	136.65312	57.366405	239.48584	48.286766	71.74545	20.84538	0.0059523624	20.846773	20.653484	24000	1.9073487e-09	3402.1797	-0.01559084	-290.3816	0.8982692	0.0066096787	0.0925	79.0	52.48087763786316
6	172.09013	54.346653	245.8365	48.13865	85.934784	24.156843	0.010583621	24.157848	23.543354	28000	-4.529953e-09	4295.951	-0.016218351	-361.80176	0.8867677	0.0075802603	0.08775	79.0	61.480804204940796
7	170.51035	50.641323	230.8504	58.465824	85.23913	27.69172	0.0013921388	27.692148	27.672253	32000	-3.8146974e-09	3785.956	-0.012481939	-298.90796	0.8795065	0.0053885514	0.057	79.0	70.01188969612122
8	187.50302	45.494335	236.38545	46.1459	90.36364	30.852188	0.001968653	30.85262	30.798477	36000	-2.384186e-10	4106.93	-0.014444134	-309.7356	0.88584805	0.0062080566	0.0865	79.0	78.65172028541565
9	199.54883	31.515669	242.04237	62.69956	93.40476	33.992016	0.0011505901	33.99231	33.96189	40000	4.2915342e-09	4134.6973	-0.010620972	-313.04956	0.87131435	0.007402719	0.06475	79.0	87.19324898719788
10	199.56944	27.772257	227.12286	91.27984	92.860466	37.10207	0.0014727105	37.10236	37.042355	44000	-3.218651e-09	3786.6785	-0.014617292	-271.27148	0.8835518	0.006812735	0.0755	79.0	95.98879933357239
11	204.6256	20.521862	235.36014	134.91261	95.87805	39.981842	0.0010026885	39.982086	39.959766	48000	3.3378602e-09	3559.1155	-0.010180162	-245.1477	0.8957722	0.004137626	0.06075	79.0	104.5334403514862
12	203.3917	23.452396	230.36044	103.74831	94.09524	42.705986	0.00072833267	42.70619	42.694904	52000	-7.1525574e-10	3334.2073	-0.0148964375	-219.28589	0.88856065	0.010412641	0.081	79.0	113.44328141212463
13	193.26025	39.702827	241.25725	48.720524	89.15909	45.28439	0.0008266629	45.284584	45.257137	56000	2.861023e-09	3070.7378	-0.017548932	-187.58813	0.89844924	0.008904004	0.102	79.0	122.6487762928009
14	201.76683	26.609959	234.05933	90.54077	92.18604	47.682243	0.0013056797	47.68243	47.61656	60000	-8.106232e-09	2985.3945	-0.010570871	-181.10962	0.8917806	0.005922775	0.0665	79.0	131.3796308040619
15	191.22568	37.498043	230.82396	53.283203	87.73333	50.043808	0.0006856909	50.043953	50.0277	64000	1.6689301e-09	2614.5452	-0.018851591	-144.30615	0.8883702	0.0088215815	0.09875	79.0	139.96581268310547
16	205.45247	12.620502	235.64154	172.18437	92.325584	52.18222	0.0006424041	52.18235	52.160114	68000	3.5762786e-09	2680.2693	-0.014179923	-155.99365	0.8855092	0.0045503965	0.09375	79.0	148.84984731674194
17	202.50009	17.792292	226.06789	115.46396	91.37209	54.404892	0.00044637383	54.405	54.393715	72000	-1.1920929e-09	2474.6377	-0.01521874	-136.396	0.88336533	0.009018018	0.071	79.0	158.450537443161
18	206.32793	10.89689	233.74907	183.74876	92.4186	56.515728	0.00037115972	56.51582	56.510918	76000	2.6226044e-09	2399.5188	-0.016220406	-128.48169	0.88345087	0.0060828156	0.086	79.0	166.98471689224243
19	190.89757	34.542152	228.78902	68.33096	87.82222	58.57979	0.0008822762	58.57992	58.550087	80000	-1.6689301e-09	2004.144	-0.015809603	-84.61511	0.8968807	0.0050041038	0.08575	79.0	175.64269137382507
20	190.40086	35.078365	255.76642	41.697857	87.244446	60.296238	0.0017013941	60.296402	60.203117	84000	-7.1525574e-10	1924.4518	-0.01508188	-76.97119	0.90324897	0.007991048	0.09375	79.0	184.71436715126038
21	201.85747	31.251688	293.02386	61.943275	90.83721	61.940662	0.0003168011	61.940746	61.93682	88000	3.3378602e-09	2188.8486	-0.017169317	-96.10156	0.8988541	0.009675385	0.0875	79.0	194.68170189857483
22	195.45923	38.191242	257.11282	64.72775	88.82222	63.788464	0.00041977025	63.788548	63.774895	92000	7.629395e-09	1954.9862	-0.018243415	-69.93848	0.9055293	0.011791228	0.10875	79.0	204.42135858535767
23	209.50378	40.273613	298.8533	68.252655	93.45238	65.412445	0.0015633748	65.412636	65.3722	96000	9.536744e-10	2248.6	-0.018856013	-150.30786	0.90702766	0.010021615	0.105	79.0	212.96774625778198
24	211.61754	27.131218	265.44907	137.69377	94.57143	65.93778	6.0239067	67.2881	14.335879	100000	-2.026558e-09	1993.2344	-0.018630097	-393.2765	0.9086874	0.011742494	0.0845	79.0	221.7589933872223
25	224.08907	33.062702	302.42142	146.40495	98.025	61.414837	15.803816	69.433586	-0.008185744	104000	-2.861023e-09	2055.5	-0.019553296	-192.08264	0.91882795	0.009781725	0.10775	79.0	230.34837293624878
26	219.16414	37.083046	292.84262	137.92403	97.07317	64.59216	16.156847	71.91388	3.6508043	108000	-1.9073487e-09	1783.843	-0.017655674	-151.1543	0.9218217	0.0052606687	0.10425	79.0	239.0760796070099
27	228.60025	39.70522	331.61646	149.76755	99.425	65.29082	17.962038	74.16616	1.4215362	112000	1.9073487e-09	1919.0647	-0.012416895	-159.85608	0.92401034	0.015839674	0.14125	12.0	247.36865401268005
28	253.03632	39.869534	316.5417	159.1839	107.51351	67.75275	18.292604	76.53608	1.8020551	116000	5.9604646e-09	2374.4224	-0.02245948	-224.91406	0.92476267	0.011664778	0.12275	79.0	256.1184244155884
29	254.32921	44.978615	351.62048	159.4612	107.13513	71.945366	16.552916	79.2633	3.0298998	120000	0.0	2367.3923	-0.019888096	-218.30176	0.926953	0.008167659	0.129	79.0	264.7348647117615
30	250.22804	41.68829	333.96265	173.08212	105.75676	72.8712	19.039843	81.93125	2.4596415	124000	-5.9604646e-09	2024.6642	-0.020395804	-173.07971	0.91821975	0.012209832	0.1115	79.0	273.53003883361816
31	263.87796	52.42686	329.70007	75.87524	109.05556	74.0309	20.781128	84.35963	1.138633	128000	5.9604646e-09	2367.9907	-0.020416716	-226.03467	0.91914403	0.010411029	0.12375	79.0	282.2832064628601
32	277.9684	44.071194	346.55396	134.5191	113.057144	78.07921	19.606525	87.03273	2.7094223	132000	-8.34465e-09	2474.0242	-0.023272526	-233.36084	0.9271442	0.010969762	0.13325	79.0	291.52126693725586
33	277.3081	45.000683	335.01883	116.358246	113.457146	80.51695	20.296532	89.78807	3.5631971	136000	-9.536744e-10	2266.5464	-0.022347366	-189.13818	0.925754	0.013957912	0.10575	79.0	300.75302624702454
34	274.20557	60.625416	348.28275	66.85717	112.77143	81.4199	23.024502	92.37204	0.47532105	140000	-2.384186e-10	2273.8374	-0.021919064	-227.09192	0.941431	0.013060655	0.13	79.0	309.6238000392914
35	292.31897	34.35463	346.80325	213.3214	118.72727	83.63335	22.59708	94.806526	4.987274	144000	4.529953e-09	2093.183	-0.02074692	-216.18542	0.9579949	0.009687845	0.10275	79.0	318.47208404541016
36	287.4895	63.41298	357.90225	127.9729	115.85294	85.874535	23.384464	97.42056	-0.07491064	148000	9.536744e-10	2344.0964	-0.021366475	-219.63794	0.96052986	0.013406488	0.10575	79.0	326.99904799461365
37	313.7133	26.848776	355.35846	240.78716	122.9375	86.876274	25.265451	99.87733	-0.13504076	152000	-5.841255e-09	2335.782	-0.01850172	-239.05786	0.9721224	0.011351767	0.11475	79.0	335.5850942134857
38	290.91046	61.721134	384.26437	142.99936	116.05882	91.32999	24.053068	102.66766	3.2743497	156000	-1.0728836e-09	2145.7283	-0.00425284	-158.48438	0.9574296	0.015189319	0.14675	3.0	343.6264431476593
39	299.29266	39.779537	366.61682	204.07755	120.969696	90.33551	27.50665	104.95179	-0.96575737	160000	2.026558e-09	1644.9639	-0.022598146	-162.24841	0.9571295	0.012570258	0.147	79.0	352.1863040924072
40	318.66522	60.929314	383.01624	94.15021	125.0	91.744644	28.25853	107.21722	1.130794	164000	8.106232e-09	2306.8237	-0.022452835	-213.77612	0.94983107	0.009320793	0.13275	79.0	361.5562393665314
41	325.05084	48.57761	383.0728	195.40417	124.84375	96.21365	27.272985	109.86141	-2.266458	168000	4.172325e-09	2240.598	-0.021753032	-208.7378	0.93766415	0.012940822	0.12725	79.0	370.0479431152344
42	327.94397	56.133606	408.0021	101.990776	127.3871	98.14483	28.61656	112.45118	1.7713263	172000	4.768372e-10	2065.9504	-0.0046419483	-185.47229	0.9381544	0.017028745	0.18625	4.0	378.055294752121
43	332.93564	28.38376	381.75446	277.26007	126.90323	99.31342	30.139614	114.939415	2.4917653	176000	1.9073487e-09	1757.8218	-0.02041949	-163.84436	0.9379274	0.014227521	0.12625	79.0	387.1527841091156
44	333.6217	36.98423	399.518	236.0982	126.548386	101.147415	31.079592	117.47091	0.18982458	180000	-1.0728836e-09	1741.8646	-0.019981973	-169.07886	0.9412082	0.013549513	0.12375	79.0	396.22293734550476
45	356.08606	21.67503	401.04337	312.25665	134.3793	103.34044	31.644302	119.944214	-2.7297912	184000	-8.702278e-09	1909.4305	-0.019906027	-184.646	0.9474747	0.009145846	0.1215	79.0	405.109712600708
