Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	5.4965053	6.9070015	28.682446	-31.726715	25.538462	-0.11120174	0.2532082	0.43307903	-0.7942673	4000	2.9802323e-09	44.062447	-0.018602462	-6.633087	0.91893864	0.016398937	0.214	4.0	8.760210990905762
1	8.717919	10.14581	55.007072	-16.574766	37.00926	0.5821892	1.6303823	4.1158423	-4.3031635	8000	2.2053719e-09	64.26642	-0.015288955	-21.922062	0.91802996	0.015403252	0.20425	8.0	18.063865900039673
2	13.751756	12.630707	55.186203	-24.678532	47.488094	0.6007594	4.8000617	8.6690035	-9.414735	12000	8.165836e-09	70.43987	-0.015829455	-17.632149	0.9166447	0.015611692	0.202	10.0	27.626657485961914
3	26.935572	35.974075	199.45357	-24.14442	70.10526	2.055822	7.746111	12.327783	-12.353795	16000	-7.629395e-09	382.32352	-0.032574385	-83.767914	0.91477996	0.015065161	0.15775	48.0	37.296273708343506
4	47.513355	54.882477	228.65422	-14.38681	80.729164	7.6943345	11.372855	17.96881	-17.62478	20000	-4.2915342e-09	891.6834	-0.03927983	-163.91327	0.9088128	0.015078341	0.1855	64.0	47.16083788871765
5	67.976944	78.732025	261.0203	-7.1154904	91.2619	14.190049	13.053592	23.938143	-23.123762	24000	1.1920929e-09	1452.1323	-0.046020184	-212.86841	0.8979047	0.015019842	0.2285	73.0	57.1830837726593
6	88.84648	99.95152	314.94086	-11.903907	124.6875	16.776993	17.11364	29.670313	-28.3345	28000	-1.45435335e-08	1469.9613	-0.047456887	-213.61646	0.8858398	0.013619016	0.218	79.0	67.89940547943115
7	135.97908	108.04416	340.93854	-6.5528975	159.76	21.820662	18.070213	34.323933	-27.816927	32000	-6.7949295e-09	1869.469	-0.048134476	-292.55103	0.8786975	0.012305315	0.22575	79.0	77.87840056419373
8	107.28714	91.01112	299.78796	6.0181427	142.03703	23.049522	21.698927	38.92843	-31.624643	36000	1.1920929e-08	1049.8234	-0.012621588	-118.56262	0.8629028	0.01516581	0.1775	6.0	87.57761216163635
9	138.47292	112.19142	351.26346	4.4931374	144.7037	29.105019	19.009766	41.484165	-23.536713	40000	-3.3974648e-09	1846.8907	-0.04688957	-226.97925	0.862873	0.010463449	0.22275	79.0	97.59941840171814
10	152.90242	112.14945	386.46576	15.150521	165.5	31.192562	21.1624	45.42974	-26.96445	44000	1.180172e-08	1631.4084	-0.026710393	-192.50732	0.8598553	0.015094942	0.15425	20.0	107.8121588230133
11	153.96053	90.96253	283.12915	-15.454122	181.54546	26.617146	25.551891	49.017094	-29.385965	48000	3.5762787e-10	1107.9542	-0.04654357	-174.724	0.85573345	0.015109486	0.2275	72.0	117.8079879283905
12	226.95232	92.80536	362.9497	47.13528	198.6	42.65904	20.142239	51.432594	-25.752117	52000	7.033348e-09	1759.737	-0.031527236	-231.22119	0.8452126	0.01504092	0.15325	25.0	127.92424535751343
13	231.01031	86.11085	335.0776	16.928236	180.95454	45.95203	22.033136	55.40061	-26.718164	56000	1.6689301e-09	1881.0408	-0.038785193	-305.88574	0.84155035	0.015254794	0.19275	37.0	137.97524213790894
